LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,1,0,425,1,100000,2.1205,1,2
1,1,0,426,1,100000,2.1205,1,2
2,1,0,427,1,100000,2.1205,1,2
3,1,0,428,1,100000,2.1205,1,2
4,1,0,429,1,100000,2.1205,1,2
5,1,0,430,1,100000,2.1205,1,2
6,1,0,431,1,100000,2.1205,1,2
7,1,0,432,1,100000,2.1205,1,2
8,1,0,433,1,100000,2.1205,1,2
9,1,0,434,1,100000,2.1205,1,2
10,1,0,435,1,100000,2.1205,1,2
11,1,0,436,1,100000,2.1205,1,2
12,1,0,437,1,100000,2.1205,1,2
13,1,0,438,1,100000,2.1205,1,2
14,1,0,439,1,100000,2.1205,1,2
15,1,0,440,1,100000,2.1205,1,2
16,1,0,441,1,100000,2.1205,1,2
17,1,0,442,1,100000,2.1205,1,2
18,1,0,443,1,100000,2.1205,1,2
19,1,0,444,1,100000,2.1205,1,2
20,1,0,445,1,100000,2.1205,1,2
21,1,0,446,1,100000,2.1205,1,2
22,1,0,447,1,100000,2.1205,1,2
23,1,0,448,1,100000,2.1205,1,2
24,1,0,449,1,100000,2.1205,1,2
25,1,0,450,1,100000,2.1205,1,2
26,1,0,451,1,100000,2.1205,1,2
27,1,0,452,1,100000,2.1205,1,2
28,1,0,453,1,100000,2.1205,1,2
29,1,0,454,1,100000,2.1205,1,2
30,1,0,455,1,100000,2.1205,1,2
31,1,0,456,1,100000,2.1205,1,2
32,1,0,457,1,100000,2.1205,1,2
33,1,0,458,1,100000,2.1205,1,2
34,4,0,459,1,100000,1.216,1,15
35,4,0,460,1,100000,1.216,1,15
36,4,0,461,1,100000,1.216,1,15
37,4,0,462,1,100000,1.216,1,15
38,4,0,463,1,100000,1.216,1,15
39,4,0,464,1,100000,1.216,1,15
40,4,0,465,1,100000,1.216,1,15
41,4,0,466,1,100000,1.216,1,15
42,4,0,467,1,100000,1.216,1,15
43,4,0,468,1,100000,1.216,1,15
44,4,0,469,1,100000,1.216,1,15
45,4,0,470,1,100000,1.216,1,15
46,4,0,471,1,100000,1.216,1,15
47,4,0,472,1,100000,1.216,1,15
48,4,0,473,1,100000,1.216,1,15
49,4,0,474,1,100000,1.216,1,15
50,4,0,475,1,100000,1.216,1,15
51,4,0,476,1,100000,1.216,1,15
52,4,0,477,1,100000,1.216,1,15
53,4,0,478,1,100000,1.216,1,15
54,4,0,479,1,100000,1.216,1,15
55,4,0,480,1,100000,1.216,1,15
56,4,0,481,1,100000,1.216,1,15
57,4,0,482,1,100000,1.216,1,15
58,4,0,483,1,100000,1.216,1,15
59,4,0,484,1,100000,1.216,1,15
60,4,0,485,1,100000,1.216,1,15
61,4,0,486,1,100000,1.216,1,15
62,4,0,487,1,100000,1.216,1,15
63,4,0,488,1,100000,1.216,1,15
64,4,0,489,1,100000,1.216,1,15
65,4,0,490,1,100000,1.216,1,15
66,4,0,491,1,100000,1.216,1,15
67,4,0,492,1,100000,1.216,1,15
68,4,0,493,1,100000,1.216,1,15
69,4,0,494,1,100000,1.216,1,15
70,4,0,495,1,100000,1.216,1,15
71,4,0,496,1,100000,1.216,1,15
72,4,0,497,1,100000,1.216,1,15
73,4,0,498,1,100000,1.216,1,15
74,4,0,499,1,100000,1.216,1,15
75,4,0,500,1,100000,1.216,1,15
76,5,0,501,2,100000,1.236,2,9|15
77,5,0,502,2,100000,1.236,2,9|15
78,5,0,503,2,100000,1.236,2,9|15
79,5,0,504,2,100000,1.236,2,9|15
80,5,0,505,2,100000,1.236,2,9|15
81,5,0,506,2,100000,1.236,2,9|15
82,5,0,507,2,100000,1.236,2,9|15
83,5,0,508,2,100000,1.236,2,9|15
84,5,0,509,2,100000,1.236,2,9|15
85,5,0,510,2,100000,1.236,2,9|15
86,5,0,511,2,100000,1.236,2,9|15
87,5,0,512,2,100000,1.236,2,9|15
88,5,0,513,2,100000,1.236,2,9|15
89,5,0,514,2,100000,1.236,2,9|15
90,5,0,515,2,100000,1.236,2,9|15
91,5,0,516,2,100000,1.236,2,9|15
92,5,0,517,2,100000,1.236,2,9|15
93,5,0,518,2,100000,1.236,2,9|15
94,5,0,519,2,100000,1.236,2,9|15
95,7,0,520,1,100000,1.698,1,16
96,7,0,521,1,100000,1.698,1,16
97,7,0,522,1,100000,1.698,1,16
98,7,0,523,1,100000,1.698,1,16
99,7,0,524,1,100000,1.698,1,16
100,7,0,525,1,100000,1.698,1,16
101,7,0,526,1,100000,1.698,1,16
102,7,0,527,1,100000,1.698,1,16
103,7,0,528,1,100000,1.698,1,16
104,7,0,529,1,100000,1.698,1,16
105,7,0,530,1,100000,1.698,1,16
106,7,0,531,1,100000,1.698,1,16
107,7,0,532,1,100000,1.698,1,16
108,7,0,533,1,100000,1.698,1,16
109,7,0,534,1,100000,1.698,1,16
110,7,0,535,1,100000,1.698,1,16
111,7,0,536,1,100000,1.698,1,16
112,7,0,537,1,100000,1.698,1,16
113,7,0,538,1,100000,1.698,1,16
114,7,0,539,1,100000,1.698,1,16
115,7,0,540,1,100000,1.698,1,16
116,7,0,541,1,100000,1.698,1,16
117,7,0,542,1,100000,1.698,1,16
118,7,0,543,1,100000,1.698,1,16
119,7,0,544,1,100000,1.698,1,16
120,7,0,545,1,100000,1.698,1,16
121,7,0,546,1,100000,1.698,1,16
122,7,0,547,1,100000,1.698,1,16
123,7,0,548,1,100000,1.698,1,16
124,7,0,549,1,100000,1.698,1,16
125,7,0,550,1,100000,1.698,1,16
126,7,0,551,1,100000,1.698,1,16
127,7,0,552,1,100000,1.698,1,16
128,7,0,553,1,100000,1.698,1,16
129,7,0,554,1,100000,1.698,1,16
130,7,0,555,1,100000,1.698,1,16
131,8,0,556,2,100000,3.3205,2,16|17
132,8,0,557,2,100000,3.3205,2,16|17
133,8,0,558,2,100000,3.3205,2,16|17
134,8,0,559,2,100000,3.3205,2,16|17
135,8,0,560,2,100000,3.3205,2,16|17
136,8,0,561,2,100000,3.3205,2,16|17
137,8,0,562,2,100000,3.3205,2,16|17
138,8,0,563,2,100000,3.3205,2,16|17
139,8,0,564,2,100000,3.3205,2,16|17
140,8,0,565,2,100000,3.3205,2,16|17
141,10,0,566,3,100000,3.393,3,8|16|17
142,10,0,567,3,100000,3.393,3,8|16|17
143,10,0,568,3,100000,3.393,3,8|16|17
144,10,0,569,4,100000,3.4605,4,6|7|16|17
145,10,0,570,3,100000,3.393,3,8|16|17
146,10,0,571,3,100000,3.393,3,8|16|17
147,10,0,572,3,100000,3.393,3,8|16|17
148,10,0,573,3,100000,3.393,3,8|16|17
149,10,0,574,3,100000,3.393,3,8|16|17
150,1,4,575,3,100000,2.3625,3,5|9|13
151,1,4,576,3,100000,2.3625,3,5|9|13
152,1,4,577,3,100000,2.3625,3,5|9|13
153,1,4,578,3,100000,2.3625,3,5|9|13
154,1,4,579,3,100000,2.3625,3,5|9|13
155,1,4,580,3,100000,2.3625,3,5|9|13
156,1,4,581,3,100000,2.3625,3,5|9|13
157,1,4,582,3,100000,2.3625,3,5|9|13
158,1,4,583,3,100000,2.3625,3,5|9|13
159,1,4,584,3,100000,2.3625,3,5|9|13
160,1,10,585,4,100000,4.1005,4,3|5|11|13
161,1,10,586,4,100000,4.1005,4,3|5|11|13
162,1,10,587,4,100000,4.1005,4,3|5|11|13
163,1,10,588,4,100000,4.1005,4,3|5|11|13
164,1,10,589,4,100000,4.1005,4,3|5|11|13
165,1,10,590,4,100000,4.1005,4,3|5|11|13
166,1,10,591,4,100000,4.1005,4,3|5|11|13
167,1,10,592,4,100000,4.1005,4,3|5|11|13
168,1,10,593,4,100000,4.1005,4,3|5|11|13
169,1,10,594,4,100000,4.1005,4,3|5|11|13
170,1,10,595,4,100000,4.1005,4,3|5|11|13
171,1,10,596,4,100000,4.1005,4,3|5|11|13
172,1,10,597,4,100000,4.1005,4,3|5|11|13
173,1,10,598,4,100000,4.1005,4,3|5|11|13
174,1,10,599,4,100000,4.1005,4,3|5|11|13
175,1,10,600,4,100000,4.1005,4,3|5|11|13
176,1,10,601,4,100000,4.1005,4,3|5|11|13
177,1,10,602,4,100000,4.1005,4,3|5|11|13
178,1,10,603,4,100000,4.1005,4,3|5|11|13
179,2,5,604,2,100000,2.295,2,5|14
180,2,5,605,2,100000,2.295,2,5|14
181,2,5,606,2,100000,2.295,2,5|14
182,2,5,607,2,100000,2.295,2,5|14
183,2,5,608,2,100000,2.295,2,5|14
184,2,5,609,2,100000,2.295,2,5|14
185,2,5,610,2,100000,2.295,2,5|14
186,2,5,611,2,100000,2.295,2,5|14
187,2,5,612,2,100000,2.295,2,5|14
188,2,5,613,2,100000,2.295,2,5|14
189,2,5,614,2,100000,2.295,2,5|14
190,2,5,615,2,100000,2.295,2,5|14
191,2,5,616,2,100000,2.295,2,5|14
192,2,5,617,2,100000,2.295,2,5|14
193,2,5,618,2,100000,2.295,2,5|14
194,2,5,619,2,100000,2.295,2,5|14
195,2,5,620,2,100000,2.295,2,5|14
196,2,5,621,2,100000,2.295,2,5|14
197,2,5,622,2,100000,2.295,2,5|14
198,2,5,623,2,100000,2.295,2,5|14
199,2,5,624,2,100000,2.295,2,5|14
200,2,5,625,2,100000,2.295,2,5|14
201,2,5,626,2,100000,2.295,2,5|14
202,2,5,627,2,100000,2.295,2,5|14
203,2,5,628,2,100000,2.295,2,5|14
204,2,5,629,2,100000,2.295,2,5|14
205,2,5,630,2,100000,2.295,2,5|14
206,2,5,631,2,100000,2.295,2,5|14
207,2,5,632,2,100000,2.295,2,5|14
208,2,5,633,2,100000,2.295,2,5|14
209,2,5,634,2,100000,2.295,2,5|14
210,2,5,635,2,100000,2.295,2,5|14
211,2,5,636,2,100000,2.295,2,5|14
212,2,5,637,2,100000,2.295,2,5|14
213,2,5,638,2,100000,2.295,2,5|14
214,2,5,639,2,100000,2.295,2,5|14
215,2,5,640,2,100000,2.295,2,5|14
216,2,8,641,5,100000,4.1255,5,3|5|8|11|14
217,2,8,642,5,100000,4.1255,5,3|5|8|11|14
218,2,8,643,5,100000,4.1255,5,3|5|8|11|14
219,2,8,644,5,100000,4.1255,5,3|5|8|11|14
220,2,8,645,5,100000,4.1255,5,3|5|8|11|14
221,2,8,646,5,100000,4.1255,5,3|5|8|11|14
222,2,8,647,5,100000,4.1255,5,3|5|8|11|14
223,2,8,648,5,100000,4.1255,5,3|5|8|11|14
224,2,8,649,5,100000,4.1255,5,3|5|8|11|14
225,2,8,650,5,100000,4.1255,5,3|5|8|11|14
226,2,8,651,5,100000,4.1255,5,3|5|8|11|14
227,2,8,652,5,100000,4.1255,5,3|5|8|11|14
228,2,12,653,1,100000,1.32,1,4
229,2,12,654,1,100000,1.32,1,4
230,2,12,655,1,100000,1.32,1,4
231,2,12,656,1,100000,1.32,1,4
232,2,12,657,1,100000,1.32,1,4
233,2,12,658,1,100000,1.32,1,4
234,2,12,659,1,100000,1.32,1,4
235,2,12,660,1,100000,1.32,1,4
236,2,12,661,1,100000,1.32,1,4
237,2,12,662,1,100000,1.32,1,4
238,2,12,663,1,100000,1.32,1,4
239,2,12,664,1,100000,1.32,1,4
240,2,12,665,1,100000,1.32,1,4
241,2,12,666,1,100000,1.32,1,4
242,2,12,667,1,100000,1.32,1,4
243,2,12,668,1,100000,1.32,1,4
244,2,12,669,1,100000,1.32,1,4
245,2,12,670,1,100000,1.32,1,4
246,4,7,671,2,100000,2.914,2,15|16
247,4,7,672,2,100000,2.914,2,15|16
248,4,7,673,2,100000,2.914,2,15|16
249,4,7,674,2,100000,2.914,2,15|16
250,4,7,675,2,100000,2.914,2,15|16
251,4,7,676,2,100000,2.914,2,15|16
252,4,7,677,2,100000,2.914,2,15|16
253,4,7,678,2,100000,2.914,2,15|16
254,4,7,679,2,100000,2.914,2,15|16
255,4,7,680,2,100000,2.914,2,15|16
256,4,8,681,3,100000,1.893,3,3|8|10
257,4,8,682,3,100000,1.893,3,3|8|10
258,4,8,683,3,100000,1.893,3,3|8|10
259,4,8,684,3,100000,1.893,3,3|8|10
260,4,8,685,3,100000,1.893,3,3|8|10
261,4,8,686,3,100000,1.893,3,3|8|10
262,4,8,687,3,100000,1.893,3,3|8|10
263,4,8,688,3,100000,1.893,3,3|8|10
264,4,8,689,3,100000,1.893,3,3|8|10
265,4,8,690,3,100000,1.893,3,3|8|10
266,4,8,691,3,100000,1.893,3,3|8|10
267,4,8,692,3,100000,1.893,3,3|8|10
268,4,8,693,3,100000,1.893,3,3|8|10
269,5,10,694,2,100000,1.758,2,3|11
270,5,10,695,2,100000,1.758,2,3|11
271,5,10,696,2,100000,1.758,2,3|11
272,5,10,697,2,100000,1.758,2,3|11
273,5,10,698,2,100000,1.758,2,3|11
274,5,10,699,2,100000,1.758,2,3|11
275,5,10,700,2,100000,1.758,2,3|11
276,5,10,701,2,100000,1.758,2,3|11
277,5,10,702,2,100000,1.758,2,3|11
278,5,10,703,2,100000,1.758,2,3|11
