hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
1,0,27,3,4,0,1,1,2,5,5,1.5,1.5
1001,0,27,1.5,1.5,0,1,1,2,5,3,1.5,1.5
1002,0,27,1.5,1.5,0,1,1,2,5,5,1.5,1.5
2,0,37,4,6,0,1,2,2,7,4,5.092,3.2939
2001,0,37,3.74342,4.64247,0,1,2,2,7,3,5.092,3.2939
2002,0,37,5.54153,6.44057,0,1,2,2,7,5,5.092,3.2939
20000,0,20,2,8,0,1,6,2,4,2,2.2754,2.2754
20000001,0,20,2.2754,2.2754,0,1,6,2,4,3,2.2754,2.2754
20000002,0,20,2.2754,2.2754,0,1,6,2,4,5,2.2754,2.2754
3,1,37,3,7,0,1,4,2,7,5,2.0197,2.0197
3001,1,37,2.0197,2.0197,0,1,4,2,7,3,2.0197,2.0197
3002,1,37,2.0197,2.0197,0,1,4,2,7,5,2.0197,2.0197
