demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
20,46,18,7,8,0,1,1,2,10
9,18,53,6,12,0,1,6,2,10
7,18,31,9,12,0,1,3,2,12
21,46,22,5,18,0,1,13,2,12
11,22,46,5,18,0,1,13,2,12
8,18,33,4,12,0,1,8,2,5
4,18,9,6,14,0,1,8,2,9
16,33,18,4,12,0,1,8,2,5
15,31,18,9,12,0,1,3,2,12
3,18,6,7,13,0,1,6,2,9
1,9,18,6,14,0,1,8,2,9
22,53,18,6,13,0,1,7,2,10
0,6,18,7,13,0,1,6,2,9
19,44,27,7,9,0,1,2,2,14
13,27,44,7,9,0,1,2,2,14
10,22,18,12,19,0,1,7,2,18
2,10,18,6,15,0,1,9,2,10
5,18,10,6,15,0,1,9,2,10
6,18,22,12,19,0,1,7,2,18
14,29,43,8,12,0,1,4,2,16
18,43,29,8,12,0,1,4,2,16
12,27,43,12,21,0,1,9,2,23
17,43,27,12,21,0,1,9,2,23
