LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,4,3,0,11,10000,5,0,
1,11,12,0,10,10000,9,0,
2,11,10,0,7,10000,5,0,
3,13,14,0,5,10000,5,0,
4,29,28,0,11,1000,6,0,
5,9,29,0,2,1000,7,0,
6,23,25,0,5,1000,11,0,
7,20,21,0,10,1000,9,0,
8,13,160,0,10,1000,8,0,
9,451,1,0,11,10000,12,0,
10,449,450,0,3,10000,12,0,
11,67,68,0,11,1000,9,0,
12,0,1,0,6,10000,9,0,
13,3,2,0,2,10000,10,0,
14,4,5,0,10,10000,8,0,
15,543,539,0,12,1000,9,0,
16,508,507,0,9,1000,4,0,
17,506,507,0,6,1000,11,0,
18,170,11,0,8,1000,3,0,
19,170,9,0,4,1000,9,0,
20,544,545,0,4,1000,2,0,
21,545,546,0,8,1000,9,0,
22,547,548,0,4,1000,6,0,
23,350,349,0,7,1000,5,0,
24,335,349,0,6,1000,7,0,
25,335,354,0,4,1000,10,0,
26,172,168,0,2,1000,6,0,
27,173,172,0,11,1000,11,0,
28,187,180,0,2,1000,3,0,
29,73,182,0,5,1000,7,0,
30,189,179,0,3,1000,5,0,
31,143,186,0,11,1000,12,0,
32,24,22,0,11,1000,10,0,
33,24,23,0,6,1000,11,0,
34,193,194,0,8,1000,7,0,
35,192,182,0,11,1000,7,0,
36,651,650,0,10,1000,8,0,
37,564,565,0,9,1000,4,0,
38,58,181,0,3,1000,5,0,
39,371,370,0,4,1000,4,0,
40,567,566,0,5,1000,10,0,
41,112,115,0,9,1000,4,0,
42,660,661,0,11,1000,10,0,
43,372,362,0,7,1000,4,0,
44,574,573,0,10,1000,11,0,
45,64,63,0,11,1000,4,0,
46,63,171,0,5,1000,7,0,
47,663,662,0,7,1000,7,0,
48,14,196,0,2,1000,2,0,
49,174,178,0,7,1000,8,0,
50,200,180,0,5,1000,6,0,
51,55,56,0,11,1000,9,0,
52,191,11,0,6,1000,6,0,
53,587,586,0,9,1000,7,0,
54,667,363,0,4,1000,3,0,
55,666,668,0,7,1000,3,0,
56,373,368,0,6,1000,6,0,
57,82,83,0,6,1000,3,0,
58,82,12,0,2,1000,12,0,
59,81,93,0,7,1000,3,0,
60,81,12,0,3,1000,12,0,
61,84,93,0,5,1000,5,0,
62,580,581,0,8,1000,2,0,
63,599,453,0,5,1000,12,0,
64,600,594,0,4,1000,4,0,
65,601,452,0,7,1000,8,0,
66,570,675,0,4,1000,3,0,
67,605,597,0,4,1000,6,0,
68,605,599,0,10,1000,3,0,
69,205,204,0,2,1000,4,0,
70,77,76,0,7,1000,4,0,
71,608,667,0,5,1000,8,0,
72,598,609,0,11,1000,4,0,
73,604,606,0,5,1000,6,0,
74,206,149,0,4,1000,4,0,
75,12,11,0,7,10000,3,0,
76,208,207,0,4,1000,9,0,
77,683,642,0,11,1000,4,0,
78,213,189,0,11,1000,4,0,
79,613,502,0,9,1000,7,0,
80,357,358,0,3,10000,8,0,
81,358,359,0,9,10000,11,0,
82,10,11,0,12,10000,9,0,
83,518,453,0,7,10000,2,0,
84,217,54,0,9,1000,2,0,
85,468,447,0,8,10000,12,0,
86,515,468,0,4,10000,12,0,
87,492,515,0,6,10000,6,0,
88,215,150,0,2,1000,4,0,
89,219,194,0,6,1000,11,0,
90,219,9,0,9,1000,11,0,
91,688,641,0,9,1000,2,0,
92,688,582,0,6,1000,5,0,
