demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
387,844,603,27.0,45.0,1,1,14.4,0,29
389,452,565,28.5,47.5,1,1,15.2,0,26
386,843,706,24.0,40.0,1,1,12.8,0,25
148,1032,870,42.0,70.0,1,1,22.4,0,31
248,333,318,36.0,60.0,1,1,19.2,0,31
40,135,124,27.0,45.0,1,1,14.4,0,20
243,805,823,40.5,67.5,1,1,21.6,0,37
278,138,207,52.5,87.5,1,1,28.0,0,39
164,212,126,27.0,45.0,1,1,14.4,0,25
356,346,376,30.0,50.0,1,1,16.0,0,39
290,298,302,52.5,87.5,1,1,28.0,0,37
300,302,75,46.5,77.5,1,1,24.8,0,48
174,904,557,33.0,55.0,1,1,17.6,0,20
344,750,491,39.0,65.0,1,1,20.8,0,35
285,556,455,27.0,45.0,1,1,14.4,0,19
182,666,697,46.5,77.5,1,1,24.8,0,42
329,767,845,43.5,72.5,1,1,23.2,0,43
264,472,525,25.5,42.5,1,1,13.6,0,35
169,299,25,46.5,77.5,1,1,24.8,0,33
303,391,395,46.5,77.5,1,1,24.8,0,55
155,366,0,30.0,50.0,1,1,16.0,0,28
255,145,127,61.5,102.5,1,1,32.8,0,39
52,223,30,40.5,67.5,1,1,21.6,0,44
30,840,760,42.0,70.0,1,1,22.4,0,34
35,186,19,67.5,112.5,1,1,36.0,0,43
265,813,519,39.0,65.0,1,1,20.8,0,23
74,499,647,28.5,47.5,1,1,15.2,0,29
149,283,225,58.5,97.5,1,1,31.2,0,27
6,528,521,30.0,50.0,1,1,16.0,0,27
18,780,59,48.0,80.0,1,1,25.6,0,41
209,389,421,49.5,82.5,1,1,26.4,0,40
342,615,768,51.0,85.0,1,1,27.2,0,41
65,598,798,51.0,85.0,1,1,27.2,0,33
194,470,767,45.0,75.0,1,1,24.0,0,32
83,520,587,28.5,47.5,1,1,15.2,0,28
143,12,324,40.5,67.5,1,1,21.6,0,35
288,659,693,57.0,95.0,1,1,30.4,0,54
228,764,844,51.0,85.0,1,1,27.2,0,44
102,379,431,63.0,105.0,1,1,33.6,0,48
41,152,61,40.5,67.5,1,1,21.6,0,35
53,446,1058,36.0,60.0,1,1,19.2,0,31
9,352,4,34.5,57.5,1,1,18.4,0,38
36,96,311,58.5,97.5,1,1,31.2,0,34
58,756,634,48.0,80.0,1,1,25.6,0,35
190,559,956,48.0,80.0,1,1,25.6,0,42
184,526,750,42.0,70.0,1,1,22.4,0,31
23,541,1031,37.5,62.5,1,1,20.0,0,25
337,508,504,31.5,52.5,1,1,16.8,0,38
279,58,248,42.0,70.0,1,1,22.4,0,39
116,821,740,52.5,87.5,1,1,28.0,0,42
262,822,866,46.5,77.5,1,1,24.8,0,30
183,31,286,37.5,62.5,1,1,20.0,0,24
377,535,1044,34.5,57.5,1,1,18.4,0,26
84,909,539,48.0,80.0,1,1,25.6,0,50
105,531,576,39.0,65.0,1,1,20.8,0,32
305,669,477,40.5,67.5,1,1,21.6,0,33
328,754,28,63.0,105.0,1,1,33.6,0,53
339,608,545,52.5,87.5,1,1,28.0,0,49
28,516,79,51.0,85.0,1,1,27.2,0,37
233,1036,848,46.5,77.5,1,1,24.8,0,44
380,494,651,54.0,90.0,1,1,28.8,0,49
301,37,631,78.0,130.0,1,1,41.6,0,57
4,530,928,24.0,40.0,1,1,12.8,0,21
246,19,1032,52.5,87.5,1,1,28.0,0,45
16,129,41,49.5,82.5,1,1,26.4,0,40
172,98,194,46.5,77.5,1,1,24.8,0,37
5,63,282,66.0,110.0,1,1,35.2,0,56
210,660,808,84.0,140.0,1,1,44.8,0,60
349,720,170,63.0,105.0,1,1,33.6,0,50
179,978,871,82.5,137.5,1,1,44.0,0,46
2,621,825,40.5,67.5,1,1,21.6,0,42
317,26,153,46.5,77.5,1,1,24.8,0,32
15,810,34,61.5,102.5,1,1,32.8,0,51
232,127,649,72.0,120.0,1,1,38.4,0,40
307,165,283,55.5,92.5,1,1,29.6,0,41
60,870,451,55.5,92.5,1,1,29.6,0,43
358,677,79,49.5,82.5,1,1,26.4,0,34
347,857,507,60.0,100.0,1,1,32.0,0,43
197,801,914,64.5,107.5,1,1,34.4,0,66
56,506,993,64.5,107.5,1,1,34.4,0,37
115,711,740,61.5,102.5,1,1,32.8,0,45
136,468,54,73.5,122.5,1,1,39.2,0,58
364,764,617,57.0,95.0,1,1,30.4,0,38
175,935,526,40.5,67.5,1,1,21.6,0,40
73,897,841,52.5,87.5,1,1,28.0,0,48
127,371,4,63.0,105.0,1,1,33.6,0,56
44,4,454,46.5,77.5,1,1,24.8,0,34
226,604,903,79.5,132.5,1,1,42.4,0,54
46,839,544,60.0,100.0,1,1,32.0,0,56
54,525,955,57.0,95.0,1,1,30.4,0,52
97,99,604,84.0,140.0,1,1,44.8,0,53
272,490,171,66.0,110.0,1,1,35.2,0,61
150,686,704,61.5,102.5,1,1,32.8,0,32
20,530,753,49.5,82.5,1,1,26.4,0,32
10,693,786,76.5,127.5,1,1,40.8,0,60
38,797,413,58.5,97.5,1,1,31.2,0,42
381,651,612,91.5,152.5,1,1,48.8,0,65
205,414,635,60.0,100.0,1,1,32.0,0,37
336,178,58,63.0,105.0,1,1,33.6,0,36
241,212,988,79.5,132.5,1,1,42.4,0,49
269,454,394,51.0,85.0,1,1,27.2,0,43
316,983,766,36.0,60.0,1,1,19.2,0,35
291,21,51,79.5,132.5,1,1,42.4,0,58
153,465,766,34.5,57.5,1,1,18.4,0,38
113,90,98,54.0,90.0,1,1,28.8,0,38
225,35,506,63.0,105.0,1,1,33.6,0,67
129,111,484,48.0,80.0,1,1,25.6,0,42
295,797,523,54.0,90.0,1,1,28.8,0,52
310,888,89,70.5,117.5,1,1,37.6,0,50
29,668,19,75.0,125.0,1,1,40.0,0,58
49,963,680,72.0,120.0,1,1,38.4,0,44
376,60,688,63.0,105.0,1,1,33.6,0,57
325,920,963,61.5,102.5,1,1,32.8,0,49
235,730,9,63.0,105.0,1,1,33.6,0,50
230,637,94,85.5,142.5,1,1,45.6,0,66
324,920,865,61.5,102.5,1,1,32.8,0,41
191,1025,615,70.5,117.5,1,1,37.6,0,39
66,276,915,70.5,117.5,1,1,37.6,0,52
173,1051,613,81.0,135.0,1,1,43.2,0,55
198,71,333,82.5,137.5,1,1,44.0,0,50
89,825,481,81.0,135.0,1,1,43.2,0,65
68,616,506,67.5,112.5,1,1,36.0,0,72
186,283,958,72.0,120.0,1,1,38.4,0,45
176,400,841,93.0,155.0,1,1,49.6,0,76
27,1042,76,51.0,85.0,1,1,27.2,0,51
236,670,148,82.5,137.5,1,1,44.0,0,55
123,664,1009,90.0,150.0,1,1,48.0,0,60
326,230,4,52.5,87.5,1,1,28.0,0,39
100,711,520,69.0,115.0,1,1,36.8,0,37
141,263,975,73.5,122.5,1,1,39.2,0,60
90,789,753,73.5,122.5,1,1,39.2,0,52
79,44,332,64.5,107.5,1,1,34.4,0,40
351,947,756,105.0,175.0,1,1,56.0,0,80
63,1066,62,58.5,97.5,1,1,31.2,0,62
161,276,615,99.0,165.0,1,1,52.8,0,60
312,16,801,72.0,120.0,1,1,38.4,0,60
332,171,709,54.0,90.0,1,1,28.8,0,59
158,131,177,82.5,137.5,1,1,44.0,0,40
263,455,924,57.0,95.0,1,1,30.4,0,44
367,884,198,97.5,162.5,1,1,52.0,0,51
3,16,1020,60.0,100.0,1,1,32.0,0,47
108,925,28,81.0,135.0,1,1,43.2,0,53
220,526,369,63.0,105.0,1,1,33.6,0,60
181,659,1062,94.5,157.5,1,1,50.4,0,75
234,727,766,94.5,157.5,1,1,50.4,0,65
45,248,199,61.5,102.5,1,1,32.8,0,32
224,161,475,94.5,157.5,1,1,50.4,0,56
134,856,307,73.5,122.5,1,1,39.2,0,65
67,24,35,105.0,175.0,1,1,56.0,0,71
1,71,385,87.0,145.0,1,1,46.4,0,78
140,10,985,60.0,100.0,1,1,32.0,0,42
250,931,216,88.5,147.5,1,1,47.2,0,58
125,8,564,79.5,132.5,1,1,42.4,0,48
43,656,103,96.0,160.0,1,1,51.2,0,60
359,766,198,93.0,155.0,1,1,49.6,0,59
223,823,922,31.5,52.5,1,1,16.8,0,36
24,155,593,100.5,167.5,1,1,53.6,0,63
213,587,529,55.5,92.5,1,1,29.6,0,38
94,129,416,87.0,145.0,1,1,46.4,0,55
80,309,981,99.0,165.0,1,1,52.8,0,70
201,370,718,106.5,177.5,1,1,56.8,0,76
330,821,779,73.5,122.5,1,1,39.2,0,53
88,615,683,91.5,152.5,1,1,48.8,0,77
126,664,227,93.0,155.0,1,1,49.6,0,69
293,532,230,90.0,150.0,1,1,48.0,0,54
365,983,867,87.0,145.0,1,1,46.4,0,61
120,807,688,70.5,117.5,1,1,37.6,0,44
62,772,387,84.0,140.0,1,1,44.8,0,82
81,502,198,112.5,187.5,1,1,60.0,0,74
227,1003,62,58.5,97.5,1,1,31.2,0,63
109,164,996,79.5,132.5,1,1,42.4,0,42
335,696,387,103.5,172.5,1,1,55.2,0,85
286,344,905,114.0,190.0,1,1,60.8,0,63
371,481,485,79.5,132.5,1,1,42.4,0,53
268,732,650,93.0,155.0,1,1,49.6,0,66
162,974,31,93.0,155.0,1,1,49.6,0,48
189,891,848,85.5,142.5,1,1,45.6,0,67
343,713,507,84.0,140.0,1,1,44.8,0,69
128,793,991,112.5,187.5,1,1,60.0,0,71
297,688,526,93.0,155.0,1,1,49.6,0,67
39,894,395,51.0,85.0,1,1,27.2,0,50
372,990,478,79.5,132.5,1,1,42.4,0,68
130,636,434,78.0,130.0,1,1,41.6,0,61
33,1063,1035,73.5,122.5,1,1,39.2,0,56
76,210,1055,115.5,192.5,1,1,61.6,0,74
70,534,914,81.0,135.0,1,1,43.2,0,72
142,518,18,81.0,135.0,1,1,43.2,0,56
388,588,475,84.0,140.0,1,1,44.8,0,63
370,606,506,88.5,147.5,1,1,47.2,0,73
121,733,1013,102.0,170.0,1,1,54.4,0,61
85,504,544,94.5,157.5,1,1,50.4,0,77
369,72,462,66.0,110.0,1,1,35.2,0,49
309,281,935,124.5,207.5,1,1,66.4,0,75
69,423,469,105.0,175.0,1,1,56.0,0,71
196,968,181,94.5,157.5,1,1,50.4,0,63
107,848,176,100.5,167.5,1,1,53.6,0,79
245,943,780,82.5,137.5,1,1,44.0,0,68
64,779,665,111.0,185.0,1,1,59.2,0,65
157,984,59,84.0,140.0,1,1,44.8,0,76
221,930,757,106.5,177.5,1,1,56.8,0,75
167,58,472,105.0,175.0,1,1,56.0,0,58
296,216,981,120.0,200.0,1,1,64.0,0,82
106,610,340,76.5,127.5,1,1,40.8,0,67
139,609,754,106.5,177.5,1,1,56.8,0,70
231,894,696,76.5,127.5,1,1,40.8,0,63
75,1005,937,88.5,147.5,1,1,47.2,0,69
289,70,263,76.5,127.5,1,1,40.8,0,56
360,324,890,99.0,165.0,1,1,52.8,0,71
200,461,71,76.5,127.5,1,1,40.8,0,53
229,1044,145,85.5,142.5,1,1,45.6,0,68
261,911,190,81.0,135.0,1,1,43.2,0,60
251,387,1068,100.5,167.5,1,1,53.6,0,73
124,475,302,105.0,175.0,1,1,56.0,0,78
104,885,694,102.0,170.0,1,1,54.4,0,70
131,853,666,108.0,180.0,1,1,57.6,0,91
188,52,1032,94.5,157.5,1,1,50.4,0,59
357,563,37,73.5,122.5,1,1,39.2,0,49
320,290,722,123.0,205.0,1,1,65.6,0,72
273,170,423,90.0,150.0,1,1,48.0,0,75
96,413,289,129.0,215.0,1,1,68.8,0,59
271,551,286,90.0,150.0,1,1,48.0,0,50
193,943,372,75.0,125.0,1,1,40.0,0,54
375,786,38,84.0,140.0,1,1,44.8,0,65
253,74,789,99.0,165.0,1,1,52.8,0,80
382,469,27,84.0,140.0,1,1,44.8,0,50
383,482,63,78.0,130.0,1,1,41.6,0,61
51,530,153,93.0,155.0,1,1,49.6,0,58
282,164,752,99.0,165.0,1,1,52.8,0,52
187,720,905,139.5,232.5,1,1,74.4,0,88
138,674,786,84.0,140.0,1,1,44.8,0,59
156,888,761,82.5,137.5,1,1,44.0,0,58
151,352,243,121.5,202.5,1,1,64.8,0,74
218,766,849,106.5,177.5,1,1,56.8,0,80
331,374,642,118.5,197.5,1,1,63.2,0,84
152,430,658,121.5,202.5,1,1,64.8,0,82
133,959,511,84.0,140.0,1,1,44.8,0,74
237,603,47,85.5,142.5,1,1,45.6,0,59
249,1067,96,82.5,137.5,1,1,44.0,0,64
294,909,975,88.5,147.5,1,1,47.2,0,62
217,520,680,75.0,125.0,1,1,40.0,0,54
57,798,655,69.0,115.0,1,1,36.8,0,51
117,376,538,109.5,182.5,1,1,58.4,0,83
21,795,25,82.5,137.5,1,1,44.0,0,58
256,296,814,91.5,152.5,1,1,48.8,0,70
379,508,258,97.5,162.5,1,1,52.0,0,70
72,728,89,132.0,220.0,1,1,70.4,0,80
363,866,0,69.0,115.0,1,1,36.8,0,48
178,938,361,72.0,120.0,1,1,38.4,0,59
171,541,1066,75.0,125.0,1,1,40.0,0,65
180,154,849,109.5,182.5,1,1,58.4,0,77
302,162,526,117.0,195.0,1,1,62.4,0,67
384,786,740,96.0,160.0,1,1,51.2,0,61
366,969,392,72.0,120.0,1,1,38.4,0,67
207,677,610,100.5,167.5,1,1,53.6,0,68
292,785,472,97.5,162.5,1,1,52.0,0,64
111,655,974,109.5,182.5,1,1,58.4,0,54
211,436,79,114.0,190.0,1,1,60.8,0,67
318,471,318,99.0,165.0,1,1,52.8,0,57
165,102,1011,103.5,172.5,1,1,55.2,0,53
299,835,626,100.5,167.5,1,1,53.6,0,66
260,554,258,114.0,190.0,1,1,60.8,0,71
8,333,416,102.0,170.0,1,1,54.4,0,57
313,941,649,85.5,142.5,1,1,45.6,0,54
145,161,758,108.0,180.0,1,1,57.6,0,55
110,375,486,111.0,185.0,1,1,59.2,0,84
215,785,21,96.0,160.0,1,1,51.2,0,79
341,871,961,99.0,165.0,1,1,52.8,0,67
206,322,867,120.0,200.0,1,1,64.0,0,65
55,835,599,99.0,165.0,1,1,52.8,0,64
137,534,12,73.5,122.5,1,1,39.2,0,50
340,470,1042,90.0,150.0,1,1,48.0,0,69
61,1011,847,114.0,190.0,1,1,60.8,0,75
103,332,745,100.5,167.5,1,1,53.6,0,62
306,1053,258,100.5,167.5,1,1,53.6,0,72
37,603,478,82.5,137.5,1,1,44.0,0,66
77,236,411,100.5,167.5,1,1,53.6,0,61
238,362,152,112.5,187.5,1,1,60.0,0,66
368,597,63,97.5,162.5,1,1,52.0,0,72
374,6,750,112.5,187.5,1,1,60.0,0,66
252,212,941,129.0,215.0,1,1,68.8,0,60
160,54,403,127.5,212.5,1,1,68.0,0,76
212,882,307,132.0,220.0,1,1,70.4,0,82
214,487,355,102.0,170.0,1,1,54.4,0,80
258,186,796,132.0,220.0,1,1,70.4,0,73
354,755,453,93.0,155.0,1,1,49.6,0,59
355,339,309,120.0,200.0,1,1,64.0,0,78
144,817,257,118.5,197.5,1,1,63.2,0,78
42,908,368,82.5,137.5,1,1,44.0,0,69
222,920,270,63.0,105.0,1,1,33.6,0,49
159,779,985,111.0,185.0,1,1,59.2,0,73
219,611,75,93.0,155.0,1,1,49.6,0,65
31,756,105,105.0,175.0,1,1,56.0,0,67
50,795,604,114.0,190.0,1,1,60.8,0,72
298,343,228,114.0,190.0,1,1,60.8,0,81
319,574,896,112.5,187.5,1,1,60.0,0,83
283,105,512,93.0,155.0,1,1,49.6,0,46
308,75,531,115.5,192.5,1,1,61.6,0,73
101,817,281,133.5,222.5,1,1,71.2,0,85
17,445,120,109.5,182.5,1,1,58.4,0,85
202,868,267,85.5,142.5,1,1,45.6,0,53
7,759,373,94.5,157.5,1,1,50.4,0,86
135,94,444,99.0,165.0,1,1,52.8,0,70
353,983,959,103.5,172.5,1,1,55.2,0,75
92,196,402,117.0,195.0,1,1,62.4,0,64
192,536,812,109.5,182.5,1,1,58.4,0,68
168,233,565,126.0,210.0,1,1,67.2,0,72
14,337,175,121.5,202.5,1,1,64.8,0,57
274,670,575,114.0,190.0,1,1,60.8,0,80
373,521,696,93.0,155.0,1,1,49.6,0,69
19,726,664,144.0,240.0,1,1,76.8,0,75
239,486,1017,126.0,210.0,1,1,67.2,0,79
247,148,627,135.0,225.0,1,1,72.0,0,66
177,991,807,114.0,190.0,1,1,60.8,0,70
166,471,926,94.5,157.5,1,1,50.4,0,56
0,54,346,105.0,175.0,1,1,56.0,0,87
254,801,925,127.5,212.5,1,1,68.0,0,84
322,368,275,115.5,192.5,1,1,61.6,0,78
311,402,449,94.5,157.5,1,1,50.4,0,69
346,1053,441,118.5,197.5,1,1,63.2,0,100
287,645,781,103.5,172.5,1,1,55.2,0,56
95,356,318,114.0,190.0,1,1,60.8,0,69
98,824,234,55.5,92.5,1,1,29.6,0,37
34,236,410,114.0,190.0,1,1,60.8,0,67
118,431,521,129.0,215.0,1,1,68.8,0,75
257,852,33,111.0,185.0,1,1,59.2,0,58
333,706,609,114.0,190.0,1,1,60.8,0,70
242,486,224,124.5,207.5,1,1,66.4,0,83
240,417,284,112.5,187.5,1,1,60.0,0,77
321,903,154,120.0,200.0,1,1,64.0,0,81
122,533,947,97.5,162.5,1,1,52.0,0,73
93,58,412,123.0,205.0,1,1,65.6,0,72
119,928,914,100.5,167.5,1,1,53.6,0,75
334,608,147,130.5,217.5,1,1,69.6,0,74
78,1008,18,93.0,155.0,1,1,49.6,0,72
385,564,120,106.5,177.5,1,1,56.8,0,79
338,25,530,126.0,210.0,1,1,67.2,0,66
25,972,67,105.0,175.0,1,1,56.0,0,79
59,809,275,118.5,197.5,1,1,63.2,0,70
185,936,750,132.0,220.0,1,1,70.4,0,82
154,555,766,115.5,192.5,1,1,61.6,0,80
259,714,177,118.5,197.5,1,1,63.2,0,72
352,425,731,132.0,220.0,1,1,70.4,0,82
204,520,731,117.0,195.0,1,1,62.4,0,67
208,234,474,109.5,182.5,1,1,58.4,0,62
132,884,462,99.0,165.0,1,1,52.8,0,64
345,852,92,135.0,225.0,1,1,72.0,0,66
284,928,340,90.0,150.0,1,1,48.0,0,65
22,881,426,94.5,157.5,1,1,50.4,0,80
362,532,181,118.5,197.5,1,1,63.2,0,67
350,1019,909,115.5,192.5,1,1,61.6,0,78
12,1035,423,87.0,145.0,1,1,46.4,0,75
267,539,272,96.0,160.0,1,1,51.2,0,74
82,24,804,133.5,222.5,1,1,71.2,0,77
270,728,71,135.0,225.0,1,1,72.0,0,85
195,623,450,108.0,180.0,1,1,57.6,0,67
71,984,812,136.5,227.5,1,1,72.8,0,102
11,840,688,108.0,180.0,1,1,57.6,0,72
323,73,402,136.5,227.5,1,1,72.8,0,83
348,430,351,42.0,70.0,1,1,22.4,0,42
266,380,795,138.0,230.0,1,1,73.6,0,87
277,601,133,120.0,200.0,1,1,64.0,0,65
244,671,722,136.5,227.5,1,1,72.8,0,95
163,998,188,135.0,225.0,1,1,72.0,0,93
147,399,573,120.0,200.0,1,1,64.0,0,80
199,642,92,124.5,207.5,1,1,66.4,0,77
275,809,307,132.0,220.0,1,1,70.4,0,87
86,826,107,126.0,210.0,1,1,67.2,0,77
13,937,1018,105.0,175.0,1,1,56.0,0,74
280,1015,559,118.5,197.5,1,1,63.2,0,80
87,1008,224,123.0,205.0,1,1,65.6,0,89
276,993,768,136.5,227.5,1,1,72.8,0,87
91,387,286,132.0,220.0,1,1,70.4,0,88
216,826,963,130.5,217.5,1,1,69.6,0,77
146,396,462,144.0,240.0,1,1,76.8,0,90
99,471,682,103.5,172.5,1,1,55.2,0,71
32,728,267,130.5,217.5,1,1,69.6,0,77
48,866,431,120.0,200.0,1,1,64.0,0,85
281,376,73,156.0,260.0,1,1,83.2,0,100
114,707,181,133.5,222.5,1,1,71.2,0,78
26,1055,844,138.0,230.0,1,1,73.6,0,86
47,578,38,129.0,215.0,1,1,68.8,0,91
