hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
24,1608,2019,148.8,153.4,10,1,0,0,53330,3,158,112
24001,1608,2019,123.5,146.5,10,1,0,0,53330,3,158,112
24002,1608,2019,169.5,192.5,10,1,0,0,53330,5,158,112
46,707,1995,160.7,168.9,10,1,0,0,28332,5,67,41
46001,707,1995,47.5,60.5,10,1,0,0,28332,3,67,41
46002,707,1995,73.5,86.5,10,1,0,0,28332,5,67,41
158,735,2064,157,165,10,1,0,0,39164,5,49,40
158001,735,2064,42.25,46.75,10,1,0,0,39164,3,49,40
158002,735,2064,51.25,55.75,10,1,0,0,39164,5,49,40
101,341,2046,153.5,160.5,10,1,0,0,16000,5,47,35
101001,341,2046,38,44,10,1,0,0,16000,3,47,35
101002,341,2046,50,56,10,1,0,0,16000,5,47,35
141,1357,2061,192,202,10,1,0,0,22166,5,50,50
141001,1357,2061,50,50,10,1,0,0,22166,3,50,50
141002,1357,2061,50,50,10,1,0,0,22166,5,50,50
120,1185,2018,179.8,188.6,10,1,0,0,18500,5,61,44
120001,1185,2018,48.25,56.75,10,1,0,0,18500,3,61,44
120002,1185,2018,65.25,73.75,10,1,0,0,18500,5,61,44
84,258,1995,172.4,180.8,10,1,0,0,21166,5,59,42
84001,258,1995,46.25,54.75,10,1,0,0,21166,3,59,42
84002,258,1995,63.25,71.75,10,1,0,0,21166,5,59,42
97,1767,2033,185.6,195.2,10,1,0,0,19500,5,56,48
97001,1767,2033,50,54,10,1,0,0,19500,3,56,48
97002,1767,2033,58,62,10,1,0,0,19500,5,56,48
77,1837,2008,168.4,176.8,10,1,0,0,33332,5,44,42
77001,1837,2008,42.5,43.5,10,1,0,0,33332,3,44,42
77002,1837,2008,44.5,45.5,10,1,0,0,33332,5,44,42
123,572,1994,181.1,189.7,10,1,0,0,21666,5,58,43
123001,572,1994,46.75,54.25,10,1,0,0,21666,3,58,43
123002,572,1994,61.75,69.25,10,1,0,0,21666,5,58,43
139,668,2032,208.8,219.6,10,1,0,0,32832,5,71,54
139001,668,2032,58.25,66.75,10,1,0,0,32832,3,71,54
139002,668,2032,75.25,83.75,10,1,0,0,32832,5,71,54
128,1588,2046,198.3,208.1,10,1,0,0,32332,5,49,49
128001,1588,2046,49,49,10,1,0,0,32332,3,49,49
128002,1588,2046,49,49,10,1,0,0,32332,5,49,49
132,78,2022,237.7,249.9,10,1,0,0,26166,5,73,61
132001,78,2022,64,70,10,1,0,0,26166,3,73,61
132002,78,2022,76,82,10,1,0,0,26166,5,73,61
149,944,2066,202.7,212.9,10,1,0,0,23166,5,65,51
149001,944,2066,54.5,61.5,10,1,0,0,23166,3,65,51
149002,944,2066,68.5,75.5,10,1,0,0,23166,5,65,51
107,337,2037,179.1,187.7,10,1,0,0,18000,5,68,43
107001,337,2037,49.25,61.75,10,1,0,0,18000,3,68,43
107002,337,2037,74.25,86.75,10,1,0,0,18000,5,68,43
143,434,2073,211.1,221.7,10,1,0,0,20500,5,87,53
143001,434,2073,61.5,78.5,10,1,0,0,20500,3,87,53
143002,434,2073,95.5,112.5,10,1,0,0,20500,5,87,53
135,218,2034,234,246,10,1,0,0,26666,5,72,60
135001,218,2034,63,69,10,1,0,0,26666,3,72,60
135002,218,2034,75,81,10,1,0,0,26666,5,72,60
113,1380,2027,211.8,222.6,10,1,0,0,24166,5,54,54
113001,1380,2027,54,54,10,1,0,0,24166,3,54,54
113002,1380,2027,54,54,10,1,0,0,24166,5,54,54
99,398,2029,236.3,248.1,10,1,0,0,35332,5,65,59
99001,398,2029,60.5,63.5,10,1,0,0,35332,3,65,59
99002,398,2029,66.5,69.5,10,1,0,0,35332,5,65,59
58,88,2019,223.9,235.3,10,1,0,0,22000,5,70,57
58001,88,2019,60.25,66.75,10,1,0,0,22000,3,70,57
58002,88,2019,73.25,79.75,10,1,0,0,22000,5,70,57
82,631,2001,228,240,10,1,0,0,25666,5,70,60
82001,631,2001,62.5,67.5,10,1,0,0,25666,3,70,60
82002,631,2001,72.5,77.5,10,1,0,0,25666,5,70,60
89,432,1997,209,219,10,1,0,0,31166,5,81,50
89001,432,1997,57.75,73.25,10,1,0,0,31166,3,81,50
89002,432,1997,88.75,104.25,10,1,0,0,31166,5,81,50
159,1169,2074,238,250,10,1,0,0,34332,5,65,60
159001,1169,2074,61.25,63.75,10,1,0,0,34332,3,65,60
159002,1169,2074,66.25,68.75,10,1,0,0,34332,5,65,60
96,1132,2015,216.9,228.3,10,1,0,0,38332,5,63,57
96001,1132,2015,58.5,61.5,10,1,0,0,38332,3,63,57
96002,1132,2015,64.5,67.5,10,1,0,0,38332,5,63,57
61,1729,1994,213.4,223.8,10,1,0,0,21500,5,60,52
61001,1729,1994,54,58,10,1,0,0,21500,3,60,52
61002,1729,1994,62,66,10,1,0,0,21500,5,60,52
150,1477,2065,259.1,271.7,10,1,0,0,45664,5,89,63
150001,1477,2065,69.5,82.5,10,1,0,0,45664,3,89,63
150002,1477,2065,95.5,108.5,10,1,0,0,45664,5,89,63
114,538,1995,242.1,254.7,10,1,0,0,39998,5,89,63
114001,538,1995,69.5,82.5,10,1,0,0,39998,3,89,63
114002,538,1995,95.5,108.5,10,1,0,0,39998,5,89,63
117,1691,2052,212.4,222.8,10,1,0,0,22000,5,72,52
117001,1691,2052,57,67,10,1,0,0,22000,3,72,52
117002,1691,2052,77,87,10,1,0,0,22000,5,72,52
56,786,2055,244.8,257.6,10,1,0,0,21000,5,72,64
56001,786,2055,66,70,10,1,0,0,21000,3,72,64
56002,786,2055,74,78,10,1,0,0,21000,5,72,64
103,967,2017,249.7,261.9,10,1,0,0,40998,5,85,61
103001,967,2017,67,79,10,1,0,0,40998,3,85,61
103002,967,2017,91,103,10,1,0,0,40998,5,85,61
63,159,2052,249.8,262.6,10,1,0,0,36832,5,77,64
63001,159,2052,67.25,73.75,10,1,0,0,36832,3,77,64
63002,159,2052,80.25,86.75,10,1,0,0,36832,5,77,64
127,511,1995,234.7,246.9,10,1,0,0,31832,5,75,61
127001,511,1995,64.5,71.5,10,1,0,0,31832,3,75,61
127002,511,1995,78.5,85.5,10,1,0,0,31832,5,75,61
66,1325,2042,220.9,232.3,10,1,0,0,35832,5,57,57
66001,1325,2042,57,57,10,1,0,0,35832,3,57,57
66002,1325,2042,57,57,10,1,0,0,35832,5,57,57
60,889,2024,216.5,227.5,10,1,0,0,20000,5,68,55
60001,889,2024,58.25,64.75,10,1,0,0,20000,3,68,55
60002,889,2024,71.25,77.75,10,1,0,0,20000,5,68,55
129,1591,2000,217.2,228.4,10,1,0,0,20000,5,68,56
129001,1591,2000,59,65,10,1,0,0,20000,3,68,56
129002,1591,2000,71,77,10,1,0,0,20000,5,68,56
78,257,2017,223.6,235.2,10,1,0,0,21000,5,67,58
78001,257,2017,60.25,64.75,10,1,0,0,21000,3,67,58
78002,257,2017,69.25,73.75,10,1,0,0,21000,5,67,58
94,1499,2025,217.7,227.9,10,1,0,0,37332,5,78,51
94001,1499,2025,57.75,71.25,10,1,0,0,37332,3,78,51
94002,1499,2025,84.75,98.25,10,1,0,0,37332,5,78,51
74,1588,2016,243.1,255.7,10,1,0,0,38332,5,73,63
74001,1588,2016,65.5,70.5,10,1,0,0,38332,3,73,63
74002,1588,2016,75.5,80.5,10,1,0,0,38332,5,73,63
85,1732,2032,255.9,269.3,10,1,0,0,39332,5,83,67
85001,1732,2032,71,79,10,1,0,0,39332,3,83,67
85002,1732,2032,87,95,10,1,0,0,39332,5,83,67
145,326,2058,281,295,10,1,0,0,46664,5,80,70
145001,326,2058,72.5,77.5,10,1,0,0,46664,3,80,70
145002,326,2058,82.5,87.5,10,1,0,0,46664,5,80,70
49,1679,2019,247.1,259.7,10,1,0,0,26000,5,77,63
49001,1679,2019,66.5,73.5,10,1,0,0,26000,3,77,63
49002,1679,2019,80.5,87.5,10,1,0,0,26000,5,77,63
133,438,2006,246.5,259.5,10,1,0,0,50164,5,106,65
133001,438,2006,75.25,95.75,10,1,0,0,50164,3,106,65
133002,438,2006,116.25,136.75,10,1,0,0,50164,5,106,65
83,1629,2035,270.6,284.2,10,1,0,0,25500,5,87,68
