demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
24,1608,2019,148.8,153.4,10,1,0,0,53330
46,707,1995,160.7,168.9,10,1,0,0,28332
158,735,2064,157.0,165.0,10,1,0,0,39164
101,341,2046,153.5,160.5,10,1,0,0,16000
141,1357,2061,192.0,202.0,10,1,0,0,22166
120,1185,2018,179.8,188.6,10,1,0,0,18500
84,258,1995,172.4,180.8,10,1,0,0,21166
97,1767,2033,185.6,195.2,10,1,0,0,19500
77,1837,2008,168.4,176.8,10,1,0,0,33332
123,572,1994,181.1,189.7,10,1,0,0,21666
139,668,2032,208.8,219.6,10,1,0,0,32832
128,1588,2046,198.3,208.1,10,1,0,0,32332
132,78,2022,237.7,249.9,10,1,0,0,26166
149,944,2066,202.7,212.9,10,1,0,0,23166
107,337,2037,179.1,187.7,10,1,0,0,18000
143,434,2073,211.1,221.7,10,1,0,0,20500
135,218,2034,234.0,246.0,10,1,0,0,26666
113,1380,2027,211.8,222.6,10,1,0,0,24166
99,398,2029,236.3,248.1,10,1,0,0,35332
58,88,2019,223.9,235.3,10,1,0,0,22000
82,631,2001,228.0,240.0,10,1,0,0,25666
89,432,1997,209.0,219.0,10,1,0,0,31166
159,1169,2074,238.0,250.0,10,1,0,0,34332
96,1132,2015,216.9,228.3,10,1,0,0,38332
61,1729,1994,213.4,223.8,10,1,0,0,21500
150,1477,2065,259.1,271.7,10,1,0,0,45664
114,538,1995,242.1,254.7,10,1,0,0,39998
117,1691,2052,212.4,222.8,10,1,0,0,22000
56,786,2055,244.8,257.6,10,1,0,0,21000
103,967,2017,249.7,261.9,10,1,0,0,40998
63,159,2052,249.8,262.6,10,1,0,0,36832
127,511,1995,234.7,246.9,10,1,0,0,31832
66,1325,2042,220.9,232.3,10,1,0,0,35832
60,889,2024,216.5,227.5,10,1,0,0,20000
129,1591,2000,217.2,228.4,10,1,0,0,20000
78,257,2017,223.6,235.2,10,1,0,0,21000
94,1499,2025,217.7,227.9,10,1,0,0,37332
74,1588,2016,243.1,255.7,10,1,0,0,38332
85,1732,2032,255.9,269.3,10,1,0,0,39332
145,326,2058,281.0,295.0,10,1,0,0,46664
49,1679,2019,247.1,259.7,10,1,0,0,26000
133,438,2006,246.5,259.5,10,1,0,0,50164
83,1629,2035,270.6,284.2,10,1,0,0,25500
92,1464,2017,249.5,262.5,10,1,0,0,39332
71,1552,1995,244.8,257.6,10,1,0,0,41998
100,77,1999,269.3,283.1,10,1,0,0,23500
118,1961,1992,268.3,282.1,10,1,0,0,53830
136,603,2025,237.5,248.5,10,1,0,0,23500
70,1970,2027,268.7,282.9,10,1,0,0,38998
52,129,1992,298.1,312.7,10,1,0,0,50664
102,9,1994,285.5,300.5,10,1,0,0,57330
62,258,2004,256.2,269.4,10,1,0,0,28666
126,348,2043,262.2,275.4,10,1,0,0,26500
73,1531,2052,282.1,296.7,10,1,0,0,40832
88,682,1994,269.9,283.3,10,1,0,0,36832
44,1604,1994,290.0,304.0,10,1,0,0,32166
95,577,2034,282.8,297.6,10,1,0,0,40498
75,1971,2001,280.0,294.0,10,1,0,0,35832
72,1777,2000,265.3,279.1,10,1,0,0,31166
67,85,2026,285.8,300.6,10,1,0,0,37832
53,573,2002,266.3,280.1,10,1,0,0,33832
154,594,2073,287.8,302.6,10,1,0,0,36832
59,1876,2033,290.9,306.3,10,1,0,0,33166
79,1635,2011,300.8,315.6,10,1,0,0,58830
57,1201,2044,263.3,277.1,10,1,0,0,26500
119,1908,2004,284.8,299.6,10,1,0,0,45998
64,697,2050,282.4,296.8,10,1,0,0,31666
156,244,2074,295.2,310.4,10,1,0,0,36832
109,266,2012,271.7,285.9,10,1,0,0,51164
121,1574,2002,279.0,293.0,10,1,0,0,31166
124,1637,2005,298.0,312.0,10,1,0,0,47998
104,1797,2039,277.3,291.1,10,1,0,0,45498
76,111,2029,323.3,339.1,10,1,0,0,47998
131,601,2024,269.8,282.6,10,1,0,0,32166
108,398,2034,291.8,306.6,10,1,0,0,39332
40,1575,79,295.1,309.7,10,1,0,0,41832
81,812,2033,296.6,312.2,10,1,0,0,47498
122,1677,2049,294.1,308.7,10,1,0,0,35666
134,661,1996,309.3,325.1,10,1,0,0,56830
152,878,2066,321.1,337.7,10,1,0,0,53164
87,1385,2028,298.2,313.4,10,1,0,0,48998
106,1113,2048,300.2,315.4,10,1,0,0,40832
137,399,2035,307.6,323.2,10,1,0,0,48998
68,1477,2014,306.5,321.5,10,1,0,0,51664
105,1780,2020,321.2,336.4,10,1,0,0,39666
50,1027,2050,309.3,325.1,10,1,0,0,61330
90,1630,2028,325.5,342.5,10,1,0,0,36166
144,647,2060,305.0,321.0,10,1,0,0,44498
54,1375,2004,318.1,334.7,10,1,0,0,59330
39,1786,1474,363.5,382.5,10,1,0,0,91994
146,908,2063,313.4,329.8,10,1,0,0,61996
116,263,2001,328.5,345.5,10,1,0,0,63996
65,814,2037,325.8,342.6,10,1,0,0,52664
