LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,10,0,6666,15000,13,0,
1,0,442,0,2500,40000,4,0,
2,1,2,0,6666,15000,14,0,
3,1,442,0,2500,40000,17,0,
4,2,1,0,6666,15000,12,0,
5,2,3,0,6666,15000,12,0,
6,3,2,0,6666,15000,10,0,
7,3,4,0,6666,15000,18,0,
8,4,3,0,6666,15000,9,0,
9,4,5,0,6666,15000,14,0,
10,5,4,0,6666,15000,6,0,
11,5,6,0,6666,15000,12,0,
12,6,5,0,6666,15000,16,0,
13,6,7,0,6666,15000,6,0,
14,7,6,0,6666,15000,16,0,
15,7,8,0,6666,15000,14,0,
16,8,7,0,6666,15000,1,0,
17,8,9,0,6666,15000,2,0,
18,9,8,0,6666,15000,14,0,
19,9,10,0,6666,15000,13,0,
20,10,9,0,6666,15000,7,0,
21,10,0,0,6666,15000,6,0,
22,11,24,0,6666,15000,18,0,
23,11,437,0,2500,40000,13,0,
24,12,13,0,6666,15000,14,0,
25,12,437,0,2500,40000,14,0,
26,13,12,0,6666,15000,14,0,
27,13,14,0,6666,15000,11,0,
28,14,13,0,6666,15000,19,0,
29,14,15,0,6666,15000,9,0,
30,15,14,0,6666,15000,9,0,
31,15,16,0,6666,15000,19,0,
32,16,15,0,6666,15000,6,0,
33,16,17,0,6666,15000,12,0,
34,17,16,0,6666,15000,9,0,
35,17,18,0,6666,15000,7,0,
36,18,17,0,6666,15000,17,0,
37,18,19,0,6666,15000,10,0,
38,19,18,0,6666,15000,17,0,
39,19,20,0,6666,15000,10,0,
40,20,19,0,6666,15000,7,0,
41,20,21,0,6666,15000,14,0,
42,21,20,0,6666,15000,16,0,
43,21,22,0,6666,15000,11,0,
44,22,21,0,6666,15000,8,0,
45,22,23,0,6666,15000,11,0,
46,23,22,0,6666,15000,13,0,
47,23,24,0,6666,15000,6,0,
48,24,23,0,6666,15000,18,0,
49,24,11,0,6666,15000,14,0,
50,25,34,0,6666,15000,14,0,
51,25,440,0,2500,40000,14,0,
52,26,27,0,6666,15000,12,0,
53,26,444,0,2500,40000,7,0,
54,27,26,0,6666,15000,18,0,
55,27,28,0,6666,15000,17,0,
56,28,27,0,6666,15000,13,0,
57,28,29,0,6666,15000,8,0,
58,29,28,0,6666,15000,10,0,
59,29,30,0,6666,15000,9,0,
60,30,29,0,6666,15000,19,0,
61,30,31,0,6666,15000,13,0,
62,31,30,0,6666,15000,7,0,
63,31,32,0,6666,15000,2,0,
64,32,31,0,6666,15000,13,0,
65,32,33,0,6666,15000,3,0,
66,33,32,0,6666,15000,17,0,
67,33,34,0,6666,15000,6,0,
68,34,33,0,6666,15000,1,0,
69,34,25,0,6666,15000,19,0,
70,35,36,0,6666,15000,11,0,
71,35,444,0,2500,40000,19,0,
72,36,35,0,6666,15000,10,0,
73,36,37,0,6666,15000,19,0,
74,37,36,0,6666,15000,13,0,
75,37,38,0,6666,15000,6,0,
76,38,37,0,6666,15000,6,0,
77,38,39,0,6666,15000,12,0,
78,39,38,0,6666,15000,15,0,
79,39,40,0,6666,15000,13,0,
80,40,39,0,6666,15000,17,0,
81,40,41,0,6666,15000,9,0,
82,40,44,0,6666,15000,16,0,
83,41,40,0,6666,15000,3,0,
84,41,42,0,6666,15000,14,0,
85,42,41,0,6666,15000,18,0,
86,42,43,0,6666,15000,14,0,
87,43,42,0,6666,15000,1,0,
88,43,44,0,6666,15000,17,0,
89,44,43,0,6666,15000,14,0,
90,44,40,0,6666,15000,13,0,
91,45,54,0,6666,15000,7,0,
92,45,440,0,2500,40000,8,0,
93,46,47,0,6666,15000,1,0,
94,46,442,0,2500,40000,15,0,
95,47,46,0,6666,15000,8,0,
96,47,48,0,6666,15000,18,0,
97,48,47,0,6666,15000,6,0,
98,48,49,0,6666,15000,14,0,
99,49,48,0,6666,15000,18,0,
100,49,50,0,6666,15000,18,0,
101,50,49,0,6666,15000,9,0,
102,50,51,0,6666,15000,16,0,
103,51,50,0,6666,15000,13,0,
104,51,52,0,6666,15000,8,0,
105,52,51,0,6666,15000,11,0,
106,52,53,0,6666,15000,14,0,
107,53,52,0,6666,15000,6,0,
108,53,54,0,6666,15000,17,0,
109,54,53,0,6666,15000,9,0,
110,54,45,0,6666,15000,11,0,
111,55,65,0,6666,15000,4,0,
112,55,440,0,2500,40000,16,0,
113,56,57,0,6666,15000,16,0,
114,56,443,0,2500,40000,16,0,
115,57,56,0,6666,15000,3,0,
116,57,58,0,6666,15000,11,0,
117,58,57,0,6666,15000,17,0,
118,58,59,0,6666,15000,8,0,
119,59,58,0,6666,15000,7,0,
120,59,60,0,6666,15000,16,0,
121,60,59,0,6666,15000,9,0,
122,60,61,0,6666,15000,14,0,
123,61,60,0,6666,15000,15,0,
124,61,62,0,6666,15000,19,0,
125,62,61,0,6666,15000,2,0,
126,62,63,0,6666,15000,11,0,
127,63,62,0,6666,15000,12,0,
128,63,64,0,6666,15000,16,0,
129,64,63,0,6666,15000,19,0,
130,64,65,0,6666,15000,3,0,
131,65,64,0,6666,15000,2,0,
132,65,55,0,6666,15000,18,0,
133,66,77,0,6666,15000,4,0,
134,66,440,0,2500,40000,14,0,
135,67,68,0,6666,15000,11,0,
136,67,444,0,2500,40000,6,0,
137,68,67,0,6666,15000,16,0,
138,68,69,0,6666,15000,7,0,
139,69,68,0,6666,15000,2,0,
140,69,70,0,6666,15000,1,0,
141,70,69,0,6666,15000,18,0,
142,70,71,0,6666,15000,7,0,
143,71,70,0,6666,15000,12,0,
144,71,72,0,6666,15000,7,0,
145,72,71,0,6666,15000,19,0,
146,72,73,0,6666,15000,10,0,
147,73,72,0,6666,15000,5,0,
148,73,74,0,6666,15000,10,0,
149,74,73,0,6666,15000,10,0,
150,74,75,0,6666,15000,18,0,
151,75,74,0,6666,15000,12,0,
152,75,76,0,6666,15000,7,0,
153,76,75,0,6666,15000,19,0,
154,76,77,0,6666,15000,4,0,
155,77,76,0,6666,15000,5,0,
156,77,66,0,6666,15000,19,0,
157,78,90,0,6666,15000,17,0,
158,78,439,0,2500,40000,15,0,
159,79,80,0,6666,15000,5,0,
160,79,441,0,2500,40000,9,0,
161,80,79,0,6666,15000,3,0,
162,80,81,0,6666,15000,19,0,
163,81,80,0,6666,15000,7,0,
164,81,82,0,6666,15000,10,0,
165,82,81,0,6666,15000,1,0,
166,82,83,0,6666,15000,3,0,
167,83,82,0,6666,15000,15,0,
168,83,84,0,6666,15000,4,0,
169,84,83,0,6666,15000,11,0,
170,84,85,0,6666,15000,3,0,
171,85,84,0,6666,15000,15,0,
172,85,86,0,6666,15000,5,0,
173,86,85,0,6666,15000,2,0,
