demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
111,201,461,194.7,204.9,10,1,0,0,37998
147,297,474,141.2,148.4,10,1,0,0,16000
138,305,471,177.4,185.8,10,1,0,0,14500
82,68,472,205.8,216.6,10,1,0,0,19000
30,12,470,176.5,185.5,10,1,0,0,23666
110,397,474,199.7,209.9,10,1,0,0,22500
142,297,471,178.0,186.0,10,1,0,0,17000
121,263,461,191.0,201.0,10,1,0,0,40498
25,399,470,275.3,289.1,10,1,0,0,40832
94,142,460,232.7,244.9,10,1,0,0,41498
81,142,462,205.1,215.7,10,1,0,0,40498
85,259,473,204.4,214.8,10,1,0,0,20000
122,193,464,224.6,236.2,10,1,0,0,30166
96,380,469,253.0,265.0,10,1,0,0,39832
12,20,447,254.5,267.5,10,1,0,0,50164
23,435,470,301.2,316.4,10,1,0,0,43332
77,441,462,240.4,252.8,10,1,0,0,31166
37,136,473,215.5,226.5,10,1,0,0,20000
73,20,461,276.1,290.7,10,1,0,0,49664
109,428,471,281.0,295.0,10,1,0,0,55164
117,304,462,172.1,180.7,10,1,0,0,35998
129,209,462,264.8,277.6,10,1,0,0,49164
101,209,462,264.8,277.6,10,1,0,0,49164
42,41,471,237.2,248.4,10,1,0,0,28666
41,38,466,196.7,206.9,10,1,0,0,29166
144,247,467,233.7,245.9,10,1,0,0,39332
16,61,444,274.6,288.2,10,1,0,0,68162
126,132,473,241.4,253.8,10,1,0,0,30666
55,308,472,272.4,286.8,10,1,0,0,43498
140,172,473,267.3,281.1,10,1,0,0,37832
56,139,469,209.5,220.5,10,1,0,0,27166
99,251,473,248.8,261.6,10,1,0,0,31666
135,203,468,222.6,234.2,10,1,0,0,32666
100,203,468,222.6,234.2,10,1,0,0,32666
146,358,467,267.0,281.0,10,1,0,0,36666
103,138,467,191.0,201.0,10,1,0,0,29166
49,171,466,218.9,230.3,10,1,0,0,32666
24,302,471,236.6,248.2,10,1,0,0,30666
43,68,471,231.5,242.5,10,1,0,0,24000
50,268,472,215.2,226.4,10,1,0,0,26666
54,397,465,245.4,257.8,10,1,0,0,33500
62,16,461,298.3,314.1,10,1,0,0,61330
127,277,460,382.6,402.2,10,1,0,0,106992
106,162,471,273.6,287.2,10,1,0,0,53164
46,166,475,292.9,308.3,10,1,0,0,47998
17,206,464,265.3,279.1,10,1,0,0,37666
80,52,467,241.1,253.7,10,1,0,0,35166
34,287,473,278.4,292.8,10,1,0,0,40332
53,198,477,307.7,323.9,10,1,0,0,51998
66,416,462,307.0,323.0,10,1,0,0,67330
145,44,475,315.1,331.7,10,1,0,0,61164
33,198,461,294.6,310.2,10,1,0,0,47998
86,412,470,356.7,374.9,10,1,0,0,75830
70,124,473,278.4,292.8,10,1,0,0,36166
51,36,473,318.8,335.6,10,1,0,0,54498
20,400,463,324.4,340.8,10,1,0,0,56998
58,79,473,319.1,335.7,10,1,0,0,45332
89,6,471,326.0,342.0,10,1,0,0,59664
128,103,473,311.7,327.9,10,1,0,0,61164
120,35,473,359.5,378.5,10,1,0,0,70664
137,48,473,315.1,331.7,10,1,0,0,70330
57,155,473,304.3,320.1,10,1,0,0,47832
95,438,477,358.8,377.6,10,1,0,0,63664
35,85,470,333.6,351.2,10,1,0,0,56998
38,332,466,316.6,332.2,10,1,0,0,70996
68,46,475,336.8,353.6,10,1,0,0,74496
28,312,469,252.2,265.4,10,1,0,0,39166
79,17,461,364.9,384.3,10,1,0,0,84496
143,293,469,318.8,335.6,10,1,0,0,66664
92,37,469,311.4,327.8,10,1,0,0,51832
67,85,469,350.1,368.7,10,1,0,0,63498
119,438,467,406.9,428.3,10,1,0,0,80164
59,20,469,370.6,390.2,10,1,0,0,77664
83,124,469,292.9,308.3,10,1,0,0,46666
134,208,473,363.2,382.4,10,1,0,0,67998
113,115,463,353.7,371.9,10,1,0,0,87662
115,181,467,389.1,409.7,10,1,0,0,70998
27,126,471,332.8,349.6,10,1,0,0,60498
74,291,468,339.1,355.7,10,1,0,0,74996
14,10,453,338.6,356.2,10,1,0,0,58000
105,437,465,369.6,387.2,10,1,0,0,106994
60,47,469,352.1,370.7,10,1,0,0,84162
125,47,469,352.1,370.7,10,1,0,0,84162
26,83,473,282.1,296.7,10,1,0,0,33666
114,115,469,413.5,434.5,10,1,0,0,97662
10,390,442,393.8,414.6,10,1,0,0,91662
39,76,471,436.4,458.8,10,1,0,0,83830
88,51,469,230.0,242.0,10,1,0,0,40832
31,82,464,202.4,212.8,10,1,0,0,24000
141,115,467,426.0,448.0,10,1,0,0,122492
15,232,451,372.4,390.8,10,1,0,0,66832
76,259,464,198.7,208.9,10,1,0,0,22500
13,176,458,470.5,495.5,10,1,0,0,107828
84,199,465,398.0,418.0,10,1,0,0,107494
18,177,469,448.3,472.1,10,1,0,0,122492
11,27,453,453.3,477.1,10,1,0,0,110326
108,1,464,176.5,185.5,10,1,0,0,23500
112,377,474,262.6,276.2,10,1,0,0,56664
