hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
106,21,461,285.6,299.2,10,1,0,0,62996,5,102,68
106001,21,461,76.5,93.5,10,1,0,0,62996,3,102,68
106002,21,461,110.5,127.5,10,1,0,0,62996,5,102,68
180,143,461,225.5,236.5,10,1,0,0,33166,5,72,55
180001,143,461,59.25,67.75,10,1,0,0,33166,3,72,55
180002,143,461,76.25,84.75,10,1,0,0,33166,5,72,55
191,133,460,278.1,292.7,10,1,0,0,51998,5,81,73
191001,133,460,75,79,10,1,0,0,51998,3,81,73
191002,133,460,83,87,10,1,0,0,51998,5,81,73
187,109,471,216.4,226.8,10,1,0,0,37332,5,76,52
187001,109,471,58,70,10,1,0,0,37332,3,76,52
187002,109,471,82,94,10,1,0,0,37332,5,76,52
140,25,464,244.8,257.6,10,1,0,0,38832,5,69,64
140001,25,464,65.25,67.75,10,1,0,0,38832,3,69,64
140002,25,464,70.25,72.75,10,1,0,0,38832,5,69,64
198,73,461,225.5,236.5,10,1,0,0,59830,5,72,55
198001,73,461,59.25,67.75,10,1,0,0,59830,3,72,55
198002,73,461,76.25,84.75,10,1,0,0,59830,5,72,55
167,353,470,185.9,195.3,10,1,0,0,37332,5,59,47
167001,353,470,50,56,10,1,0,0,37332,3,59,47
167002,353,470,62,68,10,1,0,0,37332,5,59,47
58,235,476,211.5,222.5,10,1,0,0,55330,5,63,55
58001,235,476,57,61,10,1,0,0,55330,3,63,55
58002,235,476,65,69,10,1,0,0,55330,5,63,55
55,117,478,226.3,238.1,10,1,0,0,30166,5,67,59
55001,117,478,61,65,10,1,0,0,30166,3,67,59
55002,117,478,69,73,10,1,0,0,30166,5,67,59
62,315,461,209.8,220.6,10,1,0,0,36332,5,64,54
62001,315,461,56.5,61.5,10,1,0,0,36332,3,64,54
62002,315,461,66.5,71.5,10,1,0,0,36332,5,64,54
27,315,461,209.8,220.6,10,1,0,0,36332,5,64,54
27001,315,461,56.5,61.5,10,1,0,0,36332,3,64,54
27002,315,461,66.5,71.5,10,1,0,0,36332,5,64,54
99,345,472,182.2,191.4,10,1,0,0,23500,5,58,46
99001,345,472,49,55,10,1,0,0,23500,3,58,46
99002,345,472,61,67,10,1,0,0,23500,5,58,46
126,198,477,211.5,222.5,10,1,0,0,31166,5,70,55
126001,198,477,58.75,66.25,10,1,0,0,31166,3,70,55
126002,198,477,73.75,81.25,10,1,0,0,31166,5,70,55
207,197,477,226.3,238.1,10,1,0,0,37832,5,74,59
207001,197,477,62.75,70.25,10,1,0,0,37832,3,74,59
207002,197,477,77.75,85.25,10,1,0,0,37832,5,74,59
66,316,473,229,241,10,1,0,0,30666,5,83,60
66001,316,473,65.75,77.25,10,1,0,0,30666,3,83,60
66002,316,473,88.75,100.25,10,1,0,0,30666,5,83,60
17,15,447,198.9,208.3,10,1,0,0,32666,5,65,47
17001,15,447,51.5,60.5,10,1,0,0,32666,3,65,47
17002,15,447,69.5,78.5,10,1,0,0,32666,5,65,47
113,287,473,229,241,10,1,0,0,37332,5,83,60
113001,287,473,65.75,77.25,10,1,0,0,37332,3,83,60
113002,287,473,88.75,100.25,10,1,0,0,37332,5,83,60
166,288,470,246.8,259.6,10,1,0,0,44998,5,74,64
166001,288,470,66.5,71.5,10,1,0,0,44998,3,74,64
166002,288,470,76.5,81.5,10,1,0,0,44998,5,74,64
48,179,460,244.8,257.6,10,1,0,0,44832,5,67,64
48001,179,460,64.75,66.25,10,1,0,0,44832,3,67,64
48002,179,460,67.75,69.25,10,1,0,0,44832,5,67,64
203,420,460,282.1,296.7,10,1,0,0,46332,5,80,73
203001,420,460,74.75,78.25,10,1,0,0,46332,3,80,73
203002,420,460,81.75,85.25,10,1,0,0,46332,5,80,73
73,130,473,211.5,222.5,10,1,0,0,27000,5,63,55
73001,130,473,57,61,10,1,0,0,27000,3,63,55
73002,130,473,65,69,10,1,0,0,27000,5,63,55
143,233,476,268.2,281.4,10,1,0,0,57330,5,90,66
143001,233,476,72,84,10,1,0,0,57330,3,90,66
143002,233,476,96,108,10,1,0,0,57330,5,90,66
