demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
789,1015,958,74.7,80.1,0,0,0,-1,36
534,971,458,53.8,58.6,0,0,0,-1,33
599,687,505,75.2,79.6,0,0,0,-1,41
669,1041,770,60.4,65.2,0,0,0,-1,38
57,687,505,25.5,27.6,0,0,0,-1,41
834,175,232,83.9,88.5,0,0,0,-1,47
1116,653,890,97.4,104.6,0,0,0,-1,68
81,897,841,32.6,33.4,0,0,0,-1,55
943,241,14,78.4,85.6,0,0,0,-1,36
613,206,313,85.0,93.4,0,0,0,-1,62
839,947,724,74.5,79.5,0,0,0,-1,52
32,447,720,26.2,27.0,0,0,0,-1,46
351,678,643,36.0,39.0,0,0,0,-1,33
1135,786,1064,97.4,104.6,0,0,0,-1,43
1078,224,270,71.4,75.0,0,0,0,-1,54
697,711,520,74.8,81.2,0,0,0,-1,43
319,448,766,28.8,30.4,0,0,0,-1,39
630,419,440,94.0,100.8,0,0,0,-1,84
180,686,704,33.8,34.6,0,0,0,-1,38
1055,485,586,64.5,69.1,0,0,0,-1,43
781,686,704,77.3,83.9,0,0,0,-1,38
763,889,841,91.8,100.6,0,0,0,-1,82
73,1019,812,41.0,45.0,0,0,0,-1,61
625,1019,812,89.5,96.1,0,0,0,-1,61
615,775,644,93.5,98.9,0,0,0,-1,61
603,970,1054,83.7,89.5,0,0,0,-1,42
797,546,639,97.7,106.3,0,0,0,-1,75
1113,736,1032,76.5,84.3,0,0,0,-1,41
677,739,771,48.4,52.0,0,0,0,-1,41
883,587,529,64.0,70.0,0,0,0,-1,40
248,219,908,48.4,49.8,0,0,0,-1,54
143,807,688,39.8,40.6,0,0,0,-1,45
262,619,966,48.8,51.2,0,0,0,-1,72
1068,450,992,29.2,32.0,0,0,0,-1,42
512,964,513,76.0,81.6,0,0,0,-1,57
687,834,1014,63.6,68.0,0,0,0,-1,49
707,210,185,76.0,80.0,0,0,0,-1,55
513,644,447,59.0,63.0,0,0,0,-1,43
848,173,243,88.0,94.4,0,0,0,-1,66
345,920,865,28.4,31.2,0,0,0,-1,49
626,491,474,90.4,98.8,0,0,0,-1,59
964,863,496,96.2,101.4,0,0,0,-1,58
164,962,1008,35.6,36.2,0,0,0,-1,53
1003,448,766,55.6,61.2,0,0,0,-1,40
220,947,724,33.4,34.6,0,0,0,-1,54
1126,245,299,97.1,105.7,0,0,0,-1,53
562,644,1062,69.3,75.5,0,0,0,-1,53
933,996,507,72.1,77.5,0,0,0,-1,49
1077,109,287,74.0,80.0,0,0,0,-1,45
567,268,133,91.0,97.8,0,0,0,-1,40
1075,963,495,85.3,91.5,0,0,0,-1,51
693,580,854,88.5,93.5,0,0,0,-1,55
846,620,583,92.9,99.5,0,0,0,-1,62
940,748,673,82.4,89.2,0,0,0,-1,45
98,96,306,34.4,36.2,0,0,0,-1,58
347,42,363,59.4,60.8,0,0,0,-1,75
642,400,990,78.4,84.0,0,0,0,-1,58
313,63,142,41.3,45.9,0,0,0,-1,55
509,184,221,68.8,71.6,0,0,0,-1,51
591,965,730,110.8,124.0,0,0,0,-1,70
514,736,591,84.4,91.6,0,0,0,-1,59
296,209,211,54.5,57.0,0,0,0,-1,52
870,414,635,76.3,82.9,0,0,0,-1,51
563,694,1024,101.4,109.0,0,0,0,-1,60
60,238,209,73.5,76.0,0,0,0,-1,60
1107,827,802,82.3,88.5,0,0,0,-1,57
1104,649,570,68.0,74.8,0,0,0,-1,44
1072,932,717,84.1,91.9,0,0,0,-1,73
976,939,750,126.4,144.0,0,0,0,-1,84
1133,123,247,108.0,119.2,0,0,0,-1,47
608,301,224,110.5,119.5,0,0,0,-1,71
858,271,169,28.8,32.4,0,0,0,-1,50
1123,962,935,83.5,92.5,0,0,0,-1,61
298,863,496,31.2,33.8,0,0,0,-1,59
80,728,89,78.2,79.6,0,0,0,-1,80
716,375,486,106.0,118.8,0,0,0,-1,84
1061,678,643,72.9,79.5,0,0,0,-1,36
577,676,287,120.5,135.5,0,0,0,-1,81
723,90,98,99.0,105.0,0,0,0,-1,53
254,355,457,48.4,49.8,0,0,0,-1,53
318,825,611,26.5,32.5,0,0,0,-1,50
1069,251,39,95.5,100.5,0,0,0,-1,71
852,943,372,75.9,83.3,0,0,0,-1,54
1097,579,844,76.0,81.2,0,0,0,-1,54
583,132,282,84.0,89.6,0,0,0,-1,67
609,506,993,83.7,91.1,0,0,0,-1,48
117,834,1014,24.6,25.9,0,0,0,-1,50
699,335,211,88.5,97.9,0,0,0,-1,58
928,212,988,93.5,102.5,0,0,0,-1,55
605,525,955,73.2,79.6,0,0,0,-1,60
998,21,51,94.4,103.6,0,0,0,-1,69
600,693,503,103.3,111.9,0,0,0,-1,69
153,86,209,66.0,70.0,0,0,0,-1,61
800,923,460,63.7,69.1,0,0,0,-1,44
337,448,858,31.2,33.6,0,0,0,-1,37
862,845,537,77.9,83.7,0,0,0,-1,55
736,62,47,91.5,96.5,0,0,0,-1,56
754,538,325,109.5,120.5,0,0,0,-1,70
638,728,89,125.0,139.8,0,0,0,-1,80
289,801,925,75.4,76.6,0,0,0,-1,80
995,197,587,102.5,113.5,0,0,0,-1,69
785,547,930,84.0,92.4,0,0,0,-1,57
914,78,221,74.3,78.1,0,0,0,-1,43
531,121,503,84.9,90.3,0,0,0,-1,65
935,617,498,114.0,126.0,0,0,0,-1,64
1017,365,592,109.8,120.6,0,0,0,-1,67
1076,857,507,84.2,91.0,0,0,0,-1,55
301,170,423,57.6,58.8,0,0,0,-1,75
764,962,1008,72.5,79.5,0,0,0,-1,56
987,173,252,84.4,91.2,0,0,0,-1,69
265,35,506,31.2,34.8,0,0,0,-1,74
185,1015,958,30.6,32.4,0,0,0,-1,42
59,970,1054,30.7,32.4,0,0,0,-1,44
978,507,727,96.5,107.5,0,0,0,-1,66
329,162,526,60.9,64.7,0,0,0,-1,65
222,52,1032,52.2,55.8,0,0,0,-1,61
942,834,618,87.0,91.4,0,0,0,-1,53
853,759,408,89.7,98.3,0,0,0,-1,62
1093,24,83,110.6,122.2,0,0,0,-1,59
628,1024,462,43.5,48.5,0,0,0,-1,61
819,400,841,100.5,111.5,0,0,0,-1,82
332,888,89,38.9,40.7,0,0,0,-1,59
156,456,97,27.9,28.8,0,0,0,-1,43
1052,312,72,89.9,95.7,0,0,0,-1,52
844,364,442,86.8,95.2,0,0,0,-1,62
845,641,1047,80.7,88.9,0,0,0,-1,56
695,7,437,99.5,110.5,0,0,0,-1,77
767,609,754,128.6,141.4,0,0,0,-1,76
703,183,357,98.4,107.6,0,0,0,-1,82
715,113,253,80.5,87.5,0,0,0,-1,50
589,488,113,88.8,96.4,0,0,0,-1,66
163,889,841,45.7,47.4,0,0,0,-1,84
141,431,521,78.5,80.0,0,0,0,-1,72
655,672,297,98.0,106.0,0,0,0,-1,68
915,727,766,101.5,112.5,0,0,0,-1,71
639,897,841,70.1,75.5,0,0,0,-1,57
921,986,32,91.0,97.4,0,0,0,-1,68
1007,216,981,131.1,145.7,0,0,0,-1,85
314,197,587,57.7,58.6,0,0,0,-1,70
965,732,650,97.0,107.0,0,0,0,-1,70
122,7,437,57.8,60.6,0,0,0,-1,77
694,458,156,102.6,111.0,0,0,0,-1,55
691,492,277,107.5,117.7,0,0,0,-1,62
24,878,372,58.7,60.6,0,0,0,-1,78
769,515,142,114.5,126.7,0,0,0,-1,61
