hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
734,4518,789,219.2,230,10,0,0,-1,54,5,95,54
734001,4518,789,64.25,84.75,10,0,0,-1,54,3,95,54
734002,4518,789,105.25,125.75,10,0,0,-1,54,5,95,54
985,1541,3723,172.5,180.7,10,0,0,-1,53,5,70,41
985001,1541,3723,48.25,62.75,10,0,0,-1,53,3,70,41
985002,1541,3723,77.25,91.75,10,0,0,-1,53,5,70,41
864,1195,3392,191.3,201.9,10,0,0,-1,49,5,80,53
864001,1195,3392,59.75,73.25,10,0,0,-1,49,3,80,53
864002,1195,3392,86.75,100.25,10,0,0,-1,49,5,80,53
805,86,507,191.2,200.4,10,0,0,-1,52,5,135,46
805001,86,507,68.25,112.75,10,0,0,-1,52,3,135,46
805002,86,507,157.25,201.75,10,0,0,-1,52,5,135,46
817,3926,482,190.5,200.7,10,0,0,-1,50,5,114,51
817001,3926,482,66.75,98.25,10,0,0,-1,50,3,114,51
817002,3926,482,129.75,161.25,10,0,0,-1,50,5,114,51
17,200,1530,56.5,61.5,10,0,0,-1,54,3,79,54
17001,200,1530,60.25,72.75,10,0,0,-1,54,3,79,54
17002,200,1530,85.25,97.75,10,0,0,-1,54,5,79,54
789,4803,2556,187,198.2,10,0,0,-1,55,5,103,56
789001,4803,2556,67.75,91.25,10,0,0,-1,55,3,103,56
789002,4803,2556,114.75,138.25,10,0,0,-1,55,5,103,56
791,38,953,200.5,208.7,10,0,0,-1,51,5,98,41
791001,38,953,55.25,83.75,10,0,0,-1,51,3,98,41
791002,38,953,112.25,140.75,10,0,0,-1,51,5,98,41
1030,910,1461,196.7,206.9,10,0,0,-1,53,5,59,51
1030001,910,1461,53,57,10,0,0,-1,53,3,59,51
1030002,910,1461,61,65,10,0,0,-1,53,5,59,51
996,1716,4103,189,200.2,10,0,0,-1,51,5,105,56
996001,1716,4103,68.25,92.75,10,0,0,-1,51,3,105,56
996002,1716,4103,117.25,141.75,10,0,0,-1,51,5,105,56
998,1516,4601,217.2,228.8,10,0,0,-1,51,5,107,58
998001,1516,4601,70.25,94.75,10,0,0,-1,51,3,107,58
