demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
18,1676,2063,105.6,108.3,10,0,0,-1,25166
10,1079,2000,111.2,114.1,10,0,0,-1,25166
25,1193,2003,117.4,119.7,10,0,0,-1,55496
16,1862,2023,70.4,72.7,10,0,0,-1,16500
28,649,2000,141.8,144.9,10,0,0,-1,49330
8,1944,2023,145.8,148.4,10,0,0,-1,52330
24,698,2035,83.4,84.7,10,0,0,-1,17500
51,1667,2021,117.6,123.2,10,0,0,-1,20666
23,1820,2023,95.4,97.7,10,0,0,-1,29832
3,680,356,168.8,169.9,10,0,0,-1,99992
14,934,2019,131.2,132.1,10,0,0,-1,47664
19,1170,2016,99.0,101.0,10,0,0,-1,41664
119,698,2075,152.3,160.1,10,0,0,-1,15500
7,801,2003,79.0,80.0,10,0,0,-1,18000
26,1800,2031,49.8,50.9,10,0,0,-1,20666
21,1499,2055,94.0,95.5,10,0,0,-1,18000
1,815,278,67.0,68.0,10,0,0,-1,20500
5,1643,2055,129.0,130.5,10,0,0,-1,33832
113,644,2068,149.1,155.7,10,0,0,-1,12500
13,1944,2012,119.4,121.7,10,0,0,-1,50496
12,1631,2001,108.4,109.7,10,0,0,-1,30332
9,70,2032,143.0,144.5,10,0,0,-1,53330
2,1669,1866,129.0,130.5,10,0,0,-1,57996
56,816,2046,166.0,174.0,10,0,0,-1,17000
61,1316,2041,183.7,191.9,10,0,0,-1,17000
87,1640,2022,148.9,156.3,10,0,0,-1,15000
69,719,2022,184.9,194.3,10,0,0,-1,25666
78,537,2043,156.0,162.0,10,0,0,-1,22666
105,633,2029,159.1,165.7,10,0,0,-1,19000
17,966,2040,56.6,57.3,10,0,0,-1,17500
103,1172,2009,174.8,183.6,10,0,0,-1,31832
20,1703,2025,141.0,143.5,10,0,0,-1,50330
54,1850,2048,146.7,152.9,10,0,0,-1,31832
27,400,2050,107.6,109.3,10,0,0,-1,42830
11,1480,2024,147.0,149.5,10,0,0,-1,52830
0,1699,817,174.8,177.4,10,0,0,-1,55330
114,703,2077,183.2,192.4,10,0,0,-1,28832
76,1212,2031,187.9,197.3,10,0,0,-1,33332
115,76,2079,187.9,197.3,10,0,0,-1,17000
6,183,2025,114.6,117.3,10,0,0,-1,49330
101,1800,2031,162.7,170.9,10,0,0,-1,23666
15,1319,2052,92.4,94.2,10,0,0,-1,41164
38,940,2006,181.9,191.3,10,0,0,-1,25666
