hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
161,968,2069,160.9,166.3,10,0,0,-1,15000,5,72,27
161001,968,2069,38.25,60.75,10,0,0,-1,15000,3,72,27
161002,968,2069,83.25,105.75,10,0,0,-1,15000,5,72,27
14,1370,2013,91.8,95.4,10,0,0,-1,17500,3,104,63
14001,1370,2013,73.25,93.75,10,0,0,-1,17500,3,104,63
14002,1370,2013,114.25,134.75,10,0,0,-1,17500,5,104,63
35,826,2045,61.8,64.4,10,0,0,-1,17500,3,67,41
35001,826,2045,47.5,60.5,10,0,0,-1,17500,3,67,41
35002,826,2045,73.5,86.5,10,0,0,-1,17500,5,67,41
4,977,2048,115.8,118.9,10,0,0,-1,49830,3,122,91
4001,977,2048,98.75,114.25,10,0,0,-1,49830,3,122,91
4002,977,2048,129.75,145.25,10,0,0,-1,49830,5,122,91
141,1969,2045,185.8,194.6,10,0,0,-1,45164,5,44,44
141001,1969,2045,44,44,10,0,0,-1,45164,3,44,44
141002,1969,2045,44,44,10,0,0,-1,45164,5,44,44
22,1372,2013,123.8,127.4,10,0,0,-1,30832,3,136,95
22001,1372,2013,105.25,125.75,10,0,0,-1,30832,3,136,95
22002,1372,2013,146.25,166.75,10,0,0,-1,30832,5,136,95
11,1098,2033,132.8,136.4,10,0,0,-1,54996,3,140,104
11001,1098,2033,113,131,10,0,0,-1,54996,3,140,104
11002,1098,2033,149,167,10,0,0,-1,54996,5,140,104
31,872,2047,85.8,88.9,10,0,0,-1,32332,3,92,61
31001,872,2047,68.75,84.25,10,0,0,-1,32332,3,92,61
31002,872,2047,99.75,115.25,10,0,0,-1,32332,5,92,61
10,40,2017,72.2,74.1,10,0,0,-1,24166,3,76,57
10001,40,2017,61.75,71.25,10,0,0,-1,24166,3,76,57
10002,40,2017,80.75,90.25,10,0,0,-1,24166,5,76,57
16,1652,2017,97.6,100.3,10,0,0,-1,32832,3,103,76
16001,1652,2017,82.75,96.25,10,0,0,-1,32832,3,103,76
16002,1652,2017,109.75,123.25,10,0,0,-1,32832,5,103,76
17,1268,2012,67.4,68.2,10,0,0,-1,26332,3,69,61
17001,1268,2012,63,67,10,0,0,-1,26332,3,69,61
17002,1268,2012,71,75,10,0,0,-1,26332,5,69,61
13,1705,2017,73.6,76.3,10,0,0,-1,19500,3,79,52
13001,1705,2017,58.75,72.25,10,0,0,-1,19500,3,79,52
13002,1705,2017,85.75,99.25,10,0,0,-1,19500,5,79,52
27,1415,2055,135.8,136.9,10,0,0,-1,64162,3,138,127
