hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
11,194,466,51,52.5,10,0,0,-1,15000,3,54,39
11001,194,466,42.75,50.25,10,0,0,-1,15000,3,54,39
11002,194,466,57.75,65.25,10,0,0,-1,15000,5,54,39
6,230,466,77,78.5,10,0,0,-1,21666,3,80,65
6001,230,466,68.75,76.25,10,0,0,-1,21666,3,80,65
6002,230,466,83.75,91.25,10,0,0,-1,21666,5,80,65
10,225,474,67.4,69.7,10,0,0,-1,32998,3,72,49
10001,225,474,54.75,66.25,10,0,0,-1,32998,3,72,49
10002,225,474,77.75,89.25,10,0,0,-1,32998,5,72,49
15,374,480,128,129.5,10,0,0,-1,55662,3,131,116
15001,374,480,119.75,127.25,10,0,0,-1,55662,3,131,116
15002,374,480,134.75,142.25,10,0,0,-1,55662,5,131,116
5,228,472,49.6,50.3,10,0,0,-1,15500,3,51,44
5001,228,472,45.75,49.25,10,0,0,-1,15500,3,51,44
5002,228,472,52.75,56.25,10,0,0,-1,15500,5,51,44
13,145,472,67.6,68.3,10,0,0,-1,22166,3,69,62
13001,145,472,63.75,67.25,10,0,0,-1,22166,3,69,62
13002,145,472,70.75,74.25,10,0,0,-1,22166,5,69,62
17,73,472,93.6,94.3,10,0,0,-1,28832,3,95,88
17001,73,472,89.75,93.25,10,0,0,-1,28832,3,95,88
17002,73,472,96.75,100.25,10,0,0,-1,28832,5,95,88
14,59,472,130.6,131.3,10,0,0,-1,48830,3,132,125
14001,59,472,126.75,130.25,10,0,0,-1,48830,3,132,125
14002,59,472,133.75,137.25,10,0,0,-1,48830,5,132,125
8,297,483,74.4,75.7,10,0,0,-1,17500,3,77,64
8001,297,483,67.25,73.75,10,0,0,-1,17500,3,77,64
8002,297,483,80.25,86.75,10,0,0,-1,17500,5,77,64
19,307,481,80.4,82.2,10,0,0,-1,23166,5,66,66
19001,307,481,66,66,10,0,0,-1,23166,3,66,66
19002,307,481,66,66,10,0,0,-1,23166,5,66,66
9,100,481,113.4,115.2,10,0,0,-1,36498,5,99,99
9001,100,481,99,99,10,0,0,-1,36498,3,99,99
9002,100,481,99,99,10,0,0,-1,36498,5,99,99
173,160,482,154.6,162.2,10,0,0,-1,29332,5,52,38
173001,160,482,41.5,48.5,10,0,0,-1,29332,3,52,38
173002,160,482,55.5,62.5,10,0,0,-1,29332,5,52,38
1,120,458,99.2,100.6,10,0,0,-1,29332,5,98,88
1001,120,458,90.5,95.5,10,0,0,-1,29332,3,98,88
1002,120,458,100.5,105.5,10,0,0,-1,29332,5,98,88
39,406,483,170.8,179.6,10,0,0,-1,24166,5,52,44
39001,406,483,46,50,10,0,0,-1,24166,3,52,44
39002,406,483,54,58,10,0,0,-1,24166,5,52,44
149,408,466,174.8,183.6,10,0,0,-1,19000,5,56,44
149001,408,466,47,53,10,0,0,-1,19000,3,56,44
149002,408,466,59,65,10,0,0,-1,19000,5,56,44
55,417,474,204.1,214.7,10,0,0,-1,38498,5,61,53
55001,417,474,55,59,10,0,0,-1,38498,3,61,53
55002,417,474,63,67,10,0,0,-1,38498,5,61,53
158,284,482,158.7,166.9,10,0,0,-1,25166,5,48,41
158001,284,482,42.75,46.25,10,0,0,-1,25166,3,48,41
158002,284,482,49.75,53.25,10,0,0,-1,25166,5,48,41
77,357,482,215.2,226.4,10,0,0,-1,25166,5,64,56
77001,357,482,58,62,10,0,0,-1,25166,3,64,56
77002,357,482,66,70,10,0,0,-1,25166,5,64,56
2,265,456,117.2,118.6,10,0,0,-1,45164,5,116,106
2001,265,456,108.5,113.5,10,0,0,-1,45164,3,116,106
2002,265,456,118.5,123.5,10,0,0,-1,45164,5,116,106
88,215,476,192,202,10,0,0,-1,30832,5,53,50
88001,215,476,50.75,52.25,10,0,0,-1,30832,3,53,50
88002,215,476,53.75,55.25,10,0,0,-1,30832,5,53,50
103,86,479,215,225,10,0,0,-1,31832,5,80,50
103001,86,479,57.5,72.5,10,0,0,-1,31832,3,80,50
103002,86,479,87.5,102.5,10,0,0,-1,31832,5,80,50
111,278,480,138.5,145.5,10,0,0,-1,28832,5,44,35
111001,278,480,37.25,41.75,10,0,0,-1,28832,3,44,35
111002,278,480,46.25,50.75,10,0,0,-1,28832,5,44,35
71,319,481,184.4,192.8,10,0,0,-1,18500,5,53,42
71001,319,481,44.75,50.25,10,0,0,-1,18500,3,53,42
71002,319,481,55.75,61.25,10,0,0,-1,18500,5,53,42
100,128,479,215,225,10,0,0,-1,38498,5,80,50
100001,128,479,57.5,72.5,10,0,0,-1,38498,3,80,50
100002,128,479,87.5,102.5,10,0,0,-1,38498,5,80,50
63,159,472,150.6,158.2,10,0,0,-1,23666,5,48,38
63001,159,472,40.5,45.5,10,0,0,-1,23666,3,48,38
63002,159,472,50.5,55.5,10,0,0,-1,23666,5,48,38
51,228,472,169.8,178.6,10,0,0,-1,18000,5,51,44
51001,228,472,45.75,49.25,10,0,0,-1,18000,3,51,44
51002,228,472,52.75,56.25,10,0,0,-1,18000,5,51,44
33,309,480,173.4,181.8,10,0,0,-1,18000,5,60,42
33001,309,480,46.5,55.5,10,0,0,-1,18000,3,60,42
33002,309,480,64.5,73.5,10,0,0,-1,18000,5,60,42
121,285,473,221.9,233.3,10,0,0,-1,31832,5,68,57
121001,285,473,59.75,65.25,10,0,0,-1,31832,3,68,57
121002,285,473,70.75,76.25,10,0,0,-1,31832,5,68,57
86,315,475,206.7,216.9,10,0,0,-1,25166,5,69,51
86001,315,475,55.5,64.5,10,0,0,-1,25166,3,69,51
86002,315,475,73.5,82.5,10,0,0,-1,25166,5,69,51
84,225,474,204.3,214.1,10,0,0,-1,35498,5,72,49
84001,225,474,54.75,66.25,10,0,0,-1,35498,3,72,49
84002,225,474,77.75,89.25,10,0,0,-1,35498,5,72,49
119,380,467,169.5,176.5,10,0,0,-1,21000,5,46,35
119001,380,467,37.75,43.25,10,0,0,-1,21000,3,46,35
119002,380,467,48.75,54.25,10,0,0,-1,21000,5,46,35
106,194,466,159.3,167.1,10,0,0,-1,19000,5,54,39
106001,194,466,42.75,50.25,10,0,0,-1,19000,3,54,39
106002,194,466,57.75,65.25,10,0,0,-1,19000,5,54,39
172,194,475,165.7,173.9,10,0,0,-1,17000,5,70,41
172001,194,475,48.25,62.75,10,0,0,-1,17000,3,70,41
172002,194,475,77.25,91.75,10,0,0,-1,17000,5,70,41
94,176,465,195.7,205.9,10,0,0,-1,32832,5,58,51
94001,176,465,52.75,56.25,10,0,0,-1,32832,3,58,51
94002,176,465,59.75,63.25,10,0,0,-1,32832,5,58,51
36,408,483,188.6,198.2,10,0,0,-1,22000,5,59,48
36001,408,483,50.75,56.25,10,0,0,-1,22000,3,59,48
36002,408,483,61.75,67.25,10,0,0,-1,22000,5,59,48
45,308,480,188.2,197.4,10,0,0,-1,25666,5,64,46
45001,308,480,50.5,59.5,10,0,0,-1,25666,3,64,46
45002,308,480,68.5,77.5,10,0,0,-1,25666,5,64,46
143,228,467,172.9,180.3,10,0,0,-1,19500,5,73,37
143001,228,467,46,64,10,0,0,-1,19500,3,73,37
143002,228,467,82,100,10,0,0,-1,19500,5,73,37
78,436,465,196,206,10,0,0,-1,34832,5,61,50
78001,436,465,52.75,58.25,10,0,0,-1,34832,3,61,50
78002,436,465,63.75,69.25,10,0,0,-1,34832,5,61,50
129,346,474,214.5,225.5,10,0,0,-1,40498,5,66,55
129001,346,474,57.75,63.25,10,0,0,-1,40498,3,66,55
129002,346,474,68.75,74.25,10,0,0,-1,40498,5,66,55
43,61,474,195.3,205.1,10,0,0,-1,24666,5,63,49
43001,61,474,52.5,59.5,10,0,0,-1,24666,3,63,49
43002,61,474,66.5,73.5,10,0,0,-1,24666,5,63,49
83,231,483,199,209,10,0,0,-1,20000,5,64,50
83001,231,483,53.5,60.5,10,0,0,-1,20000,3,64,50
83002,231,483,67.5,74.5,10,0,0,-1,20000,5,64,50
74,159,473,180.5,189.5,10,0,0,-1,24666,5,59,45
74001,159,473,48.5,55.5,10,0,0,-1,24666,3,59,45
74002,159,473,62.5,69.5,10,0,0,-1,24666,5,59,45
114,114,482,199.4,209.8,10,0,0,-1,40998,5,59,52
114001,114,482,53.75,57.25,10,0,0,-1,40998,3,59,52
