demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
3,181,469,107.8,109.9,10,0,0,-1,36498
4,96,469,121.0,122.5,10,0,0,-1,48996
2,8,468,105.2,106.1,10,0,0,-1,56662
88,306,463,175.8,184.6,10,0,0,-1,24666
49,69,477,164.3,172.1,10,0,0,-1,23166
85,405,463,176.8,185.6,10,0,0,-1,31332
43,317,477,168.0,176.0,10,0,0,-1,23166
32,341,467,126.0,132.0,10,0,0,-1,17000
1,293,464,99.8,101.9,10,0,0,-1,59662
56,431,463,191.6,201.2,10,0,0,-1,25166
87,223,473,174.1,182.7,10,0,0,-1,23166
111,359,463,199.0,209.0,10,0,0,-1,45164
106,244,462,171.1,179.7,10,0,0,-1,26166
19,48,448,183.4,191.8,10,0,0,-1,21000
0,333,474,70.0,72.5,10,0,0,-1,31332
75,408,464,177.1,185.7,10,0,0,-1,22500
34,346,463,187.9,197.3,10,0,0,-1,46664
103,383,469,171.8,180.6,10,0,0,-1,24666
79,421,466,179.5,188.5,10,0,0,-1,26666
141,440,463,209.5,220.5,10,0,0,-1,39498
161,78,477,201.3,211.1,10,0,0,-1,20000
137,92,463,199.0,209.0,10,0,0,-1,34332
68,28,469,182.9,192.3,10,0,0,-1,19500
95,71,464,228.6,240.2,10,0,0,-1,61996
98,171,479,203.6,213.2,10,0,0,-1,34166
16,153,449,219.6,229.2,10,0,0,-1,58496
54,435,463,195.3,205.1,10,0,0,-1,34332
155,331,470,172.1,180.7,10,0,0,-1,20000
145,53,475,192.6,202.2,10,0,0,-1,20000
124,229,479,225.8,236.6,10,0,0,-1,69162
61,14,479,217.7,227.9,10,0,0,-1,29000
26,386,462,212.8,223.6,10,0,0,-1,31666
97,126,477,212.4,222.8,10,0,0,-1,22000
31,90,475,200.0,210.0,10,0,0,-1,21000
10,335,459,220.5,231.5,10,0,0,-1,32166
65,245,473,211.1,221.7,10,0,0,-1,22000
122,48,465,236.7,248.9,10,0,0,-1,23500
92,48,465,236.7,248.9,10,0,0,-1,23500
14,429,458,255.9,269.3,10,0,0,-1,45498
139,245,469,190.3,200.1,10,0,0,-1,22500
160,420,479,227.6,239.2,10,0,0,-1,39332
110,433,477,168.9,176.3,10,0,0,-1,22500
30,333,474,210.0,220.0,10,0,0,-1,34998
89,438,475,210.5,221.5,10,0,0,-1,30166
39,181,479,278.4,292.8,10,0,0,-1,52498
25,174,475,211.1,221.7,10,0,0,-1,23000
6,181,465,92.6,93.8,10,0,0,-1,45330
144,331,471,183.2,192.4,10,0,0,-1,23000
96,408,478,190.9,200.3,10,0,0,-1,25000
5,202,473,109.0,110.5,10,0,0,-1,63162
27,70,469,242.1,254.7,10,0,0,-1,37832
132,157,463,227.6,239.2,10,0,0,-1,29500
90,421,478,198.3,208.1,10,0,0,-1,31666
130,421,478,198.3,208.1,10,0,0,-1,31666
158,265,479,325.7,341.9,10,0,0,-1,83662
12,303,454,218.1,228.7,10,0,0,-1,35332
73,108,479,288.7,302.9,10,0,0,-1,65996
78,49,467,243.4,255.8,10,0,0,-1,32166
22,414,456,224.9,236.3,10,0,0,-1,34166
151,135,475,243.4,255.8,10,0,0,-1,25000
83,355,469,243.0,255.0,10,0,0,-1,38832
66,12,479,285.0,299.0,10,0,0,-1,67496
165,408,475,234.3,246.1,10,0,0,-1,25000
143,89,471,226.6,238.2,10,0,0,-1,25000
9,326,455,352.3,370.1,10,0,0,-1,90494
140,151,479,322.0,338.0,10,0,0,-1,127990
125,440,477,253.1,265.7,10,0,0,-1,45498
153,11,479,296.1,310.7,10,0,0,-1,75162
76,8,464,286.5,301.5,10,0,0,-1,71496
126,393,478,253.2,266.4,10,0,0,-1,33666
131,436,478,227.6,239.2,10,0,0,-1,43498
40,388,479,297.9,313.3,10,0,0,-1,55998
149,356,473,281.4,295.8,10,0,0,-1,47498
146,377,476,248.8,261.6,10,0,0,-1,39832
23,230,473,255.5,268.5,10,0,0,-1,40832
41,54,469,220.8,231.6,10,0,0,-1,32666
99,258,468,230.3,242.1,10,0,0,-1,27000
13,119,446,293.3,307.1,10,0,0,-1,70996
53,0,469,223.6,235.2,10,0,0,-1,26500
127,59,463,280.4,294.8,10,0,0,-1,71996
86,74,479,288.7,302.9,10,0,0,-1,74162
74,411,479,268.3,282.1,10,0,0,-1,52498
50,63,462,315.4,331.8,10,0,0,-1,66164
21,65,451,268.3,282.1,10,0,0,-1,68496
142,313,477,225.5,236.5,10,0,0,-1,38332
109,357,477,290.1,304.7,10,0,0,-1,56164
57,110,473,240.7,252.9,10,0,0,-1,40832
107,228,467,248.8,261.6,10,0,0,-1,56164
134,343,473,256.4,268.8,10,0,0,-1,34666
108,167,464,307.0,323.0,10,0,0,-1,80162
114,2,469,242.1,254.7,10,0,0,-1,35166
67,80,469,249.5,262.5,10,0,0,-1,42332
11,258,459,250.8,263.6,10,0,0,-1,29500
116,166,464,318.1,334.7,10,0,0,-1,84828
15,371,460,315.4,331.8,10,0,0,-1,76662
156,381,473,288.8,303.6,10,0,0,-1,49998
115,408,473,250.0,262.0,10,0,0,-1,30000
163,184,469,248.8,261.6,10,0,0,-1,30000
55,207,475,272.4,286.8,10,0,0,-1,43332
69,401,467,273.4,287.8,10,0,0,-1,67496
37,293,464,328.1,344.7,10,0,0,-1,100160
24,393,475,300.6,316.2,10,0,0,-1,38666
42,392,466,301.3,317.1,10,0,0,-1,46832
60,388,463,326.7,342.9,10,0,0,-1,59498
102,127,473,288.8,303.6,10,0,0,-1,38666
38,50,469,264.1,276.7,10,0,0,-1,42832
44,100,473,289.7,303.9,10,0,0,-1,38666
84,409,469,255.1,267.7,10,0,0,-1,38166
63,234,469,256.1,268.7,10,0,0,-1,36166
148,292,463,346.0,364.0,10,0,0,-1,77330
112,149,469,293.9,309.3,10,0,0,-1,51332
119,284,477,256.2,269.4,10,0,0,-1,41832
123,124,477,279.0,293.0,10,0,0,-1,41166
147,386,477,269.8,282.6,10,0,0,-1,39666
113,75,469,268.0,282.0,10,0,0,-1,45832
93,239,471,260.9,274.3,10,0,0,-1,40832
150,106,476,332.9,350.3,10,0,0,-1,60664
47,392,474,327.2,344.4,10,0,0,-1,49832
7,38,258,458.9,482.3,10,0,0,-1,161154
101,347,469,261.5,274.5,10,0,0,-1,62330
164,296,473,314.7,330.9,10,0,0,-1,61664
59,207,469,267.3,281.1,10,0,0,-1,47332
62,65,478,287.5,302.5,10,0,0,-1,50832
51,73,470,313.0,329.0,10,0,0,-1,60164
154,181,465,319.1,335.7,10,0,0,-1,56998
82,416,465,310.0,326.0,10,0,0,-1,56998
35,65,471,309.4,325.8,10,0,0,-1,50332
105,358,473,345.6,363.2,10,0,0,-1,68330
77,259,468,293.2,308.4,10,0,0,-1,45666
157,426,473,336.9,354.3,10,0,0,-1,57498
91,64,470,319.1,335.7,10,0,0,-1,58498
81,289,469,305.0,321.0,10,0,0,-1,51832
71,104,469,330.9,348.3,10,0,0,-1,53332
94,260,477,330.8,347.6,10,0,0,-1,53832
133,98,477,349.3,367.1,10,0,0,-1,60498
104,193,467,302.0,318.0,10,0,0,-1,52832
120,140,477,330.8,347.6,10,0,0,-1,73830
118,420,469,306.9,322.3,10,0,0,-1,52332
64,185,473,332.5,349.5,10,0,0,-1,46666
128,419,470,335.8,352.6,10,0,0,-1,59998
159,387,469,321.7,337.9,10,0,0,-1,54332
52,419,471,334.9,352.3,10,0,0,-1,60498
