LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,6,0,6666,15000,14,0,
1,0,11,0,6666,15000,7,0,
2,0,441,0,2500,40000,19,0,
3,1,2,0,6666,15000,2,0,
4,1,445,0,2500,40000,13,0,
5,2,1,0,6666,15000,8,0,
6,2,3,0,6666,15000,6,0,
7,3,2,0,6666,15000,4,0,
8,3,4,0,6666,15000,17,0,
9,4,3,0,6666,15000,13,0,
10,4,5,0,6666,15000,1,0,
11,5,4,0,6666,15000,10,0,
12,5,11,0,6666,15000,16,0,
13,6,7,0,6666,15000,16,0,
14,6,0,0,6666,15000,11,0,
15,7,6,0,6666,15000,1,0,
16,7,8,0,6666,15000,5,0,
17,8,7,0,6666,15000,11,0,
18,8,9,0,6666,15000,4,0,
19,9,8,0,6666,15000,7,0,
20,9,10,0,6666,15000,17,0,
21,10,9,0,6666,15000,10,0,
22,10,11,0,6666,15000,8,0,
23,11,10,0,6666,15000,2,0,
24,11,5,0,6666,15000,7,0,
25,11,0,0,6666,15000,7,0,
26,12,22,0,6666,15000,12,0,
27,12,438,0,2500,40000,17,0,
28,13,14,0,6666,15000,3,0,
29,13,438,0,2500,40000,7,0,
30,14,13,0,6666,15000,17,0,
31,14,15,0,6666,15000,14,0,
32,15,14,0,6666,15000,7,0,
33,15,16,0,6666,15000,15,0,
34,16,15,0,6666,15000,19,0,
35,16,17,0,6666,15000,15,0,
36,17,16,0,6666,15000,7,0,
37,17,18,0,6666,15000,2,0,
38,18,17,0,6666,15000,17,0,
39,18,19,0,6666,15000,12,0,
40,19,18,0,6666,15000,10,0,
41,19,20,0,6666,15000,12,0,
42,20,19,0,6666,15000,18,0,
43,20,21,0,6666,15000,3,0,
44,21,20,0,6666,15000,3,0,
45,21,22,0,6666,15000,5,0,
46,22,21,0,6666,15000,4,0,
47,22,12,0,6666,15000,19,0,
48,23,34,0,6666,15000,12,0,
49,23,440,0,2500,40000,6,0,
50,24,25,0,6666,15000,15,0,
51,24,440,0,2500,40000,10,0,
52,25,24,0,6666,15000,19,0,
53,25,26,0,6666,15000,4,0,
54,26,25,0,6666,15000,4,0,
55,26,27,0,6666,15000,17,0,
56,27,26,0,6666,15000,15,0,
57,27,28,0,6666,15000,12,0,
58,28,27,0,6666,15000,16,0,
59,28,29,0,6666,15000,5,0,
60,29,28,0,6666,15000,4,0,
61,29,30,0,6666,15000,17,0,
62,30,29,0,6666,15000,15,0,
63,30,31,0,6666,15000,16,0,
64,31,30,0,6666,15000,1,0,
65,31,32,0,6666,15000,6,0,
66,32,31,0,6666,15000,16,0,
67,32,33,0,6666,15000,8,0,
68,33,32,0,6666,15000,13,0,
69,33,34,0,6666,15000,6,0,
70,34,33,0,6666,15000,18,0,
71,34,23,0,6666,15000,7,0,
72,35,36,0,6666,15000,6,0,
73,35,438,0,2500,40000,4,0,
74,36,35,0,6666,15000,1,0,
75,36,37,0,6666,15000,12,0,
76,37,36,0,6666,15000,16,0,
77,37,38,0,6666,15000,14,0,
78,38,37,0,6666,15000,16,0,
79,38,39,0,6666,15000,2,0,
80,39,38,0,6666,15000,1,0,
81,39,40,0,6666,15000,11,0,
82,40,39,0,6666,15000,5,0,
83,40,41,0,6666,15000,13,0,
84,41,40,0,6666,15000,4,0,
85,41,42,0,6666,15000,12,0,
86,41,47,0,6666,15000,2,0,
87,42,41,0,6666,15000,19,0,
88,42,43,0,6666,15000,19,0,
89,43,42,0,6666,15000,1,0,
90,43,44,0,6666,15000,7,0,
91,44,43,0,6666,15000,12,0,
92,44,45,0,6666,15000,8,0,
93,45,44,0,6666,15000,17,0,
94,45,46,0,6666,15000,12,0,
95,46,45,0,6666,15000,15,0,
96,46,47,0,6666,15000,8,0,
97,47,46,0,6666,15000,4,0,
98,47,41,0,6666,15000,17,0,
99,48,57,0,6666,15000,10,0,
100,48,441,0,2500,40000,2,0,
101,49,50,0,6666,15000,19,0,
102,49,446,0,2500,40000,4,0,
103,50,49,0,6666,15000,16,0,
104,50,51,0,6666,15000,10,0,
105,51,50,0,6666,15000,9,0,
106,51,52,0,6666,15000,5,0,
107,52,51,0,6666,15000,9,0,
108,52,53,0,6666,15000,6,0,
109,53,52,0,6666,15000,12,0,
110,53,54,0,6666,15000,8,0,
111,54,53,0,6666,15000,17,0,
112,54,55,0,6666,15000,16,0,
113,55,54,0,6666,15000,2,0,
114,55,56,0,6666,15000,10,0,
115,56,55,0,6666,15000,6,0,
116,56,57,0,6666,15000,6,0,
117,57,56,0,6666,15000,12,0,
118,57,48,0,6666,15000,12,0,
119,58,59,0,6666,15000,16,0,
120,58,438,0,2500,40000,15,0,
121,59,58,0,6666,15000,15,0,
122,59,60,0,6666,15000,17,0,
123,60,59,0,6666,15000,1,0,
124,60,61,0,6666,15000,17,0,
125,61,60,0,6666,15000,16,0,
126,61,62,0,6666,15000,16,0,
127,62,61,0,6666,15000,3,0,
128,62,67,0,6666,15000,15,0,
129,63,64,0,6666,15000,1,0,
130,63,442,0,2500,40000,11,0,
131,64,63,0,6666,15000,1,0,
132,64,65,0,6666,15000,8,0,
133,65,64,0,6666,15000,9,0,
134,65,66,0,6666,15000,16,0,
135,66,65,0,6666,15000,9,0,
136,66,67,0,6666,15000,14,0,
137,67,66,0,6666,15000,14,0,
138,67,62,0,6666,15000,10,0,
139,67,72,0,6666,15000,13,0,
140,68,69,0,6666,15000,13,0,
141,68,444,0,2500,40000,16,0,
142,69,68,0,6666,15000,13,0,
143,69,70,0,6666,15000,3,0,
144,70,69,0,6666,15000,15,0,
145,70,71,0,6666,15000,6,0,
146,71,70,0,6666,15000,2,0,
147,71,72,0,6666,15000,6,0,
148,72,71,0,6666,15000,3,0,
149,72,67,0,6666,15000,4,0,
150,73,83,0,6666,15000,4,0,
151,73,441,0,2500,40000,16,0,
152,74,75,0,6666,15000,6,0,
153,74,441,0,2500,40000,14,0,
154,75,74,0,6666,15000,2,0,
155,75,76,0,6666,15000,10,0,
156,76,75,0,6666,15000,17,0,
157,76,77,0,6666,15000,15,0,
158,77,76,0,6666,15000,1,0,
159,77,78,0,6666,15000,17,0,
160,78,77,0,6666,15000,5,0,
161,78,79,0,6666,15000,13,0,
162,79,78,0,6666,15000,13,0,
163,79,80,0,6666,15000,17,0,
164,80,79,0,6666,15000,15,0,
165,80,81,0,6666,15000,8,0,
166,81,80,0,6666,15000,9,0,
167,81,82,0,6666,15000,10,0,
168,82,81,0,6666,15000,6,0,
169,82,83,0,6666,15000,8,0,
170,83,82,0,6666,15000,9,0,
171,83,73,0,6666,15000,8,0,
172,84,94,0,6666,15000,10,0,
173,84,442,0,2500,40000,4,0,
174,85,86,0,6666,15000,2,0,
175,85,447,0,2500,40000,13,0,
176,86,85,0,6666,15000,11,0,
177,86,87,0,6666,15000,7,0,
178,87,86,0,6666,15000,1,0,
179,87,88,0,6666,15000,15,0,
180,88,87,0,6666,15000,15,0,
181,88,89,0,6666,15000,1,0,
182,89,88,0,6666,15000,11,0,
183,89,90,0,6666,15000,17,0,
184,90,89,0,6666,15000,13,0,
185,90,91,0,6666,15000,6,0,
186,91,90,0,6666,15000,14,0,
187,91,92,0,6666,15000,3,0,
188,92,91,0,6666,15000,3,0,
189,92,93,0,6666,15000,6,0,
190,93,92,0,6666,15000,5,0,
191,93,94,0,6666,15000,1,0,
192,94,93,0,6666,15000,13,0,
193,94,84,0,6666,15000,15,0,
194,95,104,0,6666,15000,18,0,
195,95,441,0,2500,40000,9,0,
196,96,97,0,6666,15000,1,0,
197,96,446,0,2500,40000,5,0,
198,97,96,0,6666,15000,5,0,
199,97,98,0,6666,15000,8,0,
200,98,97,0,6666,15000,4,0,
201,98,99,0,6666,15000,3,0,
202,99,98,0,6666,15000,12,0,
203,99,100,0,6666,15000,15,0,
204,100,99,0,6666,15000,11,0,
205,100,101,0,6666,15000,3,0,
206,101,100,0,6666,15000,14,0,
207,101,102,0,6666,15000,4,0,
208,102,101,0,6666,15000,11,0,
209,102,103,0,6666,15000,9,0,
210,103,102,0,6666,15000,13,0,
211,103,104,0,6666,15000,17,0,
212,104,103,0,6666,15000,4,0,
213,104,95,0,6666,15000,11,0,
214,105,117,0,6666,15000,6,0,
215,105,440,0,2500,40000,13,0,
216,106,107,0,6666,15000,9,0,
217,106,443,0,2500,40000,12,0,
218,107,106,0,6666,15000,17,0,
219,107,108,0,6666,15000,13,0,
220,108,107,0,6666,15000,3,0,
221,108,109,0,6666,15000,18,0,
222,109,108,0,6666,15000,11,0,
223,109,110,0,6666,15000,8,0,
224,110,109,0,6666,15000,17,0,
225,110,111,0,6666,15000,10,0,
226,111,110,0,6666,15000,7,0,
227,111,112,0,6666,15000,2,0,
228,112,111,0,6666,15000,14,0,
229,112,113,0,6666,15000,4,0,
230,113,112,0,6666,15000,18,0,
231,113,114,0,6666,15000,11,0,
232,114,113,0,6666,15000,15,0,
233,114,115,0,6666,15000,13,0,
234,115,114,0,6666,15000,4,0,
235,115,116,0,6666,15000,18,0,
236,116,115,0,6666,15000,11,0,
237,116,117,0,6666,15000,3,0,
238,117,116,0,6666,15000,14,0,
239,117,105,0,6666,15000,7,0,
240,118,119,0,6666,15000,16,0,
241,118,130,0,6666,15000,16,0,
242,118,120,0,6666,15000,8,0,
243,118,122,0,6666,15000,15,0,
244,118,124,0,6666,15000,15,0,
245,118,126,0,6666,15000,13,0,
246,118,128,0,6666,15000,6,0,
247,118,438,0,2500,40000,18,0,
248,119,118,0,6666,15000,9,0,
249,119,120,0,6666,15000,4,0,
250,120,119,0,6666,15000,11,0,
251,120,121,0,6666,15000,13,0,
252,120,118,0,6666,15000,15,0,
253,121,120,0,6666,15000,7,0,
254,121,122,0,6666,15000,18,0,
255,122,121,0,6666,15000,15,0,
256,122,123,0,6666,15000,19,0,
257,122,118,0,6666,15000,18,0,
258,123,122,0,6666,15000,5,0,
259,123,124,0,6666,15000,9,0,
260,124,123,0,6666,15000,10,0,
261,124,125,0,6666,15000,16,0,
262,124,118,0,6666,15000,11,0,
263,125,124,0,6666,15000,16,0,
264,125,126,0,6666,15000,17,0,
265,126,125,0,6666,15000,6,0,
266,126,127,0,6666,15000,13,0,
267,126,118,0,6666,15000,4,0,
268,127,126,0,6666,15000,18,0,
269,127,128,0,6666,15000,6,0,
270,128,127,0,6666,15000,5,0,
271,128,129,0,6666,15000,6,0,
272,128,118,0,6666,15000,15,0,
273,129,128,0,6666,15000,12,0,
274,129,130,0,6666,15000,3,0,
275,130,129,0,6666,15000,1,0,
276,130,118,0,6666,15000,16,0,
277,131,145,0,6666,15000,13,0,
278,131,439,0,2500,40000,3,0,
279,132,133,0,6666,15000,2,0,
280,132,447,0,2500,40000,5,0,
281,133,132,0,6666,15000,14,0,
282,133,134,0,6666,15000,8,0,
283,134,133,0,6666,15000,3,0,
284,134,135,0,6666,15000,12,0,
285,135,134,0,6666,15000,1,0,
286,135,136,0,6666,15000,3,0,
287,136,135,0,6666,15000,5,0,
288,136,137,0,6666,15000,13,0,
289,137,136,0,6666,15000,8,0,
290,137,138,0,6666,15000,18,0,
291,138,137,0,6666,15000,6,0,
292,138,139,0,6666,15000,19,0,
293,139,138,0,6666,15000,6,0,
294,139,140,0,6666,15000,9,0,
295,140,139,0,6666,15000,2,0,
296,140,141,0,6666,15000,11,0,
297,141,140,0,6666,15000,10,0,
298,141,142,0,6666,15000,18,0,
299,142,141,0,6666,15000,4,0,
300,142,143,0,6666,15000,15,0,
301,143,142,0,6666,15000,16,0,
302,143,144,0,6666,15000,4,0,
303,144,143,0,6666,15000,1,0,
304,144,145,0,6666,15000,7,0,
305,145,144,0,6666,15000,7,0,
306,145,131,0,6666,15000,7,0,
307,146,157,0,6666,15000,3,0,
308,146,441,0,2500,40000,5,0,
309,147,148,0,6666,15000,6,0,
310,147,447,0,2500,40000,11,0,
311,148,147,0,6666,15000,10,0,
312,148,149,0,6666,15000,9,0,
313,149,148,0,6666,15000,8,0,
314,149,150,0,6666,15000,8,0,
315,150,149,0,6666,15000,14,0,
316,150,151,0,6666,15000,15,0,
317,151,150,0,6666,15000,5,0,
318,151,152,0,6666,15000,17,0,
319,152,151,0,6666,15000,2,0,
320,152,153,0,6666,15000,7,0,
321,153,152,0,6666,15000,7,0,
322,153,154,0,6666,15000,1,0,
323,154,153,0,6666,15000,6,0,
324,154,155,0,6666,15000,6,0,
325,155,154,0,6666,15000,18,0,
326,155,156,0,6666,15000,19,0,
327,156,155,0,6666,15000,3,0,
328,156,157,0,6666,15000,11,0,
329,157,156,0,6666,15000,3,0,
330,157,146,0,6666,15000,18,0,
331,158,167,0,6666,15000,6,0,
332,158,444,0,2500,40000,5,0,
333,159,160,0,6666,15000,10,0,
334,159,444,0,2500,40000,17,0,
335,160,159,0,6666,15000,15,0,
336,160,161,0,6666,15000,6,0,
337,161,160,0,6666,15000,11,0,
338,161,162,0,6666,15000,7,0,
339,162,161,0,6666,15000,8,0,
340,162,163,0,6666,15000,5,0,
341,163,162,0,6666,15000,9,0,
342,163,164,0,6666,15000,16,0,
343,164,163,0,6666,15000,9,0,
344,164,165,0,6666,15000,10,0,
345,165,164,0,6666,15000,19,0,
346,165,166,0,6666,15000,18,0,
347,166,165,0,6666,15000,8,0,
348,166,167,0,6666,15000,5,0,
349,167,166,0,6666,15000,2,0,
350,167,158,0,6666,15000,4,0,
351,168,169,0,6666,15000,6,0,
352,168,440,0,2500,40000,5,0,
353,169,168,0,6666,15000,18,0,
354,169,170,0,6666,15000,11,0,
355,170,169,0,6666,15000,17,0,
356,170,171,0,6666,15000,4,0,
