hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
29,13,17,0,3,0,1,3,2,3,2,1.06245,0.60875
29001,13,17,0.722175,0.949025,0,1,3,2,3,3,1.06245,0.60875
29002,13,17,1.17587,1.40272,0,1,3,2,3,5,1.06245,0.60875
26,16,17,4,6,0,1,2,2,6,5,2.48795,2.48795
26001,16,17,2.48795,2.48795,0,1,2,2,6,3,2.48795,2.48795
26002,16,17,2.48795,2.48795,0,1,2,2,6,5,2.48795,2.48795
25,24,25,0,5,0,1,5,2,3,2,0.1018,0.1018
25001,24,25,0.1018,0.1018,0,1,5,2,3,3,0.1018,0.1018
25002,24,25,0.1018,0.1018,0,1,5,2,3,5,0.1018,0.1018
22,16,25,1,3,0,1,2,2,4,2,1.3168,1.3168
22001,16,25,1.3168,1.3168,0,1,2,2,4,3,1.3168,1.3168
22002,16,25,1.3168,1.3168,0,1,2,2,4,5,1.3168,1.3168
11,4,25,0,1,0,1,1,2,4,2,0.8473,0.84505
11001,4,25,0.845612,0.846738,0,1,1,2,4,3,0.8473,0.84505
11002,4,25,0.847863,0.848988,0,1,1,2,4,5,0.8473,0.84505
28,17,24,3,6,0,1,3,2,7,2,3.70295,3.2745
28001,17,24,3.38161,3.59584,0,1,3,2,7,3,3.70295,3.2745
28002,17,24,3.81006,4.02429,0,1,3,2,7,5,3.70295,3.2745
27,7,17,3,6,0,1,3,2,7,2,3.72975,3.28
27001,7,17,3.39244,3.61731,0,1,3,2,7,3,3.72975,3.28
27002,7,17,3.84219,4.06706,0,1,3,2,7,5,3.72975,3.28
13,9,25,2,4,0,1,2,2,6,2,2.0308,2.02855
13001,9,25,2.02911,2.03024,0,1,2,2,6,3,2.0308,2.02855
13002,9,25,2.03136,2.03249,0,1,2,2,6,5,2.0308,2.02855
24,21,25,1,3,0,1,2,2,5,2,1.5163,1.5163
24001,21,25,1.5163,1.5163,0,1,2,2,5,3,1.5163,1.5163
24002,21,25,1.5163,1.5163,0,1,2,2,5,5,1.5163,1.5163
20000,19,25,0,3,0,1,3,2,5,2,0.9351,0.77855
20000001,19,25,0.817688,0.895962,0,1,3,2,5,3,0.9351,0.77855
20000002,19,25,0.974238,1.05251,0,1,3,2,5,5,0.9351,0.77855
17,18,25,1,7,0,1,6,2,5,2,1.4473,1.44505
17001,18,25,1.44561,1.44674,0,1,6,2,5,3,1.4473,1.44505
17002,18,25,1.44786,1.44899,0,1,6,2,5,5,1.4473,1.44505
16,15,25,2,7,0,1,5,2,6,2,2.0473,2.04505
16001,15,25,2.04561,2.04674,0,1,5,2,6,3,2.0473,2.04505
16002,15,25,2.04786,2.04899,0,1,5,2,6,5,2.0473,2.04505
1,22,25,1,2,0,1,1,2,6,2,1.77595,1.6194
1001,22,25,1.65854,1.73681,0,1,1,2,6,3,1.77595,1.6194
1002,22,25,1.81509,1.89336,0,1,1,2,6,5,1.77595,1.6194
23,20,25,2,4,0,1,2,2,6,2,2.5848,2.5848
23001,20,25,2.5848,2.5848,0,1,2,2,6,3,2.5848,2.5848
23002,20,25,2.5848,2.5848,0,1,2,2,6,5,2.5848,2.5848
5,25,26,2,3,0,1,1,2,7,2,2.36345,2.3612
5001,25,26,2.36176,2.36289,0,1,1,2,7,3,2.36345,2.3612
5002,25,26,2.36401,2.36514,0,1,1,2,7,5,2.36345,2.3612
19,6,25,2,4,0,1,2,2,7,2,3.1348,2.55575
19001,6,25,2.70051,2.99004,0,1,2,2,7,3,3.1348,2.55575
19002,6,25,3.27956,3.56909,0,1,2,2,7,5,3.1348,2.55575
20,8,25,3,4,0,1,1,2,7,2,3.75255,3.3204
20001,8,25,3.42844,3.64451,0,1,1,2,7,3,3.75255,3.3204
20002,8,25,3.86059,4.07666,0,1,1,2,7,5,3.75255,3.3204
15,14,25,3,6,0,1,3,2,7,2,3.3448,3.34255
15001,14,25,3.34311,3.34424,0,1,3,2,7,3,3.3448,3.34255
15002,14,25,3.34536,3.34649,0,1,3,2,7,5,3.3448,3.34255
9,1,25,2,4,0,1,2,2,7,2,2.5608,2.55855
9001,1,25,2.55911,2.56024,0,1,2,2,7,3,2.5608,2.55855
9002,1,25,2.56136,2.56249,0,1,2,2,7,5,2.5608,2.55855
4,3,25,2,3,0,1,1,2,7,2,2.6658,2.19325
4001,3,25,2.31139,2.54766,0,1,1,2,7,3,2.6658,2.19325
4002,3,25,2.78394,3.02021,0,1,1,2,7,5,2.6658,2.19325
21,10,25,4,6,0,1,2,2,8,2,5.4347,4.3222
