demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
1,1,39,27,38,0,1,11,2,11
8,10,13,13,21,0,1,8,2,5
11,13,10,13,21,0,1,8,2,5
5,4,29,16,32,0,1,16,2,5
12,13,25,27,29,0,1,2,2,10
13,16,38,27,30,0,1,3,2,9
4,4,25,27,41,0,1,14,2,11
16,25,4,27,41,0,1,14,2,11
15,18,10,25,28,0,1,3,2,9
7,10,4,21,34,0,1,13,2,6
10,13,4,22,25,0,1,3,2,8
2,4,10,21,34,0,1,13,2,6
3,4,13,22,25,0,1,3,2,8
14,16,39,27,38,0,1,11,2,10
6,8,1,33,39,0,1,6,2,13
0,1,8,33,39,0,1,6,2,13
17,25,10,36,42,0,1,6,2,14
9,10,25,36,42,0,1,6,2,14
