LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,22,585,3,100000,1.9754,3,2|22|45
1,0,22,586,7,100000,7.2687,7,3|12|13|28|42|45|54
2,0,22,587,3,100000,1.9754,3,2|22|45
3,26,0,588,2,100000,0.6,2,24|36
4,26,0,589,2,100000,0.6,2,24|36
5,26,0,590,2,100000,0.6,2,24|36
6,4,1,591,4,100000,1.7197,4,4|6|28|54
7,5,1,592,5,100000,2.0197,5,4|6|13|28|54
8,20,1,593,4,100000,3.6363,4,3|4|6|22
9,1,26,594,1,100000,0.6742,1,7
10,1,26,595,1,100000,0.6742,1,7
11,1,26,596,1,100000,0.6742,1,7
12,1,26,597,1,100000,0.6742,1,7
13,1,26,598,1,100000,0.6742,1,7
14,1,26,599,1,100000,0.6742,1,7
15,1,26,600,1,100000,0.6742,1,7
16,1,26,601,1,100000,0.6742,1,7
17,1,26,602,1,100000,0.6742,1,7
18,1,26,603,1,100000,0.6742,1,7
19,1,26,604,1,100000,0.6742,1,7
20,1,26,605,1,100000,0.6742,1,7
21,1,26,606,1,100000,0.6742,1,7
22,1,26,607,1,100000,0.6742,1,7
23,39,1,608,2,100000,1.1197,2,5|6
24,39,1,609,2,100000,1.1197,2,4|6
25,39,1,610,2,100000,1.1197,2,4|6
26,39,1,611,2,100000,1.1197,2,4|6
27,39,1,612,2,100000,1.1197,2,4|6
28,39,1,613,2,100000,1.1197,2,4|6
29,40,1,614,1,100000,1.01205,1,6
30,40,1,615,1,100000,1.01205,1,6
31,40,1,616,1,100000,1.01205,1,6
32,40,1,617,1,100000,1.01205,1,6
33,40,1,618,1,100000,1.01205,1,6
34,40,1,619,1,100000,1.01205,1,6
35,40,1,620,1,100000,1.01205,1,6
36,40,1,621,1,100000,1.01205,1,6
37,40,1,622,1,100000,1.01205,1,6
38,40,1,623,1,100000,1.01205,1,6
39,40,1,624,1,100000,1.01205,1,6
40,40,1,625,1,100000,1.01205,1,6
41,40,1,626,1,100000,1.01205,1,6
42,40,1,627,1,100000,1.01205,1,6
43,40,1,628,1,100000,1.01205,1,6
44,40,1,629,1,100000,1.01205,1,6
45,40,1,630,1,100000,1.01205,1,6
46,40,1,631,1,100000,1.01205,1,6
47,13,2,632,1,100000,0.3,1,25
48,22,2,633,6,100000,4.0322,6,0|1|21|25|33|34
49,23,2,634,1,100000,0.3,1,43
50,23,2,635,1,100000,0.3,1,43
51,34,2,636,3,100000,0.9,3,25|33|34
52,34,2,637,3,100000,0.9,3,25|33|34
53,34,2,638,3,100000,0.9,3,25|33|34
54,34,2,639,3,100000,0.9,3,25|33|34
55,3,33,640,1,100000,0.3,1,26
56,4,5,641,1,100000,0.3,1,13
57,4,5,642,1,100000,0.3,1,13
58,4,5,643,1,100000,0.3,1,13
59,4,5,644,1,100000,0.3,1,13
60,4,5,645,1,100000,0.3,1,13
61,4,5,646,1,100000,0.3,1,13
62,4,5,647,1,100000,0.3,1,13
63,4,5,648,1,100000,0.3,1,13
64,4,5,649,1,100000,0.3,1,13
65,4,5,650,1,100000,0.3,1,13
66,4,5,651,1,100000,0.3,1,13
67,4,5,652,1,100000,0.3,1,13
68,4,5,653,1,100000,0.3,1,13
69,4,5,654,1,100000,0.3,1,13
70,4,5,655,1,100000,0.3,1,13
71,4,5,656,1,100000,0.3,1,13
72,10,4,657,3,100000,1.3165,3,17|18|28
73,10,4,658,3,100000,1.3165,3,17|18|28
74,10,4,659,3,100000,1.3165,3,17|18|28
75,10,4,660,3,100000,1.3165,3,17|18|28
76,10,4,661,3,100000,1.3165,3,17|18|28
77,10,4,662,3,100000,1.3165,3,17|18|28
78,4,20,663,4,100000,3.1166,4,3|22|28|54
79,4,20,664,4,100000,3.1166,4,3|22|28|54
80,4,20,665,4,100000,5.5275,4,2|12|13|42
81,4,20,666,4,100000,3.1166,4,3|22|28|54
82,4,20,667,4,100000,3.1166,4,3|22|28|54
83,4,20,668,4,100000,3.1166,4,3|22|28|54
84,4,20,669,4,100000,5.5275,4,1|12|13|41
85,4,20,670,4,100000,5.5275,4,2|12|13|42
86,4,20,671,4,100000,3.1166,4,3|22|28|54
87,21,4,672,2,100000,4.9275,2,12|13
88,22,4,673,3,100000,5.2275,3,12|13|42
89,22,4,674,3,100000,5.2275,3,1|12|13
90,22,4,675,3,100000,5.2275,3,12|13|42
91,22,4,676,3,100000,5.2275,3,1|12|13
92,22,4,677,3,100000,5.2275,3,1|12|13
93,22,4,678,3,100000,5.2275,3,12|13|42
94,4,37,679,1,100000,0.3,1,28
95,4,38,680,2,100000,0.33595,2,16|28
96,4,38,681,2,100000,0.33595,2,16|28
97,4,38,682,2,100000,0.33595,2,16|28
98,4,38,683,2,100000,0.33595,2,16|28
99,4,39,684,2,100000,0.6,2,28|54
100,4,39,685,2,100000,0.6,2,28|54
101,4,39,686,2,100000,0.6,2,28|54
102,4,39,687,2,100000,0.6,2,28|54
103,4,39,688,2,100000,0.6,2,28|54
104,4,43,689,1,100000,0.31775,1,14
105,4,43,690,1,100000,0.31775,1,14
106,4,43,691,1,100000,0.31775,1,14
107,4,43,692,1,100000,0.31775,1,14
108,4,43,693,1,100000,0.31775,1,14
109,4,43,694,1,100000,0.31775,1,14
110,4,43,695,1,100000,0.31775,1,14
