hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
387,844,603,27,45,1,1,14.4,0,29,5,18,18
387001,844,603,18,18,1,1,14.4,0,29,3,18,18
387002,844,603,18,18,1,1,14.4,0,29,5,18,18
389,452,565,28.5,47.5,1,1,15.2,0,26,5,19,19
389001,452,565,19,19,1,1,15.2,0,26,3,19,19
389002,452,565,19,19,1,1,15.2,0,26,5,19,19
386,843,706,24,40,1,1,12.8,0,25,5,16,11
386001,843,706,12.25,14.75,1,1,12.8,0,25,3,16,11
386002,843,706,17.25,19.75,1,1,12.8,0,25,5,16,11
148,1032,870,42,70,1,1,22.4,0,31,5,28,28
148001,1032,870,28,28,1,1,22.4,0,31,3,28,28
148002,1032,870,28,28,1,1,22.4,0,31,5,28,28
248,333,318,36,60,1,1,19.2,0,31,5,24,21
248001,333,318,21.75,23.25,1,1,19.2,0,31,3,24,21
248002,333,318,24.75,26.25,1,1,19.2,0,31,5,24,21
40,135,124,27,45,1,1,14.4,0,20,5,18,18
40001,135,124,18,18,1,1,14.4,0,20,3,18,18
40002,135,124,18,18,1,1,14.4,0,20,5,18,18
243,805,823,40.5,67.5,1,1,21.6,0,37,5,27,27
243001,805,823,27,27,1,1,21.6,0,37,3,27,27
243002,805,823,27,27,1,1,21.6,0,37,5,27,27
278,138,207,52.5,87.5,1,1,28,0,39,5,35,34
278001,138,207,34.25,34.75,1,1,28,0,39,3,35,34
278002,138,207,35.25,35.75,1,1,28,0,39,5,35,34
164,212,126,27,45,1,1,14.4,0,25,5,18,18
164001,212,126,18,18,1,1,14.4,0,25,3,18,18
164002,212,126,18,18,1,1,14.4,0,25,5,18,18
356,346,376,30,50,1,1,16,0,39,5,20,20
356001,346,376,20,20,1,1,16,0,39,3,20,20
356002,346,376,20,20,1,1,16,0,39,5,20,20
290,298,302,52.5,87.5,1,1,28,0,37,5,35,34
290001,298,302,34.25,34.75,1,1,28,0,37,3,35,34
290002,298,302,35.25,35.75,1,1,28,0,37,5,35,34
300,302,75,46.5,77.5,1,1,24.8,0,48,5,31,31
300001,302,75,31,31,1,1,24.8,0,48,3,31,31
300002,302,75,31,31,1,1,24.8,0,48,5,31,31
174,904,557,33,55,1,1,17.6,0,20,5,22,22
174001,904,557,22,22,1,1,17.6,0,20,3,22,22
174002,904,557,22,22,1,1,17.6,0,20,5,22,22
344,750,491,39,65,1,1,20.8,0,35,5,26,26
344001,750,491,26,26,1,1,20.8,0,35,3,26,26
344002,750,491,26,26,1,1,20.8,0,35,5,26,26
285,556,455,27,45,1,1,14.4,0,19,5,18,15
285001,556,455,15.75,17.25,1,1,14.4,0,19,3,18,15
285002,556,455,18.75,20.25,1,1,14.4,0,19,5,18,15
182,666,697,46.5,77.5,1,1,24.8,0,42,5,31,30
182001,666,697,30.25,30.75,1,1,24.8,0,42,3,31,30
182002,666,697,31.25,31.75,1,1,24.8,0,42,5,31,30
329,767,845,43.5,72.5,1,1,23.2,0,43,5,29,29
329001,767,845,29,29,1,1,23.2,0,43,3,29,29
329002,767,845,29,29,1,1,23.2,0,43,5,29,29
264,472,525,25.5,42.5,1,1,13.6,0,35,5,17,17
264001,472,525,17,17,1,1,13.6,0,35,3,17,17
264002,472,525,17,17,1,1,13.6,0,35,5,17,17
169,299,25,46.5,77.5,1,1,24.8,0,33,5,31,29
169001,299,25,29.5,30.5,1,1,24.8,0,33,3,31,29
169002,299,25,31.5,32.5,1,1,24.8,0,33,5,31,29
303,391,395,46.5,77.5,1,1,24.8,0,55,5,31,30
303001,391,395,30.25,30.75,1,1,24.8,0,55,3,31,30
303002,391,395,31.25,31.75,1,1,24.8,0,55,5,31,30
155,366,0,30,50,1,1,16,0,28,5,20,20
155001,366,0,20,20,1,1,16,0,28,3,20,20
155002,366,0,20,20,1,1,16,0,28,5,20,20
255,145,127,61.5,102.5,1,1,32.8,0,39,5,41,41
