LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,1,3,4,10000 ,6,0,
1,0,172,689,8,10000 ,3,0,
2,0,2302,9205,5,10000 ,1,0,
3,1,0,0,4,10000 ,6,0,
4,1,2,8,9,10000 ,17,0,
5,1,3,12,5,10000 ,13,0,
6,1,3076,12274,10,10000 ,8,0,
7,1,130,525,2,10000 ,3,0,
8,2,1,4,9,10000 ,17,0,
9,2,4,17,1,10000 ,4,0,
10,2,1512,6057,1,10000 ,5,0,
11,2,4273,17080,1,10000 ,17,0,
12,3,1,5,5,10000 ,13,0,
13,3,5,22,1,10000 ,10,0,
14,3,7,30,9,10000 ,15,0,
15,3,678,2696,2,10000 ,7,0,
16,3,4587,18352,3,10000 ,11,0,
17,4,2,9,1,10000 ,4,0,
18,4,6,26,9,10000 ,19,0,
19,4,4749,18993,6,10000 ,0,0,
20,4,818,3250,10,10000 ,7,0,
21,4,4825,19299,3,10000 ,15,0,
22,5,3,13,1,10000 ,10,0,
23,5,8,34,2,10000 ,6,0,
24,5,2371,9482,2,10000 ,3,0,
25,5,3838,15335,9,10000 ,2,0,
26,6,4,18,9,10000 ,19,0,
27,6,11,45,8,10000 ,7,0,
28,6,3113,12427,1,10000 ,16,0,
29,6,3129,12493,1,10000 ,15,0,
30,7,3,14,9,10000 ,15,0,
31,7,9,38,1,10000 ,3,0,
32,7,10,41,1,10000 ,3,0,
33,7,1306,5220,10,10000 ,9,0,
34,8,5,23,2,10000 ,6,0,
35,8,14,56,9,10000 ,2,0,
36,8,16,64,2,10000 ,0,0,
37,8,3953,15786,8,10000 ,10,0,
38,9,7,31,1,10000 ,3,0,
39,9,15,59,3,10000 ,17,0,
40,9,1787,7166,5,10000 ,6,0,
41,10,7,32,1,10000 ,3,0,
42,10,12,49,2,10000 ,7,0,
43,10,3932,15700,9,10000 ,18,0,
44,10,3594,14354,10,10000 ,19,0,
45,11,6,27,8,10000 ,7,0,
46,11,3848,15369,9,10000 ,0,0,
47,11,776,3079,9,10000 ,8,0,
48,11,2093,8396,1,10000 ,16,0,
49,12,10,42,2,10000 ,7,0,
50,12,13,52,7,10000 ,3,0,
51,12,18,72,1,10000 ,14,0,
52,13,12,50,7,10000 ,3,0,
53,13,17,69,4,10000 ,11,0,
54,13,4639,18559,1,10000 ,16,0,
55,13,3220,12853,4,10000 ,13,0,
56,14,8,35,9,10000 ,2,0,
57,14,24,98,5,10000 ,20,0,
58,14,25,101,3,10000 ,1,0,
59,15,9,39,3,10000 ,17,0,
60,15,1962,7873,8,10000 ,15,0,
61,15,450,1795,6,10000 ,4,0,
62,15,4227,16890,10,10000 ,11,0,
63,15,261,1048,9,10000 ,18,0,
64,16,8,36,2,10000 ,0,0,
65,16,19,77,8,10000 ,15,0,
66,16,1810,7258,1,10000 ,17,0,
67,16,418,1678,8,10000 ,9,0,
68,16,1003,4005,8,10000 ,15,0,
69,17,13,53,4,10000 ,11,0,
70,17,23,94,6,10000 ,20,0,
71,17,4042,16154,2,10000 ,7,0,
72,18,12,51,1,10000 ,14,0,
73,18,20,81,10,10000 ,3,0,
74,18,94,383,1,10000 ,20,0,
75,18,1682,6746,5,10000 ,13,0,
76,18,4328,17299,1,10000 ,14,0,
77,19,16,65,8,10000 ,15,0,
78,19,22,89,6,10000 ,1,0,
79,19,27,110,7,10000 ,17,0,
80,19,37,150,3,10000 ,15,0,
81,20,18,73,10,10000 ,3,0,
82,20,26,105,1,10000 ,20,0,
83,20,40,163,2,10000 ,11,0,
84,20,1802,7231,5,10000 ,11,0,
85,20,1665,6683,9,10000 ,10,0,
86,21,29,118,7,10000 ,20,0,
87,21,2323,9294,3,10000 ,9,0,
88,21,4136,16529,5,10000 ,16,0,
89,22,19,78,6,10000 ,1,0,
90,22,28,115,5,10000 ,5,0,
91,22,33,135,10,10000 ,11,0,
92,22,2731,10898,5,10000 ,10,0,
93,22,2613,10444,4,10000 ,15,0,
94,23,17,70,6,10000 ,20,0,
95,23,2126,8521,8,10000 ,13,0,
96,23,4663,18658,10,10000 ,14,0,
97,23,3542,14143,9,10000 ,20,0,
98,24,14,57,5,10000 ,20,0,
99,24,46,190,10,10000 ,3,0,
100,24,2696,10762,5,10000 ,3,0,
101,25,14,58,3,10000 ,1,0,
102,25,34,139,3,10000 ,8,0,
103,25,39,158,3,10000 ,3,0,
104,25,45,185,1,10000 ,19,0,
105,26,20,82,1,10000 ,20,0,
106,26,30,123,4,10000 ,1,0,
107,26,32,132,2,10000 ,9,0,
108,26,38,153,5,10000 ,8,0,
109,26,42,171,6,10000 ,5,0,
110,27,19,79,7,10000 ,17,0,
111,27,31,127,8,10000 ,7,0,
112,27,52,212,4,10000 ,7,0,
113,27,1262,5042,5,10000 ,17,0,
114,27,2158,8644,9,10000 ,6,0,
115,28,22,90,5,10000 ,5,0,
116,28,4856,19426,10,10000 ,12,0,
117,28,3175,12673,3,10000 ,16,0,
118,29,21,86,7,10000 ,20,0,
119,29,2258,9028,2,10000 ,18,0,
120,29,3818,15245,10,10000 ,18,0,
121,29,744,2957,7,10000 ,10,0,
122,29,3068,12240,10,10000 ,15,0,
123,30,26,106,4,10000 ,1,0,
124,30,2010,8057,8,10000 ,1,0,
125,30,226,913,7,10000 ,20,0,
126,30,4021,16071,6,10000 ,15,0,
127,31,27,111,8,10000 ,7,0,
128,31,4155,16602,6,10000 ,14,0,
129,31,3864,15432,10,10000 ,11,0,
130,31,3506,13996,8,10000 ,3,0,
131,31,1812,7269,5,10000 ,2,0,
132,32,26,107,2,10000 ,9,0,
133,32,48,196,7,10000 ,10,0,
134,32,3106,12399,4,10000 ,4,0,
135,33,22,91,10,10000 ,11,0,
136,33,35,142,1,10000 ,7,0,
137,33,3144,12553,6,10000 ,5,0,
138,33,2906,11593,5,10000 ,3,0,
139,34,25,102,3,10000 ,8,0,
140,34,36,147,1,10000 ,13,0,
141,34,57,228,2,10000 ,13,0,
142,35,33,136,1,10000 ,7,0,
143,35,47,193,1,10000 ,2,0,
144,35,54,218,3,10000 ,11,0,
145,35,55,221,4,10000 ,14,0,
146,35,59,235,7,10000 ,17,0,
147,36,34,140,1,10000 ,13,0,
148,36,1347,5382,9,10000 ,6,0,
149,36,4236,16927,8,10000 ,5,0,
150,37,19,80,3,10000 ,15,0,
151,37,67,272,7,10000 ,6,0,
152,37,4740,18957,2,10000 ,10,0,
153,38,26,108,5,10000 ,8,0,
154,38,49,201,9,10000 ,6,0,
155,38,894,3561,5,10000 ,19,0,
156,38,4939,19758,9,10000 ,4,0,
157,38,3140,12539,10,10000 ,11,0,
158,39,25,103,3,10000 ,3,0,
159,39,44,181,4,10000 ,2,0,
160,39,53,215,7,10000 ,19,0,
161,39,64,257,1,10000 ,0,0,
162,39,65,262,2,10000 ,8,0,
163,40,20,83,2,10000 ,11,0,
164,40,43,176,7,10000 ,5,0,
165,40,50,204,10,10000 ,14,0,
166,40,68,275,3,10000 ,5,0,
167,40,70,283,4,10000 ,18,0,
168,41,51,207,8,10000 ,6,0,
169,41,76,304,3,10000 ,15,0,
170,41,4083,16314,1,10000 ,19,0,
171,42,26,109,6,10000 ,5,0,
172,42,56,225,6,10000 ,20,0,
173,42,71,287,7,10000 ,16,0,
174,42,1312,5243,7,10000 ,20,0,
175,42,3811,15220,8,10000 ,1,0,
176,43,40,164,7,10000 ,5,0,
177,43,2157,8638,9,10000 ,14,0,
178,43,4890,19563,5,10000 ,15,0,
179,43,4758,19032,4,10000 ,9,0,
180,43,3497,13963,3,10000 ,16,0,
181,44,39,159,4,10000 ,2,0,
182,44,73,294,2,10000 ,7,0,
183,44,694,2759,2,10000 ,1,0,
184,44,2907,11598,4,10000 ,20,0,
185,45,25,104,1,10000 ,19,0,
186,45,74,297,7,10000 ,2,0,
187,45,87,351,1,10000 ,14,0,
188,45,2782,11109,10,10000 ,1,0,
189,45,2510,10035,8,10000 ,8,0,
190,46,24,99,10,10000 ,3,0,
191,46,2905,11587,7,10000 ,10,0,
192,46,3702,14795,8,10000 ,7,0,
193,47,35,143,1,10000 ,2,0,
194,47,69,278,3,10000 ,6,0,
195,47,2852,11371,3,10000 ,17,0,
196,48,32,133,7,10000 ,10,0,
197,48,66,267,2,10000 ,19,0,
198,48,90,364,9,10000 ,20,0,
199,48,3869,15458,5,10000 ,9,0,
200,48,3651,14583,9,10000 ,3,0,
201,49,38,154,9,10000 ,6,0,
202,49,63,254,8,10000 ,10,0,
203,49,96,389,5,10000 ,14,0,
204,50,40,165,10,10000 ,14,0,
205,50,2468,9865,5,10000 ,9,0,
206,50,558,2214,8,10000 ,17,0,
207,51,41,168,8,10000 ,6,0,
208,51,62,250,6,10000 ,15,0,
209,51,342,1363,1,10000 ,15,0,
210,51,1763,7069,8,10000 ,10,0,
211,51,3061,12213,8,10000 ,19,0,
212,52,27,112,4,10000 ,7,0,
213,52,60,240,7,10000 ,3,0,
214,52,4433,17734,10,10000 ,6,0,
215,53,39,160,7,10000 ,19,0,
216,53,99,401,9,10000 ,20,0,
217,53,106,426,6,10000 ,13,0,
218,54,35,144,3,10000 ,11,0,
219,54,1704,6830,4,10000 ,4,0,
220,54,1890,7580,4,10000 ,13,0,
221,55,35,145,4,10000 ,14,0,
222,55,82,331,2,10000 ,9,0,
223,55,89,359,8,10000 ,6,0,
224,55,104,418,6,10000 ,1,0,
225,56,42,172,6,10000 ,20,0,
226,56,3044,12141,4,10000 ,15,0,
227,56,4788,19146,3,10000 ,14,0,
228,57,34,141,2,10000 ,13,0,
229,57,4999,19997,2,10000 ,11,0,
230,57,3603,14388,3,10000 ,0,0,
231,57,539,2138,5,10000 ,18,0,
232,58,1090,4349,1,10000 ,8,0,
233,58,4191,16749,1,10000 ,0,0,
234,58,3777,15088,3,10000 ,20,0,
235,59,35,146,7,10000 ,17,0,
236,59,61,245,1,10000 ,18,0,
237,59,4686,18747,6,10000 ,8,0,
238,59,4868,19474,1,10000 ,12,0,
239,59,4420,17683,6,10000 ,17,0,
240,60,52,213,7,10000 ,3,0,
241,60,102,412,2,10000 ,0,0,
242,60,961,3831,8,10000 ,4,0,
243,60,4217,16847,5,10000 ,6,0,
244,60,4919,19676,8,10000 ,2,0,
245,61,59,236,1,10000 ,18,0,
246,61,123,497,10,10000 ,14,0,
247,61,4296,17172,3,10000 ,2,0,
248,61,2903,11580,9,10000 ,10,0,
249,61,3454,13792,10,10000 ,3,0,
250,62,51,208,6,10000 ,15,0,
251,62,3868,15452,2,10000 ,0,0,
252,62,1976,7928,4,10000 ,6,0,
253,62,3559,14212,9,10000 ,11,0,
254,63,49,202,8,10000 ,10,0,
255,63,1023,4081,10,10000 ,11,0,
256,63,4221,16865,2,10000 ,2,0,
257,64,39,161,1,10000 ,0,0,
258,64,84,339,7,10000 ,16,0,
259,64,4534,18141,8,10000 ,11,0,
260,64,3352,13378,2,10000 ,18,0,
261,64,2498,9981,5,10000 ,10,0,
262,65,39,162,2,10000 ,8,0,
263,65,121,489,5,10000 ,13,0,
264,65,2597,10380,4,10000 ,5,0,
265,65,3433,13705,7,10000 ,11,0,
266,65,3952,15781,4,10000 ,13,0,
267,66,48,197,2,10000 ,19,0,
268,66,80,321,7,10000 ,16,0,
269,66,3168,12646,1,10000 ,16,0,
270,66,482,1924,4,10000 ,7,0,
271,66,1526,6112,2,10000 ,8,0,
272,67,37,151,7,10000 ,6,0,
273,67,77,308,6,10000 ,20,0,
274,67,3409,13604,1,10000 ,20,0,
275,68,40,166,3,10000 ,5,0,
276,68,78,311,7,10000 ,2,0,
277,68,98,397,5,10000 ,16,0,
278,69,47,194,3,10000 ,6,0,
279,69,81,326,10,10000 ,7,0,
280,69,85,344,1,10000 ,4,0,
281,69,1123,4485,2,10000 ,17,0,
282,69,1778,7128,5,10000 ,17,0,
283,70,40,167,4,10000 ,18,0,
284,70,83,336,10,10000 ,2,0,
285,70,118,476,3,10000 ,2,0,
286,70,989,3946,8,10000 ,20,0,
287,71,42,173,7,10000 ,16,0,
288,71,951,3790,9,10000 ,16,0,
289,71,1039,4145,2,10000 ,18,0,
290,71,2324,9300,7,10000 ,14,0,
291,72,79,316,8,10000 ,11,0,
292,72,3698,14777,1,10000 ,3,0,
293,72,4080,16301,2,10000 ,19,0,
294,73,44,182,2,10000 ,7,0,
295,73,3797,15163,5,10000 ,7,0,
296,73,172,690,2,10000 ,9,0,
297,74,45,186,7,10000 ,2,0,
298,74,3850,15378,1,10000 ,1,0,
299,74,2823,11259,5,10000 ,9,0,
300,74,1404,5615,9,10000 ,12,0,
301,75,116,468,9,10000 ,8,0,
302,75,351,1398,6,10000 ,6,0,
303,75,1135,4533,6,10000 ,13,0,
304,76,41,169,3,10000 ,15,0,
305,76,147,592,6,10000 ,1,0,
306,76,1821,7302,9,10000 ,11,0,
307,76,198,803,8,10000 ,11,0,
308,77,67,273,6,10000 ,20,0,
309,77,4325,17287,4,10000 ,0,0,
310,77,3789,15130,5,10000 ,19,0,
311,78,68,276,7,10000 ,2,0,
312,78,86,347,7,10000 ,15,0,
313,78,95,385,7,10000 ,0,0,
314,78,97,392,1,10000 ,5,0,
315,78,108,435,5,10000 ,16,0,
316,79,72,291,8,10000 ,11,0,
317,79,1162,4646,8,10000 ,16,0,
318,79,4487,17957,2,10000 ,9,0,
319,79,2563,10244,3,10000 ,14,0,
320,79,4462,17856,1,10000 ,3,0,
321,80,66,268,7,10000 ,16,0,
322,80,105,422,6,10000 ,1,0,
323,80,111,448,4,10000 ,10,0,
324,80,4053,16199,1,10000 ,5,0,
325,80,2647,10566,10,10000 ,12,0,
326,81,69,279,10,10000 ,7,0,
327,81,93,376,6,10000 ,4,0,
328,81,101,409,1,10000 ,0,0,
329,81,128,514,4,10000 ,18,0,
330,81,143,574,10,10000 ,6,0,
331,82,55,222,2,10000 ,9,0,
332,82,3883,15509,2,10000 ,7,0,
333,82,4841,19365,8,10000 ,14,0,
334,82,4702,18809,8,10000 ,8,0,
335,82,4209,16815,7,10000 ,18,0,
336,83,70,284,10,10000 ,2,0,
337,83,146,588,6,10000 ,12,0,
338,83,1384,5537,3,10000 ,9,0,
339,84,64,258,7,10000 ,16,0,
340,84,94,381,2,10000 ,13,0,
341,84,117,472,6,10000 ,2,0,
342,84,131,526,9,10000 ,12,0,
343,84,166,667,10,10000 ,3,0,
344,85,69,280,1,10000 ,4,0,
345,85,4466,17870,4,10000 ,17,0,
346,85,2714,10834,8,10000 ,17,0,
347,86,78,312,7,10000 ,15,0,
348,86,100,405,2,10000 ,9,0,
349,86,133,534,6,10000 ,5,0,
350,86,615,2449,2,10000 ,10,0,
351,87,45,187,1,10000 ,14,0,
352,87,119,481,1,10000 ,17,0,
353,87,173,692,8,10000 ,10,0,
354,87,1124,4489,8,10000 ,12,0,
355,87,2166,8672,10,10000 ,12,0,
356,88,115,463,4,10000 ,4,0,
357,88,157,629,1,10000 ,7,0,
358,88,158,634,8,10000 ,12,0,
359,89,55,223,8,10000 ,6,0,
360,89,137,552,1,10000 ,9,0,
361,89,3282,13095,7,10000 ,11,0,
362,89,2928,11680,3,10000 ,9,0,
363,89,206,832,5,10000 ,2,0,
364,90,48,198,9,10000 ,20,0,
365,90,127,510,5,10000 ,13,0,
366,90,2025,8120,1,10000 ,20,0,
367,90,734,2918,9,10000 ,7,0,
368,91,92,371,1,10000 ,15,0,
369,91,126,507,2,10000 ,19,0,
370,91,136,548,5,10000 ,15,0,
371,92,91,368,1,10000 ,15,0,
372,92,107,430,7,10000 ,1,0,
373,92,162,651,8,10000 ,20,0,
374,92,3349,13367,10,10000 ,6,0,
375,92,3378,13482,9,10000 ,1,0,
376,93,81,327,6,10000 ,4,0,
377,93,135,543,5,10000 ,6,0,
378,93,2901,11569,8,10000 ,15,0,
379,93,1318,5269,7,10000 ,20,0,
380,93,800,3174,7,10000 ,15,0,
381,94,84,340,2,10000 ,13,0,
382,94,110,444,4,10000 ,1,0,
383,94,18,74,1,10000 ,20,0,
384,94,3335,13311,2,10000 ,16,0,
385,95,78,313,7,10000 ,0,0,
386,95,114,460,1,10000 ,12,0,
387,95,1395,5580,5,10000 ,12,0,
388,95,821,3263,2,10000 ,11,0,
389,96,49,203,5,10000 ,14,0,
390,96,4800,19194,4,10000 ,13,0,
391,96,3553,14186,9,10000 ,17,0,
392,97,78,314,1,10000 ,5,0,
393,97,103,415,3,10000 ,3,0,
394,97,145,583,6,10000 ,18,0,
395,97,2817,11240,2,10000 ,0,0,
396,97,3956,15799,8,10000 ,18,0,
397,98,68,277,5,10000 ,16,0,
398,98,113,455,2,10000 ,2,0,
399,98,130,522,1,10000 ,4,0,
400,98,151,609,2,10000 ,11,0,
401,99,53,216,9,10000 ,20,0,
402,99,139,559,2,10000 ,11,0,
403,99,144,578,2,10000 ,1,0,
404,99,357,1426,7,10000 ,8,0,
405,100,86,348,2,10000 ,9,0,
406,100,109,439,1,10000 ,16,0,
407,100,3862,15425,9,10000 ,11,0,
408,100,334,1328,5,10000 ,17,0,
409,101,81,328,1,10000 ,0,0,
410,101,682,2712,6,10000 ,0,0,
411,101,349,1391,9,10000 ,17,0,
412,102,60,241,2,10000 ,0,0,
413,102,2363,9452,9,10000 ,6,0,
414,102,3489,13932,3,10000 ,10,0,
415,103,97,393,3,10000 ,3,0,
416,103,153,616,3,10000 ,6,0,
417,103,187,749,7,10000 ,6,0,
418,104,55,224,6,10000 ,1,0,
419,104,122,493,4,10000 ,6,0,
420,104,132,530,7,10000 ,13,0,
421,104,3292,13139,9,10000 ,13,0,
422,105,80,322,6,10000 ,1,0,
423,105,120,485,8,10000 ,7,0,
424,105,181,723,4,10000 ,19,0,
425,105,182,728,9,10000 ,16,0,
426,106,53,217,6,10000 ,13,0,
427,106,4928,19711,2,10000 ,10,0,
428,106,1064,4242,8,10000 ,17,0,
429,106,615,2450,7,10000 ,7,0,
430,107,92,372,7,10000 ,1,0,
431,107,159,638,7,10000 ,1,0,
432,107,169,677,8,10000 ,16,0,
433,107,177,708,2,10000 ,19,0,
434,107,215,865,8,10000 ,19,0,
435,108,78,315,5,10000 ,16,0,
436,108,217,873,3,10000 ,17,0,
437,108,3843,15352,5,10000 ,2,0,
438,108,4145,16564,3,10000 ,13,0,
439,109,100,406,1,10000 ,16,0,
440,109,152,612,4,10000 ,13,0,
441,109,2610,10432,6,10000 ,12,0,
442,109,1372,5491,2,10000 ,9,0,
443,109,3616,14437,6,10000 ,18,0,
444,110,94,382,4,10000 ,1,0,
445,110,112,452,9,10000 ,19,0,
446,110,165,663,7,10000 ,19,0,
447,110,1820,7298,1,10000 ,4,0,
448,111,80,323,4,10000 ,10,0,
449,111,779,3091,8,10000 ,14,0,
450,111,649,2586,9,10000 ,18,0,
451,111,1793,7195,5,10000 ,14,0,
452,112,110,445,9,10000 ,19,0,
453,112,163,655,2,10000 ,19,0,
454,112,4329,17302,9,10000 ,1,0,
455,113,98,398,2,10000 ,2,0,
456,113,218,878,10,10000 ,8,0,
457,113,3755,15006,9,10000 ,18,0,
458,113,4352,17397,6,10000 ,16,0,
459,113,3606,14400,1,10000 ,1,0,
460,114,95,386,1,10000 ,12,0,
461,114,3827,15285,8,10000 ,15,0,
462,114,4838,19352,8,10000 ,1,0,
463,115,88,356,4,10000 ,4,0,
464,115,1371,5486,9,10000 ,18,0,
465,115,4840,19360,9,10000 ,16,0,
466,115,3516,14036,3,10000 ,3,0,
467,115,4428,17714,8,10000 ,11,0,
468,116,75,301,9,10000 ,8,0,
469,116,1235,4935,3,10000 ,17,0,
470,116,2504,10005,2,10000 ,1,0,
471,116,1434,5735,5,10000 ,14,0,
472,117,84,341,6,10000 ,2,0,
473,117,3891,15537,4,10000 ,16,0,
474,117,3165,12633,2,10000 ,18,0,
475,117,1069,4266,7,10000 ,20,0,
476,118,70,285,3,10000 ,2,0,
477,118,236,952,9,10000 ,10,0,
478,118,4553,18216,1,10000 ,7,0,
479,118,2099,8419,2,10000 ,17,0,
480,118,606,2409,5,10000 ,15,0,
481,119,87,352,1,10000 ,17,0,
482,119,176,704,4,10000 ,16,0,
483,119,3542,14142,2,10000 ,5,0,
484,119,723,2878,6,10000 ,13,0,
485,120,105,423,8,10000 ,7,0,
486,120,150,604,3,10000 ,15,0,
487,120,211,851,5,10000 ,5,0,
488,120,905,3606,5,10000 ,12,0,
489,121,65,263,5,10000 ,13,0,
490,121,140,562,9,10000 ,5,0,
491,121,154,619,4,10000 ,5,0,
492,121,179,715,4,10000 ,13,0,
493,122,104,419,4,10000 ,6,0,
494,122,2790,11137,10,10000 ,16,0,
495,122,4078,16290,5,10000 ,1,0,
496,122,4673,18703,6,10000 ,5,0,
497,123,61,246,10,10000 ,14,0,
498,123,129,519,3,10000 ,18,0,
499,123,810,3215,4,10000 ,0,0,
500,123,3519,14048,1,10000 ,7,0,
501,124,214,862,9,10000 ,11,0,
502,124,4520,18086,10,10000 ,16,0,
503,124,3233,12902,9,10000 ,0,0,
504,125,134,538,7,10000 ,3,0,
505,125,209,842,2,10000 ,16,0,
506,125,2024,8116,8,10000 ,7,0,
507,126,91,369,2,10000 ,19,0,
508,126,160,642,3,10000 ,6,0,
509,126,174,695,8,10000 ,10,0,
510,127,90,365,5,10000 ,13,0,
511,127,194,781,4,10000 ,16,0,
512,127,257,1031,2,10000 ,14,0,
513,127,262,1052,10,10000 ,12,0,
514,128,81,329,4,10000 ,18,0,
515,128,141,566,3,10000 ,11,0,
516,128,180,719,1,10000 ,10,0,
517,128,3536,14120,8,10000 ,8,0,
518,128,2368,9472,6,10000 ,12,0,
519,129,123,498,3,10000 ,18,0,
520,129,148,596,4,10000 ,1,0,
521,129,286,1141,10,10000 ,10,0,
522,130,98,399,1,10000 ,4,0,
523,130,244,982,6,10000 ,15,0,
524,130,1613,6461,7,10000 ,17,0,
525,130,1,7,2,10000 ,3,0,
526,131,84,342,9,10000 ,12,0,
527,131,164,660,10,10000 ,15,0,
528,131,224,902,6,10000 ,0,0,
529,131,230,928,5,10000 ,3,0,
530,132,104,420,7,10000 ,13,0,
531,132,170,681,7,10000 ,20,0,
532,132,578,2291,1,10000 ,4,0,
533,132,3685,14721,5,10000 ,15,0,
534,133,86,349,6,10000 ,5,0,
535,133,248,996,2,10000 ,11,0,
536,133,2724,10872,5,10000 ,6,0,
537,133,4438,17755,5,10000 ,11,0,
538,134,125,504,7,10000 ,3,0,
539,134,156,626,9,10000 ,6,0,
540,134,161,646,8,10000 ,18,0,
541,134,193,777,3,10000 ,12,0,
542,134,206,829,9,10000 ,1,0,
543,135,93,377,5,10000 ,6,0,
544,135,175,700,8,10000 ,2,0,
545,135,1623,6500,2,10000 ,17,0,
546,135,4164,16642,5,10000 ,20,0,
547,135,2374,9493,2,10000 ,3,0,
548,136,91,370,5,10000 ,15,0,
549,136,242,974,5,10000 ,1,0,
550,136,3136,12524,7,10000 ,5,0,
551,136,1877,7525,6,10000 ,9,0,
552,137,89,360,1,10000 ,9,0,
553,137,4806,19220,9,10000 ,11,0,
554,137,4586,18348,6,10000 ,0,0,
555,137,1008,4026,5,10000 ,6,0,
556,138,234,944,4,10000 ,5,0,
557,138,237,955,7,10000 ,2,0,
558,138,2744,10953,9,10000 ,12,0,
559,139,99,402,2,10000 ,11,0,
560,139,3783,15106,3,10000 ,8,0,
561,139,1476,5913,8,10000 ,5,0,
562,140,121,490,9,10000 ,5,0,
563,140,149,599,1,10000 ,0,0,
564,140,155,623,1,10000 ,3,0,
565,140,207,833,4,10000 ,2,0,
566,141,128,515,3,10000 ,11,0,
567,141,142,571,1,10000 ,2,0,
568,141,253,1014,1,10000 ,12,0,
569,141,4086,16327,8,10000 ,3,0,
570,141,4271,17073,8,10000 ,13,0,
571,142,141,567,1,10000 ,2,0,
572,142,3727,14894,1,10000 ,19,0,
573,142,2941,11735,6,10000 ,1,0,
574,143,81,330,10,10000 ,6,0,
575,143,208,838,5,10000 ,12,0,
576,143,3438,13724,7,10000 ,18,0,
577,143,3519,14049,6,10000 ,9,0,
578,144,99,403,2,10000 ,1,0,
579,144,171,684,1,10000 ,14,0,
580,144,263,1054,8,10000 ,10,0,
581,144,267,1069,3,10000 ,14,0,
582,144,278,1111,4,10000 ,16,0,
583,145,97,394,6,10000 ,18,0,
584,145,4846,19386,3,10000 ,16,0,
585,145,3810,15214,8,10000 ,3,0,
586,145,3053,12179,6,10000 ,10,0,
587,145,4259,17023,4,10000 ,4,0,
588,146,83,337,6,10000 ,12,0,
589,146,286,1140,7,10000 ,9,0,
590,146,2275,9096,8,10000 ,5,0,
591,146,4445,17786,3,10000 ,1,0,
592,147,76,305,6,10000 ,1,0,
593,147,261,1046,3,10000 ,13,0,
594,147,282,1124,10,10000 ,7,0,
595,147,4089,16339,8,10000 ,8,0,
596,148,129,520,4,10000 ,1,0,
597,148,225,907,7,10000 ,17,0,
598,148,4187,16736,1,10000 ,16,0,
599,149,140,563,1,10000 ,0,0,
600,149,203,818,8,10000 ,5,0,
601,149,2123,8510,5,10000 ,11,0,
602,149,4902,19612,7,10000 ,9,0,
603,149,3117,12444,5,10000 ,12,0,
604,150,120,486,3,10000 ,15,0,
605,150,168,674,4,10000 ,5,0,
606,150,199,804,8,10000 ,3,0,
607,150,220,887,6,10000 ,11,0,
608,150,245,985,2,10000 ,5,0,
609,151,98,400,2,10000 ,11,0,
610,151,255,1023,9,10000 ,9,0,
611,151,433,1736,9,10000 ,14,0,
612,152,109,440,4,10000 ,13,0,
613,152,235,948,7,10000 ,14,0,
614,152,4558,18240,10,10000 ,20,0,
615,152,3935,15712,6,10000 ,5,0,
616,153,103,416,3,10000 ,6,0,
617,153,252,1011,5,10000 ,10,0,
618,153,303,1199,5,10000 ,15,0,
619,154,121,491,4,10000 ,5,0,
620,154,251,1008,1,10000 ,4,0,
621,154,4206,16803,8,10000 ,2,0,
622,154,2083,8356,1,10000 ,20,0,
623,155,140,564,1,10000 ,3,0,
624,155,213,858,7,10000 ,4,0,
625,155,775,3074,9,10000 ,14,0,
626,156,134,539,9,10000 ,6,0,
627,156,3173,12662,10,10000 ,14,0,
628,156,3218,12843,3,10000 ,4,0,
629,157,88,357,1,10000 ,7,0,
630,157,3575,14275,6,10000 ,2,0,
631,157,4836,19342,3,10000 ,16,0,
632,157,3641,14543,4,10000 ,16,0,
633,157,2499,9985,8,10000 ,2,0,
634,158,88,358,8,10000 ,12,0,
635,158,227,916,9,10000 ,14,0,
636,158,262,1049,4,10000 ,20,0,
637,158,293,1163,8,10000 ,13,0,
638,159,107,431,7,10000 ,1,0,
639,159,222,893,6,10000 ,5,0,
640,159,4107,16415,2,10000 ,3,0,
641,159,2808,11211,2,10000 ,17,0,
642,160,126,508,3,10000 ,6,0,
643,160,183,732,2,10000 ,9,0,
644,160,1075,4286,6,10000 ,7,0,
645,160,2897,11552,10,10000 ,17,0,
646,161,134,540,8,10000 ,18,0,
647,161,3684,14713,7,10000 ,10,0,
