demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
417,3236,4372,61.5,69.0,10,1,2.5,0,22
616,951,3105,64.6,70.0,10,1,1.8,0,29
1080,4354,3574,54.8,63.2,10,1,4.2,0,34
540,3986,186,57.2,62.6,10,1,1.8,0,31
40,1969,1698,65.2,71.2,10,1,2.0,0,34
219,2697,3307,39.0,66.0,10,1,9.0,0,30
152,3891,3012,70.6,73.0,10,1,0.8,0,37
1107,1533,4767,68.7,82.8,10,1,7.05,0,43
539,1141,1145,43.4,81.2,10,1,12.6,0,40
786,2876,1608,63.7,77.8,10,1,7.05,0,33
435,1239,630,41.1,79.35,10,1,12.75,0,41
154,4319,1629,60.6,63.3,10,1,0.9,0,31
128,320,3659,60.7,72.4,10,1,3.9,0,38
65,2520,4400,61.2,72.6,10,1,3.8,0,33
500,1421,4515,74.6,77.45,10,1,0.95,0,39
195,86,507,52.3,68.05,10,1,5.25,0,34
483,2342,2117,56.5,72.25,10,1,5.25,0,30
564,3650,232,65.1,72.15,10,1,2.35,0,35
978,128,4427,64.2,76.8,10,1,6.3,0,36
91,2207,4973,52.6,69.4,10,1,5.6,0,46
64,2730,4226,53.7,81.9,10,1,9.4,0,43
109,767,2619,70.8,79.2,10,1,2.8,0,36
1051,2725,4311,211.0,229.0,10,1,9.0,0,42
380,1640,4388,48.5,62.0,10,1,4.5,0,28
805,86,507,191.2,205.0,10,1,6.9,0,44
101,3578,896,40.5,60.75,10,1,6.75,0,36
2,4353,4646,74.0,77.0,10,1,1.0,0,43
41,1703,3386,56.3,69.2,10,1,4.3,0,40
341,620,3773,62.3,75.2,10,1,4.3,0,42
484,1954,1837,49.1,64.4,10,1,5.1,0,18
82,3859,4298,72.2,80.3,10,1,2.7,0,45
456,2511,2450,63.6,76.65,10,1,4.35,0,31
450,319,3085,59.2,75.7,10,1,5.5,0,49
618,3379,4578,47.1,65.7,10,1,6.2,0,43
460,1671,726,64.5,75.6,10,1,3.7,0,50
624,3577,560,48.9,70.95,10,1,7.35,0,32
14,4522,2341,60.2,71.0,10,1,3.6,0,42
393,3550,3926,88.8,93.75,10,1,1.65,0,45
820,1413,2946,183.3,195.6,10,1,6.15,0,47
1014,2656,450,229.6,248.2,10,1,9.3,0,49
200,68,2518,64.4,74.0,10,1,3.2,0,43
361,3419,57,48.6,74.4,10,1,8.6,0,40
189,2014,232,68.7,74.55,10,1,1.95,0,38
382,4198,800,61.9,72.25,10,1,3.45,0,46
446,4763,3414,53.6,63.5,10,1,3.3,0,45
1031,4485,4857,75.3,87.6,10,1,6.15,0,43
630,1355,4553,46.5,75.0,10,1,9.5,0,44
773,3578,896,156.6,167.4,10,1,5.4,0,40
940,3030,2063,61.0,73.0,10,1,6.0,0,44
586,4037,3012,74.8,85.6,10,1,3.6,0,45
35,1753,6,55.1,73.7,10,1,6.2,0,31
910,3512,2074,191.0,206.6,10,1,7.8,0,45
83,4359,2715,76.3,86.05,10,1,3.25,0,40
319,4436,3337,74.6,84.2,10,1,3.2,0,41
653,1625,750,181.2,195.6,10,1,7.2,0,45
369,3419,3267,63.4,77.8,10,1,4.8,0,51
899,2410,1274,201.6,218.4,10,1,8.4,0,43
852,2102,3088,208.7,222.8,10,1,7.05,0,43
997,2832,4406,159.9,172.2,10,1,6.15,0,48
187,2699,679,68.6,75.95,10,1,2.45,0,50
110,2699,679,53.9,75.95,10,1,7.35,0,50
