hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
210,1362,2070,149.2,156.4,10,1,0,0,19666,5,36,36
210001,1362,2070,36,36,10,1,0,0,19666,3,36,36
210002,1362,2070,36,36,10,1,0,0,19666,5,36,36
165,395,2011,188.6,198.2,10,1,0,0,37998,5,59,48
165001,395,2011,50.75,56.25,10,1,0,0,37998,3,59,48
165002,395,2011,61.75,67.25,10,1,0,0,37998,5,59,48
109,142,1998,149,155,10,1,0,0,15500,5,30,30
109001,142,1998,30,30,10,1,0,0,15500,3,30,30
109002,142,1998,30,30,10,1,0,0,15500,5,30,30
148,1358,2014,158.9,166.3,10,1,0,0,17000,5,59,37
148001,1358,2014,42.5,53.5,10,1,0,0,17000,3,59,37
148002,1358,2014,64.5,75.5,10,1,0,0,17000,5,59,37
117,837,2047,172.8,181.6,10,1,0,0,32832,5,52,44
117001,837,2047,46,50,10,1,0,0,32832,3,52,44
117002,837,2047,54,58,10,1,0,0,32832,5,52,44
205,1951,2056,196.9,206.3,10,1,0,0,25666,5,70,47
205001,1951,2056,52.75,64.25,10,1,0,0,25666,3,70,47
205002,1951,2056,75.75,87.25,10,1,0,0,25666,5,70,47
212,1691,2056,205.1,215.7,10,1,0,0,31832,5,76,53
212001,1691,2056,58.75,70.25,10,1,0,0,31832,3,76,53
212002,1691,2056,81.75,93.25,10,1,0,0,31832,5,76,53
152,17,1998,188.6,198.2,10,1,0,0,27166,5,63,48
152001,17,1998,51.75,59.25,10,1,0,0,27166,3,63,48
152002,17,1998,66.75,74.25,10,1,0,0,27166,5,63,48
96,1798,2011,181.6,189.2,10,1,0,0,31332,5,79,38
96001,1798,2011,48.25,68.75,10,1,0,0,31332,3,79,38
96002,1798,2011,89.25,109.75,10,1,0,0,31332,5,79,38
192,1557,2003,188.3,198.1,10,1,0,0,19500,5,56,49
192001,1557,2003,50.75,54.25,10,1,0,0,19500,3,56,49
192002,1557,2003,57.75,61.25,10,1,0,0,19500,5,56,49
92,12,2006,181.2,190.4,10,1,0,0,36498,5,57,46
92001,12,2006,48.75,54.25,10,1,0,0,36498,3,57,46
92002,12,2006,59.75,65.25,10,1,0,0,36498,5,57,46
207,458,2063,191,201,10,1,0,0,27666,5,66,50
207001,458,2063,54,62,10,1,0,0,27666,3,66,50
207002,458,2063,70,78,10,1,0,0,27666,5,66,50
132,369,2023,185.8,194.6,10,1,0,0,26166,5,67,44
132001,369,2023,49.75,61.25,10,1,0,0,26166,3,67,44
132002,369,2023,72.75,84.25,10,1,0,0,26166,5,67,44
90,682,2042,198.9,208.3,10,1,0,0,26166,5,69,47
90001,682,2042,52.5,63.5,10,1,0,0,26166,3,69,47
90002,682,2042,74.5,85.5,10,1,0,0,26166,5,69,47
186,206,1998,193.4,201.8,10,1,0,0,25666,5,42,42
186001,206,1998,42,42,10,1,0,0,25666,3,42,42
186002,206,1998,42,42,10,1,0,0,25666,5,42,42
95,1800,2003,158.8,165.6,10,1,0,0,18000,5,64,34
95001,1800,2003,41.5,56.5,10,1,0,0,18000,3,64,34
95002,1800,2003,71.5,86.5,10,1,0,0,18000,5,64,34
77,1816,2040,199.7,209.9,10,1,0,0,26166,5,51,51
77001,1816,2040,51,51,10,1,0,0,26166,3,51,51
77002,1816,2040,51,51,10,1,0,0,26166,5,51,51
125,1124,2036,210.5,221.5,10,1,0,0,28166,5,62,55
125001,1124,2036,56.75,60.25,10,1,0,0,28166,3,62,55
125002,1124,2036,63.75,67.25,10,1,0,0,28166,5,62,55
78,1463,2042,221.6,233.2,10,1,0,0,31832,5,65,58
78001,1463,2042,59.75,63.25,10,1,0,0,31832,3,65,58
78002,1463,2042,66.75,70.25,10,1,0,0,31832,5,65,58
167,603,2035,184.6,194.2,10,1,0,0,19500,5,55,48
167001,603,2035,49.75,53.25,10,1,0,0,19500,3,55,48
167002,603,2035,56.75,60.25,10,1,0,0,19500,5,55,48
98,1727,1991,203.7,213.9,10,1,0,0,29666,5,66,51
98001,1727,1991,54.75,62.25,10,1,0,0,29666,3,66,51
98002,1727,1991,69.75,77.25,10,1,0,0,29666,5,66,51
197,1044,2072,230.2,241.4,10,1,0,0,27666,5,70,56
197001,1044,2072,59.5,66.5,10,1,0,0,27666,3,70,56
197002,1044,2072,73.5,80.5,10,1,0,0,27666,5,70,56
123,912,2019,212.8,223.6,10,1,0,0,28166,5,67,54
123001,912,2019,57.25,63.75,10,1,0,0,28166,3,67,54
123002,912,2019,70.25,76.75,10,1,0,0,28166,5,67,54
200,274,2061,209.5,220.5,10,1,0,0,31832,5,61,55
200001,274,2061,56.5,59.5,10,1,0,0,31832,3,61,55
200002,274,2061,62.5,65.5,10,1,0,0,31832,5,61,55
164,401,2034,250.6,262.2,10,1,0,0,30832,5,95,58
164001,401,2034,67.25,85.75,10,1,0,0,30832,3,95,58
164002,401,2034,104.25,122.75,10,1,0,0,30832,5,95,58
68,445,2022,190.1,198.7,10,1,0,0,22500,5,66,43
68001,445,2022,48.75,60.25,10,1,0,0,22500,3,66,43
68002,445,2022,71.75,83.25,10,1,0,0,22500,5,66,43
141,910,2043,235.8,246.6,10,1,0,0,23500,5,90,54
141001,910,2043,63,81,10,1,0,0,23500,3,90,54
141002,910,2043,99,117,10,1,0,0,23500,5,90,54
178,719,2049,193.3,203.1,10,1,0,0,21500,5,61,49
178001,719,2049,52,58,10,1,0,0,21500,3,61,49
178002,719,2049,64,70,10,1,0,0,21500,5,61,49
61,730,1986,206.3,216.1,10,1,0,0,26666,5,59,49
61001,730,1986,51.5,56.5,10,1,0,0,26666,3,59,49
61002,730,1986,61.5,66.5,10,1,0,0,26666,5,59,49
140,1031,1997,214.8,225.6,10,1,0,0,24500,5,68,54
140001,1031,1997,57.5,64.5,10,1,0,0,24500,3,68,54
