demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
59,763,1996,206.4,216.8,10,1,0,0,35498
99,1582,2080,172.1,180.7,10,1,0,0,22166
96,1327,2076,173.5,182.5,10,1,0,0,18000
87,1346,2014,168.1,176.7,10,1,0,0,17000
97,1013,2075,189.2,198.4,10,1,0,0,29832
50,854,1998,216.9,228.3,10,1,0,0,27166
49,1022,2005,211.8,222.6,10,1,0,0,19000
67,1385,2010,204.7,214.9,10,1,0,0,36498
47,581,2012,233.3,245.1,10,1,0,0,49164
40,1207,2036,200.4,210.8,10,1,0,0,21500
73,998,2061,203.4,213.8,10,1,0,0,25666
55,1015,1994,208.7,218.9,10,1,0,0,45664
91,1322,2067,208.1,218.7,10,1,0,0,36498
77,934,2025,219.5,230.5,10,1,0,0,38998
92,1703,2070,237.3,249.1,10,1,0,0,40998
85,737,2013,258.9,272.3,10,1,0,0,36832
52,1318,2043,193.0,203.0,10,1,0,0,26166
46,1566,2063,235.6,247.2,10,1,0,0,28500
78,306,2049,232.5,243.5,10,1,0,0,39498
88,1888,2059,246.4,258.8,10,1,0,0,28500
60,869,2038,250.5,263.5,10,1,0,0,24500
95,1594,2079,253.5,266.5,10,1,0,0,41998
62,1287,2002,228.0,240.0,10,1,0,0,31666
57,1323,2061,228.2,239.4,10,1,0,0,34332
37,1625,2025,261.5,274.5,10,1,0,0,41332
81,604,2025,231.7,243.9,10,1,0,0,34332
89,603,2002,223.6,235.2,10,1,0,0,30666
45,1322,2006,237.7,249.9,10,1,0,0,41498
65,66,2029,232.3,244.1,10,1,0,0,23500
44,1578,2036,261.2,274.4,10,1,0,0,45332
58,675,2022,252.4,264.8,10,1,0,0,30666
61,1700,2062,257.9,271.3,10,1,0,0,26000
72,482,2004,274.4,288.8,10,1,0,0,64830
71,87,2017,240.4,252.8,10,1,0,0,27000
54,660,2026,255.9,269.3,10,1,0,0,24500
94,158,2076,254.9,268.3,10,1,0,0,37832
98,1894,2080,268.3,282.1,10,1,0,0,54664
83,728,2025,265.0,279.0,10,1,0,0,34166
48,1559,2012,257.2,270.4,10,1,0,0,45998
42,1699,1999,258.6,272.2,10,1,0,0,37332
69,524,2023,273.0,287.0,10,1,0,0,28000
39,930,2041,298.6,314.2,10,1,0,0,41832
79,401,2031,265.6,279.2,10,1,0,0,28000
70,507,2033,288.2,303.4,10,1,0,0,38832
43,977,2048,286.8,301.6,10,1,0,0,42666
51,1905,1994,333.7,349.9,10,1,0,0,54498
56,784,2051,311.4,325.8,10,1,0,0,49998
82,84,2015,277.0,291.0,10,1,0,0,41332
76,991,2040,293.8,308.6,10,1,0,0,37666
41,1426,2039,381.2,400.4,10,1,0,0,75996
