LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,7,0,6666,15000,11,0,
1,0,444,0,2500,40000,7,0,
2,1,2,0,6666,15000,10,0,
3,1,450,0,2500,40000,16,0,
4,2,1,0,6666,15000,4,0,
5,2,3,0,6666,15000,5,0,
6,3,2,0,6666,15000,8,0,
7,3,4,0,6666,15000,2,0,
8,4,3,0,6666,15000,17,0,
9,4,5,0,6666,15000,18,0,
10,5,4,0,6666,15000,8,0,
11,5,6,0,6666,15000,12,0,
12,6,5,0,6666,15000,17,0,
13,6,7,0,6666,15000,9,0,
14,7,6,0,6666,15000,1,0,
15,7,0,0,6666,15000,16,0,
16,7,8,0,6666,15000,5,0,
17,8,9,0,6666,15000,19,0,
18,8,7,0,6666,15000,10,0,
19,9,8,0,6666,15000,3,0,
20,9,10,0,6666,15000,1,0,
21,10,9,0,6666,15000,17,0,
22,10,11,0,6666,15000,16,0,
23,11,10,0,6666,15000,4,0,
24,11,12,0,6666,15000,4,0,
25,12,11,0,6666,15000,16,0,
26,12,13,0,6666,15000,16,0,
27,13,12,0,6666,15000,12,0,
28,13,14,0,6666,15000,9,0,
29,14,13,0,6666,15000,1,0,
30,15,26,0,6666,15000,2,0,
31,15,447,0,2500,40000,12,0,
32,16,17,0,6666,15000,11,0,
33,16,447,0,2500,40000,11,0,
34,17,16,0,6666,15000,16,0,
35,17,18,0,6666,15000,13,0,
36,18,17,0,6666,15000,11,0,
37,18,19,0,6666,15000,5,0,
38,19,18,0,6666,15000,9,0,
39,19,20,0,6666,15000,1,0,
40,20,19,0,6666,15000,3,0,
41,20,21,0,6666,15000,19,0,
42,21,20,0,6666,15000,11,0,
43,21,22,0,6666,15000,1,0,
44,22,21,0,6666,15000,6,0,
45,22,23,0,6666,15000,19,0,
46,23,22,0,6666,15000,4,0,
47,23,24,0,6666,15000,15,0,
48,24,23,0,6666,15000,9,0,
49,24,25,0,6666,15000,15,0,
50,25,24,0,6666,15000,19,0,
51,25,26,0,6666,15000,15,0,
52,26,25,0,6666,15000,17,0,
53,26,15,0,6666,15000,5,0,
54,27,36,0,6666,15000,13,0,
55,27,447,0,2500,40000,9,0,
56,28,29,0,6666,15000,2,0,
57,28,447,0,2500,40000,9,0,
58,29,28,0,6666,15000,4,0,
59,29,30,0,6666,15000,13,0,
60,30,29,0,6666,15000,8,0,
61,30,31,0,6666,15000,1,0,
62,31,30,0,6666,15000,14,0,
63,31,32,0,6666,15000,3,0,
64,32,31,0,6666,15000,17,0,
65,32,33,0,6666,15000,6,0,
66,33,32,0,6666,15000,7,0,
67,33,34,0,6666,15000,3,0,
68,34,33,0,6666,15000,18,0,
69,34,35,0,6666,15000,8,0,
70,35,34,0,6666,15000,11,0,
71,35,36,0,6666,15000,15,0,
72,36,35,0,6666,15000,13,0,
73,36,27,0,6666,15000,17,0,
74,37,47,0,6666,15000,13,0,
75,37,447,0,2500,40000,3,0,
76,38,39,0,6666,15000,8,0,
77,38,447,0,2500,40000,14,0,
78,39,38,0,6666,15000,1,0,
79,39,40,0,6666,15000,1,0,
80,40,39,0,6666,15000,17,0,
81,40,41,0,6666,15000,10,0,
82,41,40,0,6666,15000,2,0,
83,41,42,0,6666,15000,4,0,
84,42,41,0,6666,15000,6,0,
85,42,43,0,6666,15000,15,0,
86,43,42,0,6666,15000,2,0,
87,43,44,0,6666,15000,15,0,
88,44,43,0,6666,15000,10,0,
89,44,45,0,6666,15000,8,0,
90,45,44,0,6666,15000,14,0,
91,45,46,0,6666,15000,18,0,
92,46,45,0,6666,15000,18,0,
93,46,47,0,6666,15000,15,0,
94,47,46,0,6666,15000,14,0,
95,47,37,0,6666,15000,10,0,
96,48,62,0,6666,15000,17,0,
97,48,446,0,2500,40000,4,0,
98,49,50,0,6666,15000,18,0,
99,49,451,0,2500,40000,8,0,
100,50,49,0,6666,15000,7,0,
101,50,51,0,6666,15000,5,0,
102,51,50,0,6666,15000,9,0,
103,51,52,0,6666,15000,12,0,
104,52,51,0,6666,15000,4,0,
105,52,53,0,6666,15000,12,0,
106,53,52,0,6666,15000,2,0,
107,53,54,0,6666,15000,17,0,
108,54,53,0,6666,15000,14,0,
109,54,55,0,6666,15000,16,0,
110,55,54,0,6666,15000,18,0,
111,55,56,0,6666,15000,11,0,
112,56,55,0,6666,15000,19,0,
113,56,57,0,6666,15000,19,0,
114,57,56,0,6666,15000,17,0,
115,57,58,0,6666,15000,11,0,
116,58,57,0,6666,15000,12,0,
117,58,59,0,6666,15000,7,0,
118,59,58,0,6666,15000,13,0,
119,59,60,0,6666,15000,6,0,
120,60,59,0,6666,15000,19,0,
121,60,61,0,6666,15000,15,0,
122,61,60,0,6666,15000,16,0,
123,61,62,0,6666,15000,13,0,
124,62,61,0,6666,15000,3,0,
125,62,48,0,6666,15000,3,0,
126,63,74,0,6666,15000,18,0,
127,63,445,0,2500,40000,18,0,
128,64,65,0,6666,15000,5,0,
129,64,450,0,2500,40000,16,0,
130,65,64,0,6666,15000,19,0,
131,65,66,0,6666,15000,15,0,
132,66,65,0,6666,15000,2,0,
133,66,67,0,6666,15000,8,0,
134,67,66,0,6666,15000,4,0,
135,67,68,0,6666,15000,18,0,
136,68,67,0,6666,15000,17,0,
137,68,69,0,6666,15000,6,0,
138,69,68,0,6666,15000,6,0,
139,69,70,0,6666,15000,14,0,
140,70,69,0,6666,15000,16,0,
141,70,71,0,6666,15000,5,0,
142,71,70,0,6666,15000,4,0,
143,71,72,0,6666,15000,6,0,
144,72,71,0,6666,15000,18,0,
145,72,73,0,6666,15000,13,0,
146,73,72,0,6666,15000,14,0,
147,73,74,0,6666,15000,16,0,
148,74,73,0,6666,15000,10,0,
149,74,63,0,6666,15000,4,0,
150,75,82,0,6666,15000,2,0,
151,75,88,0,6666,15000,7,0,
152,75,444,0,2500,40000,15,0,
153,76,77,0,6666,15000,11,0,
154,76,451,0,2500,40000,14,0,
155,77,76,0,6666,15000,3,0,
156,77,78,0,6666,15000,4,0,
157,78,77,0,6666,15000,15,0,
158,78,79,0,6666,15000,9,0,
159,79,78,0,6666,15000,10,0,
160,79,80,0,6666,15000,12,0,
161,80,79,0,6666,15000,3,0,
162,80,81,0,6666,15000,16,0,
163,81,80,0,6666,15000,9,0,
164,81,88,0,6666,15000,2,0,
165,82,83,0,6666,15000,2,0,
166,82,75,0,6666,15000,4,0,
167,83,82,0,6666,15000,10,0,
168,83,84,0,6666,15000,5,0,
169,84,83,0,6666,15000,15,0,
170,84,85,0,6666,15000,4,0,
171,85,84,0,6666,15000,10,0,
172,85,86,0,6666,15000,13,0,
173,86,85,0,6666,15000,16,0,
174,86,87,0,6666,15000,3,0,
175,87,86,0,6666,15000,9,0,
176,87,88,0,6666,15000,3,0,
177,88,87,0,6666,15000,10,0,
178,88,81,0,6666,15000,3,0,
179,88,75,0,6666,15000,5,0,
180,89,101,0,6666,15000,1,0,
181,89,448,0,2500,40000,19,0,
182,90,91,0,6666,15000,11,0,
183,90,448,0,2500,40000,12,0,
184,91,90,0,6666,15000,17,0,
185,91,92,0,6666,15000,14,0,
186,92,91,0,6666,15000,6,0,
187,92,93,0,6666,15000,16,0,
188,93,92,0,6666,15000,17,0,
189,93,94,0,6666,15000,11,0,
190,94,93,0,6666,15000,7,0,
191,94,95,0,6666,15000,3,0,
192,95,94,0,6666,15000,5,0,
193,95,96,0,6666,15000,5,0,
194,96,95,0,6666,15000,6,0,
195,96,97,0,6666,15000,19,0,
196,97,96,0,6666,15000,13,0,
197,97,98,0,6666,15000,5,0,
198,98,97,0,6666,15000,7,0,
199,98,99,0,6666,15000,8,0,
200,99,98,0,6666,15000,17,0,
201,99,100,0,6666,15000,5,0,
202,100,99,0,6666,15000,9,0,
203,100,101,0,6666,15000,16,0,
204,101,100,0,6666,15000,11,0,
205,101,89,0,6666,15000,5,0,
206,102,113,0,6666,15000,1,0,
207,102,445,0,2500,40000,4,0,
208,103,104,0,6666,15000,10,0,
209,103,449,0,2500,40000,8,0,
210,104,103,0,6666,15000,18,0,
211,104,105,0,6666,15000,4,0,
212,105,104,0,6666,15000,15,0,
213,105,106,0,6666,15000,8,0,
214,106,105,0,6666,15000,19,0,
215,106,107,0,6666,15000,1,0,
216,107,106,0,6666,15000,19,0,
217,107,108,0,6666,15000,14,0,
218,108,107,0,6666,15000,15,0,
219,108,109,0,6666,15000,13,0,
220,109,108,0,6666,15000,10,0,
221,109,110,0,6666,15000,14,0,
222,110,109,0,6666,15000,15,0,
223,110,111,0,6666,15000,3,0,
224,111,110,0,6666,15000,1,0,
225,111,112,0,6666,15000,18,0,
226,112,111,0,6666,15000,7,0,
227,112,113,0,6666,15000,1,0,
228,113,112,0,6666,15000,3,0,
229,113,102,0,6666,15000,3,0,
230,114,125,0,6666,15000,3,0,
231,114,447,0,2500,40000,5,0,
232,115,116,0,6666,15000,12,0,
233,115,451,0,2500,40000,18,0,
234,116,115,0,6666,15000,10,0,
235,116,117,0,6666,15000,4,0,
236,117,116,0,6666,15000,10,0,
237,117,118,0,6666,15000,19,0,
238,118,117,0,6666,15000,15,0,
239,118,119,0,6666,15000,12,0,
240,119,118,0,6666,15000,2,0,
241,119,120,0,6666,15000,5,0,
242,120,119,0,6666,15000,2,0,
243,120,121,0,6666,15000,17,0,
244,121,120,0,6666,15000,1,0,
245,121,122,0,6666,15000,6,0,
246,122,121,0,6666,15000,4,0,
247,122,123,0,6666,15000,9,0,
248,123,122,0,6666,15000,2,0,
249,123,124,0,6666,15000,6,0,
250,124,123,0,6666,15000,4,0,
251,124,125,0,6666,15000,16,0,
252,125,124,0,6666,15000,13,0,
253,125,114,0,6666,15000,17,0,
254,126,135,0,6666,15000,8,0,
255,126,447,0,2500,40000,12,0,
256,127,128,0,6666,15000,19,0,
257,127,447,0,2500,40000,4,0,
258,128,127,0,6666,15000,17,0,
259,128,129,0,6666,15000,1,0,
260,129,128,0,6666,15000,6,0,
261,129,130,0,6666,15000,14,0,
262,130,129,0,6666,15000,3,0,
263,130,131,0,6666,15000,10,0,
264,131,130,0,6666,15000,16,0,
265,131,132,0,6666,15000,16,0,
266,132,131,0,6666,15000,10,0,
267,132,133,0,6666,15000,13,0,
268,133,132,0,6666,15000,10,0,
269,133,134,0,6666,15000,10,0,
270,134,133,0,6666,15000,1,0,
271,134,135,0,6666,15000,18,0,
272,135,134,0,6666,15000,17,0,
273,135,126,0,6666,15000,8,0,
274,136,149,0,6666,15000,3,0,
275,136,450,0,2500,40000,17,0,
276,137,138,0,6666,15000,12,0,
277,137,450,0,2500,40000,6,0,
278,138,137,0,6666,15000,15,0,
279,138,139,0,6666,15000,12,0,
280,139,138,0,6666,15000,17,0,
281,139,140,0,6666,15000,7,0,
282,140,139,0,6666,15000,14,0,
283,140,141,0,6666,15000,19,0,
