demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
85,126,467,162.4,170.8,10,1,0,0,18000
78,61,478,215.8,226.6,10,1,0,0,30832
86,135,467,192.0,202.0,10,1,0,0,25666
112,254,462,204.1,214.7,10,1,0,0,22500
60,309,471,260.5,273.5,10,1,0,0,47498
81,237,466,155.6,163.2,10,1,0,0,22166
19,258,474,196.0,206.0,10,1,0,0,23500
13,238,457,173.4,181.8,10,1,0,0,33332
47,245,467,262.3,276.1,10,1,0,0,53164
62,309,479,275.3,289.1,10,1,0,0,44498
113,53,466,249.5,262.5,10,1,0,0,54664
75,195,479,285.5,300.5,10,1,0,0,58164
39,129,476,278.1,292.7,10,1,0,0,44332
40,78,466,256.9,270.3,10,1,0,0,42332
99,31,467,247.5,260.5,10,1,0,0,46998
28,187,462,278.1,292.7,10,1,0,0,54498
43,174,463,300.3,316.1,10,1,0,0,48832
84,93,479,310.7,326.9,10,1,0,0,53498
104,248,478,334.2,351.4,10,1,0,0,78162
91,411,464,251.1,263.7,10,1,0,0,49998
64,195,463,304.0,320.0,10,1,0,0,62164
80,45,467,288.2,303.4,10,1,0,0,51998
63,131,478,330.5,347.5,10,1,0,0,62664
38,275,464,291.8,306.6,10,1,0,0,38666
49,309,467,297.5,312.5,10,1,0,0,51498
107,309,463,293.8,308.6,10,1,0,0,49498
57,295,473,323.2,338.4,10,1,0,0,64664
41,87,467,263.3,277.1,10,1,0,0,46832
35,402,478,315.7,331.9,10,1,0,0,66330
27,193,474,300.2,315.4,10,1,0,0,60332
51,339,478,312.0,328.0,10,1,0,0,50832
71,266,478,241.7,253.9,10,1,0,0,28000
105,24,476,352.1,370.7,10,1,0,0,68498
45,85,476,325.8,342.6,10,1,0,0,63164
82,412,474,326.4,342.8,10,1,0,0,72164
14,168,455,252.5,265.5,10,1,0,0,43332
16,263,458,243.8,256.6,10,1,0,0,39666
46,213,462,340.3,358.1,10,1,0,0,74664
56,372,478,223.2,234.4,10,1,0,0,25000
42,5,471,292.8,307.6,10,1,0,0,67998
100,294,476,358.0,376.0,10,1,0,0,66998
87,324,474,241.3,253.1,10,1,0,0,37666
59,328,465,327.9,345.3,10,1,0,0,73830
121,293,476,352.1,370.7,10,1,0,0,61332
26,296,476,338.8,353.6,10,1,0,0,68830
118,213,469,362.5,381.5,10,1,0,0,73164
89,342,471,376.9,396.3,10,1,0,0,104494
106,108,475,398.1,418.7,10,1,0,0,85830
52,399,461,440.9,464.3,10,1,0,0,115326
55,57,474,358.8,377.6,10,1,0,0,99828
68,119,466,342.0,360.0,10,1,0,0,82662
36,318,478,326.8,343.6,10,1,0,0,60164
76,232,474,152.9,160.3,10,1,0,0,18000
108,195,469,329.9,347.3,10,1,0,0,76664
65,211,463,387.9,407.3,10,1,0,0,90996
101,302,474,256.1,268.7,10,1,0,0,38000
97,223,471,344.0,362.0,10,1,0,0,95162
10,257,460,284.4,298.8,10,1,0,0,55498
44,353,466,410.3,432.1,10,1,0,0,96828
93,343,469,441.6,463.2,10,1,0,0,107160
74,147,466,286.5,301.5,10,1,0,0,61998
15,274,448,416.7,438.9,10,1,0,0,70832
103,195,473,341.0,359.0,10,1,0,0,94494
72,197,465,293.5,308.5,10,1,0,0,79496
53,32,476,370.6,390.2,10,1,0,0,80164
30,270,464,384.3,404.1,10,1,0,0,84496
25,329,478,419.3,441.1,10,1,0,0,98162
32,395,464,388.3,408.1,10,1,0,0,86662
117,278,474,300.5,315.5,10,1,0,0,74330
11,22,444,395.1,415.7,10,1,0,0,96660
34,172,467,401.2,422.4,10,1,0,0,99494
48,352,478,423.3,445.1,10,1,0,0,90662
29,352,478,423.3,445.1,10,1,0,0,90662
33,21,476,403.9,425.3,10,1,0,0,100660
92,342,473,447.2,470.4,10,1,0,0,119660
73,226,473,391.8,412.6,10,1,0,0,117660
21,128,474,236.7,248.9,10,1,0,0,35666
115,272,465,448.3,472.1,10,1,0,0,111494
95,225,468,417.6,439.2,10,1,0,0,115492
114,224,473,407.7,427.9,10,1,0,0,127992
20,71,472,451.0,475.0,10,1,0,0,136990
31,179,475,237.4,249.8,10,1,0,0,44832
96,284,464,481.2,506.4,10,1,0,0,130492
90,354,476,512.5,539.5,10,1,0,0,146990
12,314,447,205.8,216.6,10,1,0,0,30166
66,208,462,303.3,319.1,10,1,0,0,62164
61,179,462,230.0,242.0,10,1,0,0,38832
18,208,463,299.6,315.2,10,1,0,0,61164
119,180,480,274.4,288.8,10,1,0,0,51498
