hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
111,201,461,194.7,204.9,10,1,0,0,37998,5,51,51
111001,201,461,51,51,10,1,0,0,37998,3,51,51
111002,201,461,51,51,10,1,0,0,37998,5,51,51
147,297,474,141.2,148.4,10,1,0,0,16000,5,45,36
147001,297,474,38.25,42.75,10,1,0,0,16000,3,45,36
147002,297,474,47.25,51.75,10,1,0,0,16000,5,45,36
138,305,471,177.4,185.8,10,1,0,0,14500,5,64,42
138001,305,471,47.5,58.5,10,1,0,0,14500,3,64,42
138002,305,471,69.5,80.5,10,1,0,0,14500,5,64,42
82,68,472,205.8,216.6,10,1,0,0,19000,5,60,54
82001,68,472,55.5,58.5,10,1,0,0,19000,3,60,54
82002,68,472,61.5,64.5,10,1,0,0,19000,5,60,54
30,12,470,176.5,185.5,10,1,0,0,23666,5,47,45
30001,12,470,45.5,46.5,10,1,0,0,23666,3,47,45
30002,12,470,47.5,48.5,10,1,0,0,23666,5,47,45
110,397,474,199.7,209.9,10,1,0,0,22500,5,51,51
110001,397,474,51,51,10,1,0,0,22500,3,51,51
110002,397,474,51,51,10,1,0,0,22500,5,51,51
142,297,471,178,186,10,1,0,0,17000,5,40,40
142001,297,471,40,40,10,1,0,0,17000,3,40,40
142002,297,471,40,40,10,1,0,0,17000,5,40,40
121,263,461,191,201,10,1,0,0,40498,5,50,50
121001,263,461,50,50,10,1,0,0,40498,3,50,50
121002,263,461,50,50,10,1,0,0,40498,5,50,50
25,399,470,275.3,289.1,10,1,0,0,40832,5,69,69
25001,399,470,69,69,10,1,0,0,40832,3,69,69
25002,399,470,69,69,10,1,0,0,40832,5,69,69
94,142,460,232.7,244.9,10,1,0,0,41498,5,76,61
94001,142,460,64.75,72.25,10,1,0,0,41498,3,76,61
94002,142,460,79.75,87.25,10,1,0,0,41498,5,76,61
81,142,462,205.1,215.7,10,1,0,0,40498,5,68,53
81001,142,462,56.75,64.25,10,1,0,0,40498,3,68,53
81002,142,462,71.75,79.25,10,1,0,0,40498,5,68,53
85,259,473,204.4,214.8,10,1,0,0,20000,5,63,52
85001,259,473,54.75,60.25,10,1,0,0,20000,3,63,52
85002,259,473,65.75,71.25,10,1,0,0,20000,5,63,52
122,193,464,224.6,236.2,10,1,0,0,30166,5,58,58
122001,193,464,58,58,10,1,0,0,30166,3,58,58
122002,193,464,58,58,10,1,0,0,30166,5,58,58
96,380,469,253,265,10,1,0,0,39832,5,91,60
96001,380,469,67.75,83.25,10,1,0,0,39832,3,91,60
96002,380,469,98.75,114.25,10,1,0,0,39832,5,91,60
12,20,447,254.5,267.5,10,1,0,0,50164,5,79,65
12001,20,447,68.5,75.5,10,1,0,0,50164,3,79,65
12002,20,447,82.5,89.5,10,1,0,0,50164,5,79,65
23,435,470,301.2,316.4,10,1,0,0,43332,5,76,76
23001,435,470,76,76,10,1,0,0,43332,3,76,76
23002,435,470,76,76,10,1,0,0,43332,5,76,76
77,441,462,240.4,252.8,10,1,0,0,31166,5,73,62
77001,441,462,64.75,70.25,10,1,0,0,31166,3,73,62
77002,441,462,75.75,81.25,10,1,0,0,31166,5,73,62
37,136,473,215.5,226.5,10,1,0,0,20000,5,67,55
37001,136,473,58,64,10,1,0,0,20000,3,67,55
37002,136,473,70,76,10,1,0,0,20000,5,67,55
73,20,461,276.1,290.7,10,1,0,0,49664,5,73,73
73001,20,461,73,73,10,1,0,0,49664,3,73,73
73002,20,461,73,73,10,1,0,0,49664,5,73,73
109,428,471,281,295,10,1,0,0,55164,5,92,70
109001,428,471,75.5,86.5,10,1,0,0,55164,3,92,70
109002,428,471,97.5,108.5,10,1,0,0,55164,5,92,70
117,304,462,172.1,180.7,10,1,0,0,35998,5,56,43
117001,304,462,46.25,52.75,10,1,0,0,35998,3,56,43
117002,304,462,59.25,65.75,10,1,0,0,35998,5,56,43
129,209,462,264.8,277.6,10,1,0,0,49164,5,92,64
129001,209,462,71,85,10,1,0,0,49164,3,92,64
129002,209,462,99,113,10,1,0,0,49164,5,92,64
101,209,462,264.8,277.6,10,1,0,0,49164,5,92,64
101001,209,462,71,85,10,1,0,0,49164,3,92,64
101002,209,462,99,113,10,1,0,0,49164,5,92,64
42,41,471,237.2,248.4,10,1,0,0,28666,5,56,56
42001,41,471,56,56,10,1,0,0,28666,3,56,56
42002,41,471,56,56,10,1,0,0,28666,5,56,56
41,38,466,196.7,206.9,10,1,0,0,29166,5,59,51
41001,38,466,53,57,10,1,0,0,29166,3,59,51
41002,38,466,61,65,10,1,0,0,29166,5,59,51
144,247,467,233.7,245.9,10,1,0,0,39332,5,72,61
144001,247,467,63.75,69.25,10,1,0,0,39332,3,72,61
144002,247,467,74.75,80.25,10,1,0,0,39332,5,72,61
16,61,444,274.6,288.2,10,1,0,0,68162,5,91,68
16001,61,444,73.75,85.25,10,1,0,0,68162,3,91,68
16002,61,444,96.75,108.25,10,1,0,0,68162,5,91,68
126,132,473,241.4,253.8,10,1,0,0,30666,5,65,62
126001,132,473,62.75,64.25,10,1,0,0,30666,3,65,62
126002,132,473,65.75,67.25,10,1,0,0,30666,5,65,62
55,308,472,272.4,286.8,10,1,0,0,43498,5,78,72
55001,308,472,73.5,76.5,10,1,0,0,43498,3,78,72
55002,308,472,79.5,82.5,10,1,0,0,43498,5,78,72
140,172,473,267.3,281.1,10,1,0,0,37832,5,80,69
140001,172,473,71.75,77.25,10,1,0,0,37832,3,80,69
140002,172,473,82.75,88.25,10,1,0,0,37832,5,80,69
56,139,469,209.5,220.5,10,1,0,0,27166,5,55,55
56001,139,469,55,55,10,1,0,0,27166,3,55,55
56002,139,469,55,55,10,1,0,0,27166,5,55,55
99,251,473,248.8,261.6,10,1,0,0,31666,5,73,64
99001,251,473,66.25,70.75,10,1,0,0,31666,3,73,64
99002,251,473,75.25,79.75,10,1,0,0,31666,5,73,64
135,203,468,222.6,234.2,10,1,0,0,32666,5,58,58
135001,203,468,58,58,10,1,0,0,32666,3,58,58
135002,203,468,58,58,10,1,0,0,32666,5,58,58
100,203,468,222.6,234.2,10,1,0,0,32666,5,58,58
100001,203,468,58,58,10,1,0,0,32666,3,58,58
100002,203,468,58,58,10,1,0,0,32666,5,58,58
146,358,467,267,281,10,1,0,0,36666,5,81,70
146001,358,467,72.75,78.25,10,1,0,0,36666,3,81,70
146002,358,467,83.75,89.25,10,1,0,0,36666,5,81,70
103,138,467,191,201,10,1,0,0,29166,5,53,50
103001,138,467,50.75,52.25,10,1,0,0,29166,3,53,50
103002,138,467,53.75,55.25,10,1,0,0,29166,5,53,50
49,171,466,218.9,230.3,10,1,0,0,32666,5,65,57
49001,171,466,59,63,10,1,0,0,32666,3,65,57
49002,171,466,67,71,10,1,0,0,32666,5,65,57
24,302,471,236.6,248.2,10,1,0,0,30666,5,58,58
24001,302,471,58,58,10,1,0,0,30666,3,58,58
24002,302,471,58,58,10,1,0,0,30666,5,58,58
43,68,471,231.5,242.5,10,1,0,0,24000,5,83,55
43001,68,471,62,76,10,1,0,0,24000,3,83,55
43002,68,471,90,104,10,1,0,0,24000,5,83,55
50,268,472,215.2,226.4,10,1,0,0,26666,5,64,56
50001,268,472,58,62,10,1,0,0,26666,3,64,56
50002,268,472,66,70,10,1,0,0,26666,5,64,56
54,397,465,245.4,257.8,10,1,0,0,33500,5,78,62
54001,397,465,66,74,10,1,0,0,33500,3,78,62
54002,397,465,82,90,10,1,0,0,33500,5,78,62
62,16,461,298.3,314.1,10,1,0,0,61330,5,79,79
62001,16,461,79,79,10,1,0,0,61330,3,79,79
62002,16,461,79,79,10,1,0,0,61330,5,79,79
127,277,460,382.6,402.2,10,1,0,0,106992,5,118,98
127001,277,460,103,113,10,1,0,0,106992,3,118,98
127002,277,460,123,133,10,1,0,0,106992,5,118,98
106,162,471,273.6,287.2,10,1,0,0,53164,5,96,68
106001,162,471,75,89,10,1,0,0,53164,3,96,68
106002,162,471,103,117,10,1,0,0,53164,5,96,68
46,166,475,292.9,308.3,10,1,0,0,47998,5,77,77
46001,166,475,77,77,10,1,0,0,47998,3,77,77
46002,166,475,77,77,10,1,0,0,47998,5,77,77
17,206,464,265.3,279.1,10,1,0,0,37666,5,69,69
17001,206,464,69,69,10,1,0,0,37666,3,69,69
17002,206,464,69,69,10,1,0,0,37666,5,69,69
80,52,467,241.1,253.7,10,1,0,0,35166,5,66,63
80001,52,467,63.75,65.25,10,1,0,0,35166,3,66,63
80002,52,467,66.75,68.25,10,1,0,0,35166,5,66,63
