LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,176,0,91,10000,13,0,
1,176,0,0,28,10000,15,0,
2,0,9,0,28,10000,79,0,
3,9,0,0,20,10000,26,0,
4,1,8,0,59,10000,91,0,
5,8,1,0,25,10000,78,0,
6,1,176,0,22,10000,69,0,
7,176,1,0,51,10000,53,0,
8,1,114,0,22,10000,57,0,
9,114,1,0,34,10000,96,0,
10,1,116,0,4,10000,15,0,
11,116,1,0,3,10000,58,0,
12,1,175,0,77,10000,87,0,
13,175,1,0,40,10000,54,0,
14,2,76,0,85,10000,53,0,
15,76,2,0,12,10000,94,0,
16,2,77,0,45,10000,42,0,
17,77,2,0,43,10000,57,0,
18,3,4,0,53,10000,12,0,
19,4,3,0,15,10000,12,0,
20,3,77,0,84,10000,33,0,
21,77,3,0,81,10000,55,0,
22,4,6,0,30,10000,85,0,
23,6,4,0,97,10000,23,0,
24,4,135,0,56,10000,83,0,
25,135,4,0,56,10000,72,0,
26,5,131,0,86,10000,57,0,
27,131,5,0,74,10000,26,0,
28,5,6,0,89,10000,46,0,
29,6,5,0,80,10000,7,0,
30,6,7,0,35,10000,87,0,
31,7,6,0,85,10000,76,0,
32,7,8,0,6,10000,78,0,
33,8,7,0,47,10000,42,0,
34,7,174,0,60,10000,43,0,
35,174,7,0,79,10000,5,0,
36,8,194,0,67,10000,94,0,
37,194,8,0,88,10000,27,0,
38,8,191,0,39,10000,60,0,
39,191,8,0,22,10000,20,0,
40,8,9,0,1,10000,36,0,
41,9,8,0,26,10000,85,0,
42,10,11,0,92,10000,33,0,
43,11,10,0,17,10000,6,0,
44,10,13,0,9,10000,38,0,
45,13,10,0,51,10000,89,0,
46,11,16,0,74,10000,71,0,
47,16,11,0,48,10000,25,0,
48,12,32,0,25,10000,31,0,
49,32,12,0,79,10000,91,0,
50,12,13,0,89,10000,46,0,
51,13,12,0,90,10000,23,0,
52,12,30,0,80,10000,8,0,
53,30,12,0,76,10000,22,0,
54,13,16,0,36,10000,83,0,
55,16,13,0,92,10000,59,0,
56,13,15,0,66,10000,15,0,
57,15,13,0,64,10000,91,0,
58,14,64,0,88,10000,23,0,
59,64,14,0,51,10000,12,0,
60,14,129,0,74,10000,32,0,
61,129,14,0,71,10000,51,0,
62,14,15,0,1,10000,68,0,
63,15,14,0,49,10000,49,0,
64,16,17,0,10,10000,43,0,
65,17,16,0,53,10000,79,0,
66,18,19,0,21,10000,36,0,
67,19,18,0,34,10000,5,0,
68,18,30,0,79,10000,31,0,
69,30,18,0,90,10000,29,0,
70,19,89,0,52,10000,41,0,
71,89,19,0,61,10000,3,0,
72,19,68,0,55,10000,35,0,
73,68,19,0,68,10000,14,0,
74,19,82,0,45,10000,26,0,
75,82,19,0,9,10000,3,0,
76,20,21,0,73,10000,20,0,
77,21,20,0,50,10000,80,0,
78,20,23,0,74,10000,9,0,
79,23,20,0,94,10000,30,0,
80,21,26,0,28,10000,13,0,
81,26,21,0,76,10000,23,0,
82,22,188,0,56,10000,77,0,
83,188,22,0,28,10000,76,0,
84,22,23,0,29,10000,37,0,
85,23,22,0,31,10000,8,0,
86,24,27,0,65,10000,68,0,
87,27,24,0,18,10000,41,0,
88,25,171,0,55,10000,52,0,
89,171,25,0,85,10000,58,0,
90,25,55,0,17,10000,93,0,
91,55,25,0,99,10000,20,0,
92,26,27,0,5,10000,9,0,
93,27,26,0,75,10000,72,0,
94,26,28,0,19,10000,98,0,
95,28,26,0,84,10000,34,0,
96,26,29,0,89,10000,4,0,
97,29,26,0,75,10000,40,0,
98,28,51,0,49,10000,39,0,
99,51,28,0,77,10000,65,0,
100,28,54,0,18,10000,8,0,
101,54,28,0,49,10000,47,0,
102,29,78,0,28,10000,21,0,
103,78,29,0,10,10000,17,0,
104,30,35,0,25,10000,9,0,
105,35,30,0,68,10000,89,0,
106,31,37,0,51,10000,50,0,
107,37,31,0,93,10000,29,0,
108,32,33,0,49,10000,1,0,
109,33,32,0,15,10000,59,0,
110,32,37,0,15,10000,39,0,
111,37,32,0,44,10000,39,0,
112,34,37,0,68,10000,47,0,
113,37,34,0,94,10000,69,0,
114,35,37,0,23,10000,9,0,
115,37,35,0,9,10000,85,0,
116,36,38,0,13,10000,76,0,
117,38,36,0,78,10000,86,0,
118,36,39,0,14,10000,74,0,
119,39,36,0,44,10000,99,0,
120,37,160,0,94,10000,35,0,
121,160,37,0,42,10000,99,0,
122,37,38,0,40,10000,34,0,
123,38,37,0,96,10000,73,0,
124,38,196,0,33,10000,70,0,
125,196,38,0,14,10000,15,0,
126,39,181,0,57,10000,75,0,
127,181,39,0,72,10000,27,0,
128,40,41,0,26,10000,23,0,
129,41,40,0,25,10000,3,0,
130,40,42,0,73,10000,54,0,
131,42,40,0,80,10000,72,0,
132,41,43,0,45,10000,49,0,
133,43,41,0,36,10000,7,0,
134,41,189,0,83,10000,41,0,
135,189,41,0,37,10000,46,0,
136,42,43,0,52,10000,75,0,
137,43,42,0,89,10000,50,0,
138,42,143,0,15,10000,55,0,
139,143,42,0,93,10000,44,0,
140,42,143,0,5,10000,45,0,
141,143,42,0,29,10000,27,0,
142,44,45,0,25,10000,56,0,
143,45,44,0,35,10000,72,0,
144,44,47,0,85,10000,19,0,
145,47,44,0,65,10000,57,0,
146,45,48,0,73,10000,66,0,
147,48,45,0,98,10000,12,0,
148,45,164,0,68,10000,72,0,
149,164,45,0,32,10000,33,0,
150,46,49,0,93,10000,48,0,
151,49,46,0,59,10000,4,0,
152,46,47,0,59,10000,98,0,
153,47,46,0,2,10000,12,0,
154,48,155,0,59,10000,41,0,
155,155,48,0,94,10000,3,0,
156,48,181,0,83,10000,96,0,
157,181,48,0,9,10000,87,0,
158,49,177,0,34,10000,75,0,
159,177,49,0,3,10000,74,0,
160,49,147,0,15,10000,56,0,
161,147,49,0,99,10000,63,0,
162,49,165,0,74,10000,60,0,
163,165,49,0,75,10000,21,0,
164,50,57,0,10,10000,98,0,
165,57,50,0,35,10000,76,0,
166,50,51,0,57,10000,58,0,
167,51,50,0,11,10000,4,0,
168,51,188,0,89,10000,38,0,
169,188,51,0,6,10000,29,0,
170,52,53,0,45,10000,89,0,
171,53,52,0,77,10000,69,0,
172,52,55,0,87,10000,6,0,
173,55,52,0,65,10000,27,0,
174,53,58,0,56,10000,60,0,
175,58,53,0,20,10000,61,0,
176,54,55,0,43,10000,42,0,
177,55,54,0,54,10000,53,0,
178,56,57,0,45,10000,85,0,
179,57,56,0,67,10000,18,0,
180,56,59,0,48,10000,77,0,
181,59,56,0,36,10000,59,0,
182,58,59,0,33,10000,30,0,
183,59,58,0,35,10000,92,0,
184,60,61,0,61,10000,87,0,
185,61,60,0,18,10000,93,0,
186,60,69,0,93,10000,99,0,
187,69,60,0,50,10000,3,0,
188,61,128,0,58,10000,22,0,
189,128,61,0,93,10000,84,0,
190,61,122,0,8,10000,83,0,
191,122,61,0,76,10000,48,0,
192,62,144,0,49,10000,83,0,
193,144,62,0,46,10000,53,0,
194,62,86,0,71,10000,30,0,
195,86,62,0,10,10000,71,0,
196,62,63,0,59,10000,52,0,
197,63,62,0,15,10000,27,0,
198,63,68,0,59,10000,89,0,
199,68,63,0,6,10000,68,0,
200,63,149,0,33,10000,44,0,
201,149,63,0,70,10000,41,0,
202,64,65,0,46,10000,83,0,
203,65,64,0,51,10000,53,0,
204,64,67,0,63,10000,45,0,
205,67,64,0,60,10000,55,0,
206,64,68,0,38,10000,20,0,
207,68,64,0,56,10000,84,0,
208,65,66,0,99,10000,44,0,
209,66,65,0,50,10000,35,0,
210,66,67,0,57,10000,22,0,
211,67,66,0,20,10000,62,0,
212,67,69,0,90,10000,7,0,
213,69,67,0,28,10000,1,0,
214,69,144,0,66,10000,72,0,
215,144,69,0,80,10000,21,0,
