demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,183,45,191.2,201.8,10,0,0,-1,212.0
1,101,95,869.0,884.0,10,0,0,-1,963.0
2,70,13,446.333,454.667,10,0,0,-1,478.0
3,182,129,907.6,914.4,10,0,0,-1,1091.0
4,188,124,1124.33,1138.67,10,0,0,-1,1159.0
5,148,9,519.8,522.2,10,0,0,-1,534.0
6,102,73,800.0,815.0,10,0,0,-1,962.0
7,196,66,555.533,569.467,10,0,0,-1,597.0
8,147,37,294.733,306.267,10,0,0,-1,364.0
9,38,46,270.733,286.267,10,0,0,-1,314.0
10,1,73,662.6,677.4,10,0,0,-1,822.0
11,18,170,508.867,525.133,10,0,0,-1,407.0
12,48,129,578.933,591.067,10,0,0,-1,723.0
13,192,92,581.267,585.733,10,0,0,-1,664.0
14,110,73,710.0,725.0,10,0,0,-1,914.0
15,122,1,1025.67,1033.33,10,0,0,-1,1465.0
16,75,47,324.533,330.467,10,0,0,-1,420.0
17,107,74,545.0,560.0,10,0,0,-1,784.0
18,15,141,715.4,730.6,10,0,0,-1,746.0
19,106,183,590.0,605.0,10,0,0,-1,718.0
20,107,71,623.0,638.0,10,0,0,-1,816.0
21,55,5,563.667,571.333,10,0,0,-1,585.0
22,84,119,729.4,736.6,10,0,0,-1,558.0
23,17,27,673.533,679.467,10,0,0,-1,775.0
24,93,194,615.2,626.8,10,0,0,-1,838.0
25,23,155,393.533,403.467,10,0,0,-1,627.0
26,78,42,587.8,594.2,10,0,0,-1,960.0
27,189,110,1079.33,1086.67,10,0,0,-1,1465.0
28,177,27,435.733,440.267,10,0,0,-1,404.0
29,29,142,608.333,620.667,10,0,0,-1,683.0
30,193,73,636.6,651.4,10,0,0,-1,932.0
31,89,49,318.533,328.467,10,0,0,-1,523.0
32,133,176,419.467,425.533,10,0,0,-1,675.0
33,137,147,495.867,504.133,10,0,0,-1,277.0
34,128,93,681.0,696.0,10,0,0,-1,822.0
35,95,5,468.667,476.333,10,0,0,-1,413.0
36,105,28,855.0,870.0,10,0,0,-1,1033.0
37,177,77,369.933,380.067,10,0,0,-1,494.0
38,196,105,579.867,596.133,10,0,0,-1,633.0
39,180,186,776.467,793.533,10,0,0,-1,821.0
40,176,29,789.6,801.4,10,0,0,-1,936.0
41,127,29,762.0,777.0,10,0,0,-1,882.0
42,196,177,157.4,168.6,10,0,0,-1,202.0
43,123,9,1025.67,1033.33,10,0,0,-1,1558.0
44,122,31,485.333,495.667,10,0,0,-1,703.0
45,18,153,238.733,249.267,10,0,0,-1,370.0
46,16,85,488.667,503.333,10,0,0,-1,734.0
47,0,79,770.867,786.133,10,0,0,-1,922.0
48,8,28,766.333,775.667,10,0,0,-1,896.0
49,120,24,933.267,942.733,10,0,0,-1,1021.0
50,130,94,764.0,779.0,10,0,0,-1,788.0
51,154,30,334.067,341.933,10,0,0,-1,252.0
52,166,192,738.0,756.0,10,0,0,-1,797.0
53,77,123,918.333,923.667,10,0,0,-1,855.0
54,141,184,519.6,536.4,10,0,0,-1,352.0
55,188,104,994.933,1009.07,10,0,0,-1,1472.0
56,188,164,583.333,598.667,10,0,0,-1,736.0
57,73,120,822.0,835.0,10,0,0,-1,644.0
58,86,10,454.667,467.333,10,0,0,-1,662.0
59,131,188,804.8,815.2,10,0,0,-1,1247.0
60,195,139,612.8,614.2,10,0,0,-1,873.0
61,14,155,387.533,397.467,10,0,0,-1,667.0
62,44,18,513.2,523.8,10,0,0,-1,631.0
63,139,71,614.2,625.8,10,0,0,-1,948.0
64,184,59,668.067,675.933,10,0,0,-1,563.0
65,14,26,603.0,618.0,10,0,0,-1,860.0
66,70,13,446.333,454.667,10,0,0,-1,478.0
67,184,66,570.333,578.667,10,0,0,-1,752.0
68,69,147,461.533,471.467,10,0,0,-1,679.0
69,41,18,741.4,750.6,10,0,0,-1,891.0
70,140,185,475.933,492.067,10,0,0,-1,549.0
71,114,18,782.0,787.0,10,0,0,-1,752.0
72,107,90,762.0,777.0,10,0,0,-1,1007.0
73,122,142,923.333,935.667,10,0,0,-1,1060.0
74,46,175,894.467,907.533,10,0,0,-1,657.0
75,131,64,725.067,735.933,10,0,0,-1,1213.0
76,108,157,572.8,582.2,10,0,0,-1,783.0
77,119,131,423.333,425.667,10,0,0,-1,462.0
78,86,155,518.0,530.0,10,0,0,-1,452.0
79,184,64,463.333,471.667,10,0,0,-1,669.0
80,144,113,900.0,916.0,10,0,0,-1,913.0
81,166,5,424.133,435.867,10,0,0,-1,477.0
82,81,176,954.4,967.6,10,0,0,-1,909.0
83,36,118,977.133,993.867,10,0,0,-1,758.0
84,183,194,569.0,587.0,10,0,0,-1,607.0
85,50,81,851.667,864.333,10,0,0,-1,1080.0
86,111,123,1229.27,1233.73,10,0,0,-1,1509.0
87,123,175,1154.67,1162.33,10,0,0,-1,1659.0
88,60,114,935.267,943.733,10,0,0,-1,1307.0
89,180,27,955.0,970.0,10,0,0,-1,1139.0
90,20,35,486.333,494.667,10,0,0,-1,763.0
91,127,25,892.733,908.267,10,0,0,-1,928.0
92,96,42,598.133,608.867,10,0,0,-1,602.0
93,91,17,610.333,618.667,10,0,0,-1,505.0
94,131,81,781.733,791.267,10,0,0,-1,907.0
95,137,182,519.533,523.467,10,0,0,-1,818.0
96,35,168,481.867,499.133,10,0,0,-1,444.0
97,174,57,847.933,854.067,10,0,0,-1,1102.0
98,37,164,386.4,399.6,10,0,0,-1,515.0
99,48,109,852.333,864.667,10,0,0,-1,921.0
100,164,106,713.933,721.067,10,0,0,-1,1010.0
101,126,156,786.333,796.667,10,0,0,-1,992.0
102,54,67,755.933,764.067,10,0,0,-1,821.0
103,2,102,846.8,856.2,10,0,0,-1,935.0
104,47,11,653.667,670.333,10,0,0,-1,640.0
105,144,41,797.067,804.933,10,0,0,-1,1117.0
106,157,64,507.467,516.533,10,0,0,-1,656.0
107,152,171,425.467,426.533,10,0,0,-1,354.0
108,49,66,621.8,630.2,10,0,0,-1,806.0
109,66,47,533.667,544.333,10,0,0,-1,661.0
110,124,176,1080.27,1092.73,10,0,0,-1,1184.0
111,189,103,1057.6,1064.4,10,0,0,-1,1306.0
112,161,107,605.6,612.4,10,0,0,-1,895.0
113,55,34,583.467,593.533,10,0,0,-1,657.0
114,186,176,697.6,715.4,10,0,0,-1,608.0
115,193,28,831.333,840.667,10,0,0,-1,846.0
116,184,178,571.667,582.333,10,0,0,-1,767.0
117,132,13,626.867,637.133,10,0,0,-1,698.0
118,93,192,727.2,738.8,10,0,0,-1,967.0
119,80,116,863.133,868.867,10,0,0,-1,888.0
120,78,189,710.8,717.2,10,0,0,-1,1131.0
121,47,123,964.533,975.467,10,0,0,-1,1246.0
122,17,186,468.867,480.133,10,0,0,-1,638.0
123,158,116,681.0,694.0,10,0,0,-1,448.0
124,70,7,498.0,511.0,10,0,0,-1,443.0
125,169,105,785.6,792.4,10,0,0,-1,989.0
126,136,18,787.933,805.067,10,0,0,-1,1015.0
127,136,72,674.2,685.8,10,0,0,-1,883.0
128,142,14,715.067,724.933,10,0,0,-1,895.0
129,56,76,703.6,713.4,10,0,0,-1,985.0
130,61,31,437.333,447.667,10,0,0,-1,627.0
131,16,58,928.2,936.8,10,0,0,-1,993.0
