demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,79,109,586.533,591.467,10,0,0,-1,441.0
1,8,44,417.2,423.8,10,0,0,-1,621.0
2,55,45,1067.67,1078.33,10,0,0,-1,524.0
3,24,41,789.667,800.333,10,0,0,-1,543.0
4,11,71,814.467,818.533,10,0,0,-1,700.0
5,84,24,526.933,537.067,10,0,0,-1,547.0
6,65,97,621.533,627.467,10,0,0,-1,456.0
7,27,30,869.467,873.533,10,0,0,-1,763.0
8,37,58,695.533,699.467,10,0,0,-1,705.0
9,125,136,594.333,600.667,10,0,0,-1,652.0
10,5,72,784.467,799.533,10,0,0,-1,707.0
11,57,2,879.933,888.067,10,0,0,-1,601.0
12,42,66,990.867,999.133,10,0,0,-1,590.0
13,5,42,963.467,978.533,10,0,0,-1,794.0
14,76,71,604.467,608.533,10,0,0,-1,561.0
15,32,142,505.8,511.2,10,0,0,-1,374.0
16,52,115,804.267,816.733,10,0,0,-1,541.0
17,4,83,783.2,795.8,10,0,0,-1,610.0
18,134,44,692.067,696.933,10,0,0,-1,457.0
19,93,64,800.733,815.267,10,0,0,-1,580.0
20,146,93,818.8,823.2,10,0,0,-1,734.0
21,18,144,896.467,911.533,10,0,0,-1,548.0
22,3,55,748.133,760.867,10,0,0,-1,555.0
23,30,22,732.533,736.467,10,0,0,-1,829.0
24,84,25,561.933,572.067,10,0,0,-1,502.0
25,10,0,552.067,560.933,10,0,0,-1,427.0
26,129,116,393.533,398.467,10,0,0,-1,349.0
27,52,46,1053.47,1059.53,10,0,0,-1,852.0
28,134,102,767.2,771.8,10,0,0,-1,508.0
29,71,117,467.667,470.333,10,0,0,-1,661.0
30,83,54,476.533,480.467,10,0,0,-1,652.0
31,76,112,678.333,684.667,10,0,0,-1,721.0
32,84,78,509.933,520.067,10,0,0,-1,436.0
33,18,90,948.467,963.533,10,0,0,-1,691.0
