LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,35,0,58,10000,33,0,
1,35,0,0,27,10000,98,0,
2,0,103,0,39,10000,37,0,
3,103,0,0,82,10000,64,0,
4,1,65,0,70,10000,90,0,
5,65,1,0,40,10000,24,0,
6,1,39,0,17,10000,8,0,
7,39,1,0,19,10000,77,0,
8,2,3,0,70,10000,44,0,
9,3,2,0,38,10000,16,0,
10,2,101,0,58,10000,92,0,
11,101,2,0,93,10000,54,0,
12,2,55,0,95,10000,28,0,
13,55,2,0,1,10000,17,0,
14,3,49,0,81,10000,59,0,
15,49,3,0,77,10000,83,0,
16,3,101,0,19,10000,62,0,
17,101,3,0,8,10000,82,0,
18,4,48,0,55,10000,58,0,
19,48,4,0,44,10000,18,0,
20,4,5,0,34,10000,88,0,
21,5,4,0,21,10000,73,0,
22,5,33,0,24,10000,94,0,
23,33,5,0,51,10000,28,0,
24,6,33,0,59,10000,49,0,
25,33,6,0,40,10000,21,0,
26,6,19,0,62,10000,83,0,
27,19,6,0,68,10000,83,0,
28,7,64,0,35,10000,22,0,
29,64,7,0,27,10000,58,0,
30,7,8,0,64,10000,95,0,
31,8,7,0,93,10000,86,0,
32,7,18,0,37,10000,5,0,
33,18,7,0,48,10000,86,0,
34,7,19,0,97,10000,49,0,
35,19,7,0,8,10000,65,0,
36,8,64,0,86,10000,85,0,
37,64,8,0,86,10000,46,0,
38,8,9,0,37,10000,42,0,
39,9,8,0,66,10000,58,0,
40,9,39,0,20,10000,8,0,
41,39,9,0,73,10000,75,0,
42,10,37,0,99,10000,85,0,
43,37,10,0,62,10000,10,0,
44,10,17,0,46,10000,62,0,
45,17,10,0,83,10000,68,0,
46,10,82,0,15,10000,23,0,
47,82,10,0,72,10000,11,0,
48,10,83,0,7,10000,30,0,
49,83,10,0,92,10000,18,0,
50,10,22,0,56,10000,41,0,
51,22,10,0,18,10000,5,0,
52,10,22,0,76,10000,99,0,
53,22,10,0,20,10000,57,0,
54,10,31,0,24,10000,13,0,
55,31,10,0,99,10000,44,0,
56,11,72,0,60,10000,58,0,
57,72,11,0,42,10000,29,0,
58,11,72,0,65,10000,87,0,
59,72,11,0,76,10000,18,0,
60,11,73,0,41,10000,28,0,
61,73,11,0,35,10000,14,0,
62,11,106,0,62,10000,9,0,
63,106,11,0,8,10000,70,0,
64,11,21,0,23,10000,24,0,
65,21,11,0,63,10000,71,0,
66,12,19,0,23,10000,91,0,
67,19,12,0,13,10000,82,0,
68,12,19,0,22,10000,13,0,
69,19,12,0,23,10000,21,0,
70,12,26,0,85,10000,27,0,
71,26,12,0,57,10000,43,0,
72,12,27,0,3,10000,17,0,
73,27,12,0,32,10000,53,0,
74,12,52,0,89,10000,96,0,
75,52,12,0,12,10000,60,0,
76,13,104,0,11,10000,4,0,
77,104,13,0,70,10000,9,0,
78,13,105,0,16,10000,87,0,
79,105,13,0,91,10000,71,0,
80,13,61,0,28,10000,2,0,
81,61,13,0,46,10000,98,0,
82,14,44,0,32,10000,72,0,
83,44,14,0,55,10000,8,0,
84,14,15,0,27,10000,83,0,
85,15,14,0,52,10000,57,0,
86,15,44,0,87,10000,36,0,
87,44,15,0,22,10000,71,0,
88,16,24,0,27,10000,75,0,
89,24,16,0,45,10000,76,0,
90,16,89,0,22,10000,66,0,
91,89,16,0,30,10000,45,0,
92,16,27,0,92,10000,87,0,
93,27,16,0,51,10000,69,0,
94,16,72,0,29,10000,93,0,
95,72,16,0,83,10000,73,0,
96,16,56,0,94,10000,95,0,
97,56,16,0,44,10000,34,0,
98,17,17,0,27,10000,14,0,
99,17,17,0,47,10000,86,0,
100,17,23,0,7,10000,53,0,
101,23,17,0,35,10000,35,0,
102,18,27,0,34,10000,75,0,
103,27,18,0,41,10000,34,0,
104,18,26,0,46,10000,74,0,
105,26,18,0,15,10000,48,0,
106,18,47,0,83,10000,68,0,
107,47,18,0,72,10000,39,0,
108,18,47,0,37,10000,45,0,
109,47,18,0,59,10000,20,0,
110,20,72,0,41,10000,2,0,
111,72,20,0,37,10000,21,0,
112,20,31,0,6,10000,6,0,
113,31,20,0,9,10000,27,0,
114,21,46,0,12,10000,15,0,
115,46,21,0,83,10000,43,0,
116,23,31,0,37,10000,28,0,
117,31,23,0,96,10000,75,0,
118,24,27,0,22,10000,47,0,
119,27,24,0,26,10000,86,0,
120,25,28,0,55,10000,55,0,
121,28,25,0,87,10000,82,0,
122,25,52,0,50,10000,77,0,
123,52,25,0,3,10000,53,0,
124,28,29,0,8,10000,33,0,
125,29,28,0,71,10000,96,0,
126,29,77,0,38,10000,25,0,
127,77,29,0,63,10000,27,0,
128,30,84,0,79,10000,48,0,
129,84,30,0,64,10000,41,0,
130,30,99,0,43,10000,54,0,
131,99,30,0,98,10000,97,0,
132,30,100,0,72,10000,63,0,
133,100,30,0,76,10000,23,0,
134,30,85,0,79,10000,54,0,
135,85,30,0,13,10000,37,0,
136,32,33,0,16,10000,47,0,
137,33,32,0,16,10000,23,0,
138,32,74,0,22,10000,59,0,
139,74,32,0,16,10000,50,0,
140,32,43,0,71,10000,43,0,
141,43,32,0,12,10000,16,0,
142,32,66,0,62,10000,38,0,
143,66,32,0,46,10000,88,0,
144,33,45,0,99,10000,30,0,
145,45,33,0,86,10000,32,0,
146,34,104,0,89,10000,64,0,
147,104,34,0,10,10000,34,0,
148,34,102,0,29,10000,39,0,
149,102,34,0,90,10000,80,0,
150,34,46,0,58,10000,28,0,
151,46,34,0,18,10000,28,0,
152,34,46,0,50,10000,38,0,
153,46,34,0,39,10000,96,0,
154,35,75,0,94,10000,11,0,
155,75,35,0,44,10000,18,0,
156,35,53,0,69,10000,95,0,
157,53,35,0,31,10000,78,0,
158,36,75,0,69,10000,18,0,
159,75,36,0,97,10000,27,0,
160,36,53,0,97,10000,88,0,
161,53,36,0,16,10000,80,0,
162,36,39,0,58,10000,67,0,
163,39,36,0,28,10000,38,0,
164,37,58,0,16,10000,40,0,
165,58,37,0,4,10000,79,0,
166,37,61,0,85,10000,80,0,
167,61,37,0,64,10000,41,0,
168,38,48,0,26,10000,40,0,
169,48,38,0,50,10000,48,0,
170,38,48,0,62,10000,30,0,
171,48,38,0,13,10000,40,0,
172,38,49,0,64,10000,23,0,
173,49,38,0,80,10000,30,0,
174,38,52,0,78,10000,63,0,
175,52,38,0,15,10000,93,0,
176,38,54,0,60,10000,64,0,
177,54,38,0,7,10000,41,0,
178,38,54,0,9,10000,73,0,
179,54,38,0,76,10000,59,0,
180,40,80,0,75,10000,29,0,
181,80,40,0,26,10000,48,0,
182,40,41,0,41,10000,45,0,
183,41,40,0,72,10000,84,0,
184,40,71,0,58,10000,56,0,
185,71,40,0,16,10000,78,0,
186,40,68,0,91,10000,44,0,
187,68,40,0,15,10000,8,0,
188,40,81,0,46,10000,71,0,
189,81,40,0,36,10000,35,0,
190,41,68,0,99,10000,90,0,
191,68,41,0,48,10000,78,0,
192,41,62,0,97,10000,87,0,
193,62,41,0,32,10000,62,0,
194,41,62,0,47,10000,16,0,
195,62,41,0,70,10000,96,0,
196,41,71,0,73,10000,72,0,
197,71,41,0,28,10000,23,0,
198,42,43,0,1,10000,70,0,
199,43,42,0,14,10000,66,0,
200,42,68,0,59,10000,84,0,
201,68,42,0,86,10000,5,0,
202,42,109,0,86,10000,47,0,
203,109,42,0,51,10000,9,0,
204,42,79,0,58,10000,87,0,
205,79,42,0,6,10000,40,0,
206,43,69,0,72,10000,10,0,
207,69,43,0,28,10000,75,0,
208,43,78,0,53,10000,36,0,
209,78,43,0,44,10000,60,0,
210,43,79,0,47,10000,94,0,
211,79,43,0,95,10000,60,0,
212,43,81,0,21,10000,8,0,
213,81,43,0,77,10000,41,0,
214,44,60,0,74,10000,75,0,
215,60,44,0,60,10000,9,0,
216,44,53,0,37,10000,85,0,
217,53,44,0,66,10000,82,0,
218,45,64,0,51,10000,45,0,
219,64,45,0,33,10000,48,0,
220,45,74,0,35,10000,74,0,
221,74,45,0,25,10000,55,0,
222,45,67,0,70,10000,19,0,
223,67,45,0,28,10000,71,0,
224,46,47,0,70,10000,63,0,
225,47,46,0,92,10000,18,0,
226,47,73,0,92,10000,55,0,
227,73,47,0,97,10000,74,0,
228,48,49,0,75,10000,59,0,
229,49,48,0,11,10000,89,0,
230,49,70,0,50,10000,6,0,
231,70,49,0,78,10000,54,0,
232,50,57,0,48,10000,44,0,
233,57,50,0,35,10000,95,0,
234,50,51,0,7,10000,83,0,
235,51,50,0,68,10000,40,0,
236,50,93,0,30,10000,80,0,
237,93,50,0,40,10000,16,0,
238,50,95,0,43,10000,83,0,
239,95,50,0,84,10000,97,0,
240,51,88,0,83,10000,4,0,
241,88,51,0,61,10000,69,0,
242,51,89,0,86,10000,84,0,
243,89,51,0,23,10000,59,0,
244,51,93,0,34,10000,7,0,
245,93,51,0,66,10000,13,0,
246,53,59,0,24,10000,42,0,
247,59,53,0,82,10000,33,0,
248,54,55,0,51,10000,86,0,
249,55,54,0,71,10000,47,0,
250,54,55,0,46,10000,99,0,
251,55,54,0,95,10000,76,0,
252,55,92,0,42,10000,72,0,
253,92,55,0,67,10000,10,0,
254,56,57,0,1,10000,99,0,
255,57,56,0,9,10000,86,0,
256,56,57,0,86,10000,2,0,
257,57,56,0,57,10000,71,0,
258,56,77,0,75,10000,57,0,
259,77,56,0,77,10000,63,0,
260,57,96,0,34,10000,25,0,
261,96,57,0,54,10000,45,0,
262,57,92,0,39,10000,46,0,
263,92,57,0,21,10000,38,0,
264,57,97,0,97,10000,40,0,
265,97,57,0,37,10000,25,0,
266,58,107,0,56,10000,15,0,
267,107,58,0,91,10000,81,0,
268,59,60,0,18,10000,52,0,
269,60,59,0,45,10000,45,0,
270,63,98,0,27,10000,58,0,
271,98,63,0,63,10000,12,0,
272,63,84,0,75,10000,2,0,
273,84,63,0,36,10000,29,0,
274,63,70,0,53,10000,73,0,
275,70,63,0,34,10000,10,0,
276,63,71,0,34,10000,16,0,
277,71,63,0,55,10000,37,0,
278,65,67,0,71,10000,46,0,
279,67,65,0,82,10000,28,0,
280,66,109,0,42,10000,44,0,
281,109,66,0,43,10000,24,0,
282,69,109,0,10,10000,97,0,
283,109,69,0,65,10000,4,0,
284,73,73,0,64,10000,36,0,
285,73,73,0,60,10000,57,0,
286,76,88,0,46,10000,54,0,
287,88,76,0,85,10000,76,0,
288,76,87,0,46,10000,93,0,
289,87,76,0,75,10000,58,0,
290,78,80,0,69,10000,69,0,
291,80,78,0,52,10000,67,0,
292,82,83,0,40,10000,64,0,
293,83,82,0,96,10000,26,0,
294,84,101,0,31,10000,10,0,
295,101,84,0,18,10000,39,0,
296,85,90,0,31,10000,21,0,
297,90,85,0,52,10000,13,0,
