demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,109,10,534.8,540.2,10,0,0,-1,685.0
1,85,60,813.133,827.867,10,0,0,-1,770.0
2,2,42,336.533,348.467,10,0,0,-1,454.0
3,12,104,268.067,276.933,10,0,0,-1,301.0
4,19,61,321.867,334.133,10,0,0,-1,437.0
5,56,15,651.267,658.733,10,0,0,-1,676.0
6,106,70,528.4,536.6,10,0,0,-1,658.0
7,72,85,452.267,458.733,10,0,0,-1,912.0
8,91,56,382.533,386.467,10,0,0,-1,523.0
9,26,62,395.533,405.467,10,0,0,-1,455.0
10,45,69,140.2,144.8,10,0,0,-1,271.0
11,89,98,443.067,453.933,10,0,0,-1,416.0
12,79,23,580.8,588.2,10,0,0,-1,612.0
13,52,69,340.733,349.267,10,0,0,-1,381.0
14,49,47,295.2,301.8,10,0,0,-1,353.0
15,84,10,555.933,568.067,10,0,0,-1,562.0
16,98,105,566.933,578.067,10,0,0,-1,663.0
17,21,48,443.8,445.2,10,0,0,-1,373.0
18,97,65,573.467,590.533,10,0,0,-1,470.0
19,55,68,283.533,287.467,10,0,0,-1,411.0
20,22,40,562.867,574.133,10,0,0,-1,593.0
21,30,10,603.933,616.067,10,0,0,-1,641.0
22,51,66,529.2,539.8,10,0,0,-1,486.0
23,87,98,530.533,536.467,10,0,0,-1,681.0
24,39,58,547.533,558.467,10,0,0,-1,708.0
25,84,83,585.933,598.067,10,0,0,-1,569.0
26,56,81,418.6,428.4,10,0,0,-1,382.0
27,33,46,309.267,324.733,10,0,0,-1,334.0
28,102,57,474.467,482.533,10,0,0,-1,622.0
29,7,58,328.533,339.467,10,0,0,-1,476.0
30,34,9,324.267,326.733,10,0,0,-1,406.0
31,2,64,453.8,470.2,10,0,0,-1,330.0
32,103,42,574.267,580.733,10,0,0,-1,653.0
33,96,14,711.267,719.733,10,0,0,-1,685.0
34,98,61,611.667,626.333,10,0,0,-1,718.0
35,20,71,439.6,449.4,10,0,0,-1,707.0
36,16,90,366.267,372.733,10,0,0,-1,777.0
37,75,98,692.6,698.4,10,0,0,-1,851.0
38,107,63,635.0,645.0,10,0,0,-1,539.0
39,10,38,413.4,421.6,10,0,0,-1,675.0
40,33,58,456.867,467.133,10,0,0,-1,445.0
41,96,25,390.867,403.133,10,0,0,-1,359.0
42,90,52,375.667,382.333,10,0,0,-1,542.0
43,0,108,755.8,759.2,10,0,0,-1,727.0
44,54,78,322.733,330.267,10,0,0,-1,436.0
45,42,96,519.0,534.0,10,0,0,-1,412.0
46,87,109,717.933,733.067,10,0,0,-1,753.0
47,11,30,508.133,515.867,10,0,0,-1,658.0
48,96,53,621.267,629.733,10,0,0,-1,564.0
49,13,57,375.6,391.4,10,0,0,-1,472.0
50,80,31,549.467,553.533,10,0,0,-1,651.0
51,95,70,376.067,384.933,10,0,0,-1,503.0
52,59,80,672.0,680.0,10,0,0,-1,751.0
53,107,4,634.267,643.733,10,0,0,-1,498.0
54,59,54,808.333,820.667,10,0,0,-1,721.0
55,56,71,269.6,279.4,10,0,0,-1,489.0
56,83,26,315.533,321.467,10,0,0,-1,534.0
57,16,79,509.867,519.133,10,0,0,-1,399.0
58,66,60,510.2,516.8,10,0,0,-1,597.0
59,90,6,476.6,485.4,10,0,0,-1,484.0
60,4,60,606.667,620.333,10,0,0,-1,497.0
61,104,42,492.267,498.733,10,0,0,-1,505.0
62,22,45,389.667,396.333,10,0,0,-1,450.0
63,18,90,528.467,544.533,10,0,0,-1,420.0
64,47,62,410.2,414.8,10,0,0,-1,538.0
65,58,73,187.733,189.267,10,0,0,-1,223.0
66,55,1,461.933,468.067,10,0,0,-1,626.0
67,78,54,364.067,367.933,10,0,0,-1,603.0
68,1,105,512.667,528.333,10,0,0,-1,653.0
69,78,82,538.8,544.2,10,0,0,-1,716.0
70,13,9,362.267,364.733,10,0,0,-1,427.0
71,90,25,428.667,435.333,10,0,0,-1,545.0
72,2,52,293.8,310.2,10,0,0,-1,253.0
73,15,70,898.667,916.333,10,0,0,-1,721.0
74,77,38,254.267,260.733,10,0,0,-1,440.0
75,38,109,278.333,286.667,10,0,0,-1,554.0
76,42,86,632.133,637.867,10,0,0,-1,625.0
77,70,17,567.067,573.933,10,0,0,-1,821.0
78,80,52,412.8,420.2,10,0,0,-1,613.0
79,67,41,289.2,293.8,10,0,0,-1,344.0
80,52,104,328.067,336.933,10,0,0,-1,313.0
81,70,51,509.133,525.867,10,0,0,-1,291.0
82,102,108,682.8,686.2,10,0,0,-1,620.0
83,95,1,660.267,669.733,10,0,0,-1,563.0
84,2,32,435.133,448.867,10,0,0,-1,376.0
85,45,106,301.933,312.067,10,0,0,-1,493.0
86,10,43,514.867,526.133,10,0,0,-1,518.0
87,55,13,451.2,454.8,10,0,0,-1,436.0
88,60,66,632.067,638.933,10,0,0,-1,759.0
89,14,79,802.6,808.4,10,0,0,-1,716.0
90,37,79,618.867,630.133,10,0,0,-1,627.0
91,64,63,314.2,318.8,10,0,0,-1,407.0
92,104,25,420.8,422.2,10,0,0,-1,355.0
93,42,72,465.467,469.533,10,0,0,-1,513.0
94,76,62,459.267,463.733,10,0,0,-1,733.0
95,93,32,532.6,544.4,10,0,0,-1,452.0
96,4,13,492.467,500.533,10,0,0,-1,614.0
97,33,36,242.667,256.333,10,0,0,-1,300.0
