LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,237,0,68,10000,8,0,
1,237,0,0,72,10000,53,0,
2,0,751,0,89,10000,97,0,
3,751,0,0,41,10000,41,0,
4,1,3,0,9,10000,83,0,
5,3,1,0,72,10000,58,0,
6,1,117,0,58,10000,48,0,
7,117,1,0,13,10000,9,0,
8,2,441,0,77,10000,8,0,
9,441,2,0,43,10000,45,0,
10,2,4,0,34,10000,21,0,
11,4,2,0,7,10000,70,0,
12,3,120,0,26,10000,22,0,
13,120,3,0,80,10000,13,0,
14,4,649,0,13,10000,18,0,
15,649,4,0,32,10000,72,0,
16,5,317,0,23,10000,9,0,
17,317,5,0,77,10000,51,0,
18,5,719,0,11,10000,53,0,
19,719,5,0,47,10000,94,0,
20,6,308,0,47,10000,54,0,
21,308,6,0,47,10000,58,0,
22,6,719,0,87,10000,67,0,
23,719,6,0,30,10000,77,0,
24,7,512,0,40,10000,18,0,
25,512,7,0,53,10000,41,0,
26,7,244,0,19,10000,69,0,
27,244,7,0,25,10000,54,0,
28,8,9,0,58,10000,11,0,
29,9,8,0,30,10000,8,0,
30,8,449,0,51,10000,97,0,
31,449,8,0,70,10000,88,0,
32,9,220,0,38,10000,84,0,
33,220,9,0,13,10000,17,0,
34,10,272,0,24,10000,74,0,
35,272,10,0,75,10000,19,0,
36,10,11,0,43,10000,4,0,
37,11,10,0,10,10000,3,0,
38,11,57,0,73,10000,72,0,
39,57,11,0,22,10000,2,0,
40,12,562,0,7,10000,14,0,
41,562,12,0,67,10000,14,0,
42,12,70,0,74,10000,80,0,
43,70,12,0,49,10000,30,0,
44,13,57,0,23,10000,72,0,
45,57,13,0,38,10000,51,0,
46,13,14,0,33,10000,5,0,
47,14,13,0,82,10000,25,0,
48,14,15,0,14,10000,66,0,
49,15,14,0,64,10000,22,0,
50,15,16,0,69,10000,72,0,
51,16,15,0,38,10000,23,0,
52,15,16,0,98,10000,46,0,
53,16,15,0,31,10000,60,0,
54,16,17,0,43,10000,88,0,
55,17,16,0,8,10000,10,0,
56,16,311,0,46,10000,12,0,
57,311,16,0,22,10000,29,0,
58,16,718,0,5,10000,35,0,
59,718,16,0,36,10000,24,0,
60,17,348,0,77,10000,30,0,
61,348,17,0,73,10000,68,0,
62,18,339,0,85,10000,16,0,
63,339,18,0,92,10000,44,0,
