demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,68,137,621.733,630.267,10,0,0,-1,956.0
1,126,141,308.267,317.733,10,0,0,-1,442.0
2,115,8,943.733,953.267,10,0,0,-1,1065.0
3,51,123,461.867,466.133,10,0,0,-1,719.0
4,87,59,414.267,420.733,10,0,0,-1,613.0
5,84,19,514.533,529.467,10,0,0,-1,655.0
6,99,10,671.6,677.4,10,0,0,-1,952.0
7,35,28,646.267,661.733,10,0,0,-1,585.0
8,73,74,654.267,671.733,10,0,0,-1,606.0
9,26,2,547.933,550.067,10,0,0,-1,717.0
10,53,122,367.867,372.133,10,0,0,-1,618.0
11,51,62,349.533,355.467,10,0,0,-1,411.0
12,1,29,582.067,591.933,10,0,0,-1,469.0
13,77,4,723.333,728.667,10,0,0,-1,1006.0
14,32,3,815.6,824.4,10,0,0,-1,950.0
15,22,13,692.6,698.4,10,0,0,-1,980.0
16,60,117,746.133,760.867,10,0,0,-1,707.0
17,113,42,973.8,983.2,10,0,0,-1,1263.0
18,6,55,744.267,758.733,10,0,0,-1,688.0
19,51,24,344.267,350.733,10,0,0,-1,447.0
20,143,36,436.067,446.933,10,0,0,-1,481.0
21,142,37,809.6,816.4,10,0,0,-1,865.0
22,121,143,1016.87,1033.13,10,0,0,-1,1000.0
23,90,74,682.333,693.667,10,0,0,-1,794.0
24,37,92,778.4,791.6,10,0,0,-1,747.0
25,53,113,431.467,440.533,10,0,0,-1,192.0
26,11,74,667.267,681.733,10,0,0,-1,825.0
27,134,102,525.933,535.067,10,0,0,-1,549.0
28,118,61,490.6,503.4,10,0,0,-1,569.0
29,126,49,273.6,281.4,10,0,0,-1,415.0
30,54,74,211.533,221.467,10,0,0,-1,290.0
31,116,47,826.933,835.067,10,0,0,-1,1111.0
32,6,1,396.267,400.733,10,0,0,-1,349.0
33,83,54,871.6,878.4,10,0,0,-1,847.0
34,115,0,965.4,978.6,10,0,0,-1,1163.0
35,5,140,664.067,673.933,10,0,0,-1,499.0
36,119,77,451.8,457.2,10,0,0,-1,439.0
37,104,130,637.067,646.933,10,0,0,-1,793.0
38,51,122,376.867,381.133,10,0,0,-1,650.0
39,51,57,178.867,183.133,10,0,0,-1,242.0
40,111,43,1039.53,1054.47,10,0,0,-1,1557.0
41,130,0,850.267,862.733,10,0,0,-1,1012.0
42,74,128,631.733,649.267,10,0,0,-1,764.0
43,23,137,938.933,950.067,10,0,0,-1,1187.0
44,72,4,421.067,428.933,10,0,0,-1,563.0
45,70,114,511.267,521.733,10,0,0,-1,377.0
46,70,7,538.267,547.733,10,0,0,-1,595.0
47,70,129,427.667,433.333,10,0,0,-1,447.0
48,32,0,821.267,833.733,10,0,0,-1,1112.0
49,72,39,591.0,600.0,10,0,0,-1,770.0
50,134,44,674.867,679.133,10,0,0,-1,977.0
51,135,35,465.867,470.133,10,0,0,-1,538.0
52,3,66,588.2,605.8,10,0,0,-1,735.0
53,64,118,563.8,575.2,10,0,0,-1,529.0
54,33,9,674.6,683.4,10,0,0,-1,780.0
55,117,137,986.533,1002.47,10,0,0,-1,1344.0
56,70,60,385.467,393.533,10,0,0,-1,391.0
57,128,137,380.733,389.267,10,0,0,-1,612.0
58,17,49,559.8,568.2,10,0,0,-1,832.0
59,118,83,839.467,847.533,10,0,0,-1,916.0
60,120,25,437.0,446.0,10,0,0,-1,537.0
61,102,121,716.067,732.933,10,0,0,-1,562.0
62,30,20,595.867,606.133,10,0,0,-1,829.0
63,126,61,400.0,412.0,10,0,0,-1,475.0
64,20,43,754.733,770.267,10,0,0,-1,1037.0
65,115,137,1125.67,1142.33,10,0,0,-1,1406.0
66,139,120,573.867,576.133,10,0,0,-1,610.0
67,144,60,575.0,583.0,10,0,0,-1,643.0
68,31,21,531.6,540.4,10,0,0,-1,671.0
69,139,17,947.8,951.2,10,0,0,-1,1026.0
70,110,40,885.467,894.533,10,0,0,-1,1154.0
71,94,117,824.867,842.133,10,0,0,-1,885.0
72,85,89,702.0,716.0,10,0,0,-1,765.0
73,114,36,449.067,459.933,10,0,0,-1,563.0
74,55,8,745.6,754.4,10,0,0,-1,759.0
75,109,30,930.8,940.2,10,0,0,-1,922.0
76,44,137,422.733,431.267,10,0,0,-1,614.0
77,144,95,617.0,625.0,10,0,0,-1,725.0
78,36,40,875.067,889.933,10,0,0,-1,935.0
79,84,7,588.333,604.667,10,0,0,-1,755.0
80,41,22,743.2,754.8,10,0,0,-1,707.0
81,43,44,323.867,326.133,10,0,0,-1,428.0
82,142,20,863.4,878.6,10,0,0,-1,723.0
83,139,81,942.267,954.733,10,0,0,-1,971.0
84,41,29,744.2,755.8,10,0,0,-1,666.0
85,134,68,498.867,503.133,10,0,0,-1,536.0
86,125,132,738.467,752.533,10,0,0,-1,631.0
87,52,89,621.4,636.6,10,0,0,-1,636.0
88,110,37,438.867,449.133,10,0,0,-1,602.0
89,92,5,531.0,545.0,10,0,0,-1,814.0
90,40,89,369.733,379.267,10,0,0,-1,466.0
91,119,70,657.267,671.733,10,0,0,-1,641.0
92,30,1,379.267,383.733,10,0,0,-1,579.0
93,110,48,828.8,836.2,10,0,0,-1,1388.0
94,39,126,836.133,851.867,10,0,0,-1,824.0
95,39,18,704.733,718.267,10,0,0,-1,815.0
96,21,9,528.867,544.133,10,0,0,-1,604.0
97,117,137,986.533,1002.47,10,0,0,-1,1344.0
98,59,16,352.8,365.2,10,0,0,-1,536.0
99,54,44,705.467,713.533,10,0,0,-1,780.0
100,113,140,957.267,971.733,10,0,0,-1,1283.0
101,98,112,702.867,720.133,10,0,0,-1,828.0
102,37,34,576.4,589.6,10,0,0,-1,657.0
103,40,52,896.4,911.6,10,0,0,-1,692.0
104,103,142,621.933,636.067,10,0,0,-1,704.0
105,86,136,961.667,968.333,10,0,0,-1,966.0
106,2,1,508.267,515.733,10,0,0,-1,397.0
107,112,12,732.267,744.733,10,0,0,-1,1030.0
108,136,69,274.867,279.133,10,0,0,-1,413.0
109,70,90,611.467,619.533,10,0,0,-1,601.0
110,110,107,851.8,859.2,10,0,0,-1,1392.0
111,105,17,708.2,720.8,10,0,0,-1,774.0
112,49,51,923.133,939.867,10,0,0,-1,1017.0
113,134,119,526.867,531.133,10,0,0,-1,696.0
114,43,48,359.867,362.133,10,0,0,-1,499.0
115,67,130,664.4,676.6,10,0,0,-1,785.0
116,70,31,519.467,527.533,10,0,0,-1,564.0
117,115,124,794.933,803.067,10,0,0,-1,1018.0
118,135,17,696.867,714.133,10,0,0,-1,772.0
119,93,129,863.867,880.133,10,0,0,-1,776.0
120,138,22,924.933,934.067,10,0,0,-1,879.0
121,4,65,585.733,593.267,10,0,0,-1,433.0
122,11,77,503.667,515.333,10,0,0,-1,602.0
123,113,105,774.533,782.467,10,0,0,-1,1114.0
124,124,131,981.4,996.6,10,0,0,-1,763.0
125,89,18,491.8,501.2,10,0,0,-1,484.0
126,113,140,957.267,971.733,10,0,0,-1,1283.0
127,49,39,949.6,959.4,10,0,0,-1,941.0
128,47,70,835.4,850.6,10,0,0,-1,656.0
129,78,7,579.0,589.0,10,0,0,-1,684.0
130,41,28,805.2,816.8,10,0,0,-1,798.0
131,134,90,664.867,669.133,10,0,0,-1,809.0
132,94,108,365.267,374.733,10,0,0,-1,610.0
133,122,58,569.067,573.933,10,0,0,-1,592.0
134,55,8,745.6,754.4,10,0,0,-1,759.0
135,61,23,465.733,476.267,10,0,0,-1,417.0
136,39,120,685.733,699.267,10,0,0,-1,788.0
137,140,1,346.667,352.333,10,0,0,-1,460.0
138,124,17,628.933,630.067,10,0,0,-1,677.0
139,135,92,673.867,678.133,10,0,0,-1,706.0
140,18,140,455.133,461.867,10,0,0,-1,611.0
141,130,94,630.8,638.2,10,0,0,-1,842.0
142,47,21,641.6,648.4,10,0,0,-1,710.0
143,62,129,753.867,759.133,10,0,0,-1,876.0
144,127,133,789.667,796.333,10,0,0,-1,678.0
145,115,3,959.733,969.267,10,0,0,-1,1136.0
146,54,41,766.467,774.533,10,0,0,-1,751.0
147,101,128,600.467,614.533,10,0,0,-1,532.0
148,141,21,812.467,821.533,10,0,0,-1,752.0
149,16,36,749.267,764.733,10,0,0,-1,877.0
150,119,131,795.267,809.733,10,0,0,-1,710.0
