hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
789,1015,958,74.7,80.1,0,0,0,-1,36,5,45,27
789001,1015,958,31.5,40.5,0,0,0,-1,36,3,45,27
789002,1015,958,49.5,58.5,0,0,0,-1,36,5,45,27
534,971,458,53.8,58.6,0,0,0,-1,33,5,37,24
534001,971,458,27.25,33.75,0,0,0,-1,33,3,37,24
534002,971,458,40.25,46.75,0,0,0,-1,33,5,37,24
599,687,505,75.2,79.6,0,0,0,-1,41,5,29,22
599001,687,505,23.75,27.25,0,0,0,-1,41,3,29,22
599002,687,505,30.75,34.25,0,0,0,-1,41,5,29,22
669,1041,770,60.4,65.2,0,0,0,-1,38,5,34,24
669001,1041,770,26.5,31.5,0,0,0,-1,38,3,34,24
669002,1041,770,36.5,41.5,0,0,0,-1,38,5,34,24
57,687,505,25.5,27.6,0,0,0,-1,41,3,29,22
57001,687,505,23.75,27.25,0,0,0,-1,41,3,29,22
57002,687,505,30.75,34.25,0,0,0,-1,41,5,29,22
834,175,232,83.9,88.5,0,0,0,-1,47,5,54,23
834001,175,232,30.75,46.25,0,0,0,-1,47,3,54,23
834002,175,232,61.75,77.25,0,0,0,-1,47,5,54,23
1116,653,890,97.4,104.6,0,0,0,-1,68,5,65,36
1116001,653,890,43.25,57.75,0,0,0,-1,68,3,65,36
1116002,653,890,72.25,86.75,0,0,0,-1,68,5,65,36
81,897,841,32.6,33.4,0,0,0,-1,55,3,35,27
81001,897,841,29,33,0,0,0,-1,55,3,35,27
81002,897,841,37,41,0,0,0,-1,55,5,35,27
943,241,14,78.4,85.6,0,0,0,-1,36,5,46,36
943001,241,14,38.5,43.5,0,0,0,-1,36,3,46,36
943002,241,14,48.5,53.5,0,0,0,-1,36,5,46,36
613,206,313,85,93.4,0,0,0,-1,62,5,64,42
613001,206,313,47.5,58.5,0,0,0,-1,62,3,64,42
613002,206,313,69.5,80.5,0,0,0,-1,62,5,64,42
839,947,724,74.5,79.5,0,0,0,-1,52,5,37,25
839001,947,724,28,34,0,0,0,-1,52,3,37,25
839002,947,724,40,46,0,0,0,-1,52,5,37,25
32,447,720,26.2,27,0,0,0,-1,46,3,31,23
32001,447,720,25,29,0,0,0,-1,46,3,31,23
32002,447,720,33,37,0,0,0,-1,46,5,31,23
351,678,643,36,39,0,0,0,-1,33,3,63,33
351001,678,643,40.5,55.5,0,0,0,-1,33,3,63,33
351002,678,643,70.5,85.5,0,0,0,-1,33,5,63,33
1135,786,1064,97.4,104.6,0,0,0,-1,43,5,65,36
1135001,786,1064,43.25,57.75,0,0,0,-1,43,3,65,36
1135002,786,1064,72.25,86.75,0,0,0,-1,43,5,65,36
1078,224,270,71.4,75,0,0,0,-1,54,5,30,18
1078001,224,270,21,27,0,0,0,-1,54,3,30,18
1078002,224,270,33,39,0,0,0,-1,54,5,30,18
697,711,520,74.8,81.2,0,0,0,-1,43,5,46,32
697001,711,520,35.5,42.5,0,0,0,-1,43,3,46,32
697002,711,520,49.5,56.5,0,0,0,-1,43,5,46,32
319,448,766,28.8,30.4,0,0,0,-1,39,3,36,28
319001,448,766,30,34,0,0,0,-1,39,3,36,28
319002,448,766,38,42,0,0,0,-1,39,5,36,28
630,419,440,94,100.8,0,0,0,-1,84,5,43,34
630001,419,440,36.25,40.75,0,0,0,-1,84,3,43,34
630002,419,440,45.25,49.75,0,0,0,-1,84,5,43,34
180,686,704,33.8,34.6,0,0,0,-1,38,3,41,33
180001,686,704,35,39,0,0,0,-1,38,3,41,33
180002,686,704,43,47,0,0,0,-1,38,5,41,33
1055,485,586,64.5,69.1,0,0,0,-1,43,5,30,23
1055001,485,586,24.75,28.25,0,0,0,-1,43,3,30,23
1055002,485,586,31.75,35.25,0,0,0,-1,43,5,30,23
781,686,704,77.3,83.9,0,0,0,-1,38,5,41,33
781001,686,704,35,39,0,0,0,-1,38,3,41,33
781002,686,704,43,47,0,0,0,-1,38,5,41,33
