demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
734,4518,789,219.2,230.0,10,0,0,-1,54
985,1541,3723,172.5,180.7,10,0,0,-1,53
864,1195,3392,191.3,201.9,10,0,0,-1,49
805,86,507,191.2,200.4,10,0,0,-1,52
817,3926,482,190.5,200.7,10,0,0,-1,50
17,200,1530,56.5,61.5,10,0,0,-1,54
789,4803,2556,187.0,198.2,10,0,0,-1,55
791,38,953,200.5,208.7,10,0,0,-1,51
1030,910,1461,196.7,206.9,10,0,0,-1,53
996,1716,4103,189.0,200.2,10,0,0,-1,51
998,1516,4601,217.2,228.8,10,0,0,-1,51
655,1609,2755,206.3,216.9,10,0,0,-1,53
824,478,2526,182.0,192.0,10,0,0,-1,57
937,3857,108,195.0,205.0,10,0,0,-1,53
89,1111,1943,74.6,79.4,10,0,0,-1,53
1071,1053,4274,196.2,205.4,10,0,0,-1,51
702,103,1296,200.2,209.8,10,0,0,-1,51
769,948,1246,207.9,219.7,10,0,0,-1,47
838,4659,3357,182.9,192.3,10,0,0,-1,52
660,2179,1570,162.9,174.3,10,0,0,-1,53
766,1038,910,195.7,207.1,10,0,0,-1,50
67,1591,2642,48.8,54.2,10,0,0,-1,50
1005,3184,4354,169.0,177.0,10,0,0,-1,53
73,1837,1379,75.4,83.1,10,0,0,-1,48
1085,1715,215,75.4,83.0,10,0,0,-1,51
53,3891,3012,62.6,67.4,10,0,0,-1,51
1069,294,4771,194.0,204.0,10,0,0,-1,58
803,652,1549,201.5,209.3,10,0,0,-1,56
908,287,1895,184.0,194.0,10,0,0,-1,50
1054,1230,847,209.3,219.1,10,0,0,-1,49
107,4242,130,63.2,68.8,10,0,0,-1,50
768,1490,2463,204.5,215.9,10,0,0,-1,53
1010,1741,4495,215.0,229.0,10,0,0,-1,50
927,780,506,205.3,215.5,10,0,0,-1,55
765,4671,4469,64.6,69.8,10,0,0,-1,55
58,530,1430,57.6,59.9,10,0,0,-1,50
964,4465,528,177.0,187.0,10,0,0,-1,49
849,1188,2595,184.8,194.4,10,0,0,-1,49
57,1254,1655,46.7,52.4,10,0,0,-1,54
704,2923,4230,192.5,201.5,10,0,0,-1,55
989,3093,970,202.1,210.7,10,0,0,-1,50
1070,2891,3716,168.5,174.7,10,0,0,-1,52
715,1346,574,191.5,200.9,10,0,0,-1,52
701,848,446,200.3,212.5,10,0,0,-1,51
752,93,3163,186.3,196.9,10,0,0,-1,48
965,2053,2039,232.9,243.1,10,0,0,-1,53
924,4950,975,169.0,178.6,10,0,0,-1,48
722,530,1430,187.3,197.9,10,0,0,-1,50
1079,1407,2049,179.2,186.4,10,0,0,-1,53
889,4707,4461,197.0,207.0,10,0,0,-1,52
852,2102,3088,208.7,218.1,10,0,0,-1,48
759,3818,3628,212.4,221.2,10,0,0,-1,50
860,314,4577,186.4,197.6,10,0,0,-1,57
877,4863,4584,180.1,190.3,10,0,0,-1,51
661,3774,2423,203.0,215.0,10,0,0,-1,54
951,341,4589,193.8,206.6,10,0,0,-1,53
846,4591,3756,193.8,205.4,10,0,0,-1,53
672,4353,4943,201.1,213.7,10,0,0,-1,50
683,2892,2445,185.7,194.3,10,0,0,-1,49
747,3859,4298,216.4,227.6,10,0,0,-1,54
19,3508,4139,68.4,72.8,10,0,0,-1,50
910,3512,2074,191.0,201.4,10,0,0,-1,52
662,3400,1843,198.5,208.7,10,0,0,-1,45
863,1001,4349,194.2,201.4,10,0,0,-1,51
1007,4896,3453,207.9,217.3,10,0,0,-1,51
1057,1143,3631,163.5,170.5,10,0,0,-1,54
959,2403,3196,190.5,201.1,10,0,0,-1,50
1055,880,156,198.0,208.8,10,0,0,-1,53
1101,1304,2549,193.0,203.0,10,0,0,-1,48
761,4155,4318,208.5,219.5,10,0,0,-1,52
876,44,451,172.3,180.1,10,0,0,-1,53
953,2945,95,201.5,213.3,10,0,0,-1,53
711,837,1255,213.6,226.4,10,0,0,-1,49
49,3787,821,73.4,76.1,10,0,0,-1,49
905,2979,111,214.6,227.8,10,0,0,-1,53
930,4373,1798,211.8,222.6,10,0,0,-1,52
919,3292,2058,176.1,184.7,10,0,0,-1,54
799,3393,769,200.6,210.2,10,0,0,-1,54
918,4741,1022,184.6,196.2,10,0,0,-1,53
844,1394,950,200.5,210.7,10,0,0,-1,53
1115,4809,1447,210.8,223.2,10,0,0,-1,57
46,2923,4230,63.6,69.8,10,0,0,-1,55
735,938,1899,202.5,211.5,10,0,0,-1,51
856,927,3461,193.2,204.0,10,0,0,-1,51
753,1111,1943,183.3,191.5,10,0,0,-1,54
1116,2568,4988,243.4,254.2,10,0,0,-1,52
880,3405,1961,194.8,203.6,10,0,0,-1,50
1075,4060,3176,205.3,218.7,10,0,0,-1,51
780,3499,3886,207.3,219.9,10,0,0,-1,48
1000,1566,2559,163.4,172.6,10,0,0,-1,51
926,1981,735,68.5,79.5,10,0,0,-1,54
1112,1696,1860,208.5,221.5,10,0,0,-1,59
941,4434,1729,192.6,202.2,10,0,0,-1,56
758,2451,1481,197.7,207.9,10,0,0,-1,49
1109,3996,3364,215.6,229.2,10,0,0,-1,50
932,1694,4193,238.4,248.8,10,0,0,-1,49
819,2658,1449,178.0,186.0,10,0,0,-1,49
929,2693,2193,179.5,190.5,10,0,0,-1,56
990,4298,957,187.0,199.0,10,0,0,-1,50
945,719,2943,207.3,217.5,10,0,0,-1,56
851,2341,2124,187.3,195.9,10,0,0,-1,55
667,1143,836,207.0,219.0,10,0,0,-1,54
1033,4119,819,194.6,203.4,10,0,0,-1,50
906,440,2845,183.9,195.7,10,0,0,-1,55
907,4484,1789,184.7,196.1,10,0,0,-1,50
1046,3172,3303,209.0,219.0,10,0,0,-1,50
1043,2416,4800,208.0,221.6,10,0,0,-1,53
1060,2096,2423,210.9,223.1,10,0,0,-1,53
647,1708,579,193.8,205.0,10,0,0,-1,50
928,4182,3678,204.1,212.7,10,0,0,-1,51
98,1257,4515,51.7,54.5,10,0,0,-1,51
719,3578,1705,173.3,183.9,10,0,0,-1,54
665,3508,4139,191.0,199.4,10,0,0,-1,50
963,4426,2963,213.5,226.5,10,0,0,-1,56
1047,3009,787,229.1,242.9,10,0,0,-1,51
896,1647,4856,204.4,214.0,10,0,0,-1,57
892,2610,624,217.2,230.8,10,0,0,-1,54
10,2908,819,41.5,62.5,10,0,0,-1,50
916,3882,2390,204.6,217.0,10,0,0,-1,54
821,1411,1732,195.5,206.1,10,0,0,-1,53
1073,4398,2490,235.0,247.0,10,0,0,-1,53
979,1263,2754,179.7,189.5,10,0,0,-1,50
848,1794,3529,207.5,218.5,10,0,0,-1,50
893,1281,406,215.5,225.3,10,0,0,-1,54
1084,1463,3699,196.4,207.6,10,0,0,-1,54
669,1410,1331,230.0,246.0,10,0,0,-1,56
