demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
30,1433,2076,118.4,120.2,10,0,0,-1,53496
14,1453,2048,65.8,68.4,10,0,0,-1,21666
29,435,2024,98.4,99.2,10,0,0,-1,27832
117,120,2040,126.4,132.8,10,0,0,-1,21166
17,1026,2007,143.6,145.8,10,0,0,-1,63828
149,51,2085,115.5,120.5,10,0,0,-1,13000
123,1699,2003,127.4,133.8,10,0,0,-1,18166
6,1358,2055,83.8,86.4,10,0,0,-1,26666
15,327,2023,68.4,69.2,10,0,0,-1,25332
65,849,2037,102.2,107.4,10,0,0,-1,11500
26,1217,2006,89.2,91.6,10,0,0,-1,26332
21,1585,2020,87.2,89.6,10,0,0,-1,30832
36,443,2011,139.8,146.6,10,0,0,-1,24832
22,2,2017,62.4,63.2,10,0,0,-1,19666
141,522,2007,98.8,103.6,10,0,0,-1,10500
101,523,2039,124.5,129.5,10,0,0,-1,18166
23,237,2043,68.0,69.0,10,0,0,-1,28832
75,148,2061,135.7,141.9,10,0,0,-1,15000
7,213,2024,62.4,63.7,10,0,0,-1,16000
131,193,2003,166.1,174.7,10,0,0,-1,28332
140,1710,2039,142.2,149.4,10,0,0,-1,14000
1,9,1555,158.0,159.0,10,0,0,-1,51330
116,1694,2043,176.1,184.7,10,0,0,-1,35998
20,1001,2058,115.4,116.2,10,0,0,-1,35832
119,149,2011,164.9,172.3,10,0,0,-1,21666
156,1397,2075,167.1,175.7,10,0,0,-1,15000
9,952,2013,95.0,98.0,10,0,0,-1,51496
125,24,2011,184.9,194.3,10,0,0,-1,22666
155,1503,2076,152.3,160.1,10,0,0,-1,20166
157,277,2077,155.9,163.3,10,0,0,-1,16000
11,665,2000,94.4,95.7,10,0,0,-1,37498
35,1371,1279,232.7,244.9,10,0,0,-1,36832
5,786,2000,108.4,109.7,10,0,0,-1,33332
4,1684,1073,123.0,124.5,10,0,0,-1,37498
107,149,2061,169.0,177.0,10,0,0,-1,23666
18,748,2047,93.2,94.6,10,0,0,-1,24166
98,1220,2003,183.5,192.5,10,0,0,-1,27832
3,807,348,158.6,159.3,10,0,0,-1,61496
79,1777,2037,149.6,157.2,10,0,0,-1,22666
90,263,2002,199.2,208.4,10,0,0,-1,32832
164,821,2083,158.2,165.4,10,0,0,-1,16000
93,920,2024,208.1,218.7,10,0,0,-1,31332
31,1397,2075,49.4,50.2,10,0,0,-1,17000
8,93,2062,136.2,141.1,10,0,0,-1,59162
19,878,2057,99.2,100.6,10,0,0,-1,34998
66,1004,2044,181.2,190.4,10,0,0,-1,17000
13,872,2057,95.2,96.6,10,0,0,-1,28332
133,1079,2038,191.0,201.0,10,0,0,-1,26166
77,838,2003,217.1,227.7,10,0,0,-1,23666
102,879,2025,230.2,241.4,10,0,0,-1,32332
152,470,2077,174.4,182.8,10,0,0,-1,27832
0,1327,1555,152.2,153.1,10,0,0,-1,54830
28,873,2002,95.2,96.6,10,0,0,-1,36498
46,1918,2005,204.4,214.8,10,0,0,-1,24500
85,1045,2041,207.0,217.0,10,0,0,-1,31166
137,1539,2039,171.8,180.6,10,0,0,-1,18500
80,1453,2048,192.5,201.5,10,0,0,-1,26166
12,285,2062,123.6,125.8,10,0,0,-1,60662
40,141,2042,218.4,228.8,10,0,0,-1,30166
83,1201,2011,184.5,193.5,10,0,0,-1,15500
51,1289,2014,216.2,227.4,10,0,0,-1,27166
109,237,2043,232.0,244.0,10,0,0,-1,33832
45,1994,2038,239.1,251.7,10,0,0,-1,36332
67,1792,2014,183.5,192.5,10,0,0,-1,18000
42,1466,2012,218.8,229.6,10,0,0,-1,24666
24,874,2045,105.2,106.6,10,0,0,-1,44164
61,60,2060,217.2,228.4,10,0,0,-1,22500
49,1121,2010,190.9,200.3,10,0,0,-1,20500
25,335,1998,89.8,90.9,10,0,0,-1,50496
10,789,2018,92.2,93.1,10,0,0,-1,56662
128,929,2048,208.3,218.1,10,0,0,-1,24666
60,213,2024,205.4,215.8,10,0,0,-1,20500
104,1422,2045,201.3,211.1,10,0,0,-1,33832
94,751,2013,292.2,307.4,10,0,0,-1,49164
37,544,2018,254.9,268.3,10,0,0,-1,35832
142,1674,2033,189.3,199.1,10,0,0,-1,19500
158,1184,2084,252.3,264.1,10,0,0,-1,45664
96,223,2064,243.1,255.7,10,0,0,-1,43498
58,1183,2044,218.2,229.4,10,0,0,-1,49330
87,744,2041,242.9,254.3,10,0,0,-1,34832
55,1155,2044,197.3,207.1,10,0,0,-1,18000
146,1844,2078,277.1,291.7,10,0,0,-1,47164
163,1069,2075,215.3,225.1,10,0,0,-1,20000
89,979,2041,249.0,261.0,10,0,0,-1,30666
63,592,2002,238.7,250.9,10,0,0,-1,38998
136,1358,2020,224.3,236.1,10,0,0,-1,32166
143,1347,2075,219.1,229.7,10,0,0,-1,26166
135,589,2047,223.3,233.1,10,0,0,-1,19000
50,1692,2015,216.2,227.4,10,0,0,-1,25666
106,2,2017,215.2,226.4,10,0,0,-1,26666
144,1005,2073,238.7,250.9,10,0,0,-1,27666
54,935,2010,218.5,229.5,10,0,0,-1,25666
105,1395,2031,219.8,230.6,10,0,0,-1,25666
68,949,2048,223.4,233.8,10,0,0,-1,39998
92,1049,2003,244.1,256.7,10,0,0,-1,34332
74,1304,2005,223.9,235.3,10,0,0,-1,41498
120,1648,2038,231.7,243.9,10,0,0,-1,38998
84,1470,2042,357.0,375.0,10,0,0,-1,59330
57,884,2011,241.8,252.6,10,0,0,-1,33332
147,954,2085,252.4,264.8,10,0,0,-1,39998
108,10,2028,240.1,252.7,10,0,0,-1,27666
161,915,2085,241.7,253.9,10,0,0,-1,33332
69,952,2013,292.7,306.9,10,0,0,-1,57830
2,1634,136,147.0,148.0,10,0,0,-1,78828
70,789,2018,323.5,340.5,10,0,0,-1,59330
132,157,2048,276.3,290.1,10,0,0,-1,40998
73,1316,2030,245.1,257.7,10,0,0,-1,34332
114,878,2019,288.1,302.7,10,0,0,-1,42998
130,532,2008,265.3,279.1,10,0,0,-1,47664
33,1565,1315,263.3,277.1,10,0,0,-1,42498
162,427,2077,244.7,256.9,10,0,0,-1,22000
99,190,2051,251.4,263.8,10,0,0,-1,25000
88,1984,2035,269.7,283.9,10,0,0,-1,31166
126,1750,2007,280.1,294.7,10,0,0,-1,48664
145,19,2071,274.4,288.8,10,0,0,-1,47664
153,939,2073,261.7,273.9,10,0,0,-1,28666
124,236,2010,283.8,298.6,10,0,0,-1,43998
91,1360,2048,230.4,240.8,10,0,0,-1,23000
139,455,2047,301.3,317.1,10,0,0,-1,58830
82,327,2023,237.4,249.8,10,0,0,-1,33332
150,661,2076,282.3,296.1,10,0,0,-1,44498
154,1471,2071,312.2,327.4,10,0,0,-1,59496
159,497,2073,266.1,278.7,10,0,0,-1,22000
151,1796,2080,249.5,262.5,10,0,0,-1,47664
