LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,12,0,6666,15000,7,0,
1,0,1989,0,2500,40000,1,0,
2,1,2,0,6666,15000,17,0,
3,1,1991,0,2500,40000,10,0,
4,2,1,0,6666,15000,19,0,
5,2,3,0,6666,15000,5,0,
6,3,2,0,6666,15000,5,0,
7,3,4,0,6666,15000,10,0,
8,4,3,0,6666,15000,3,0,
9,4,5,0,6666,15000,13,0,
10,5,4,0,6666,15000,13,0,
11,5,6,0,6666,15000,10,0,
12,6,5,0,6666,15000,11,0,
13,6,7,0,6666,15000,18,0,
14,7,6,0,6666,15000,1,0,
15,7,8,0,6666,15000,1,0,
16,8,7,0,6666,15000,12,0,
17,8,9,0,6666,15000,7,0,
18,9,8,0,6666,15000,17,0,
19,9,10,0,6666,15000,3,0,
20,10,9,0,6666,15000,11,0,
21,10,11,0,6666,15000,17,0,
22,11,10,0,6666,15000,3,0,
23,11,12,0,6666,15000,14,0,
24,12,11,0,6666,15000,4,0,
25,12,0,0,6666,15000,8,0,
26,13,14,0,6666,15000,18,0,
27,13,19,0,6666,15000,5,0,
28,14,13,0,6666,15000,10,0,
29,14,1987,0,2500,40000,2,0,
30,15,16,0,6666,15000,4,0,
31,15,18,0,6666,15000,12,0,
32,15,1988,0,2500,40000,19,0,
33,15,1989,0,2500,40000,15,0,
34,16,15,0,6666,15000,13,0,
35,16,17,0,6666,15000,11,0,
36,17,16,0,6666,15000,7,0,
37,17,18,0,6666,15000,14,0,
38,18,17,0,6666,15000,16,0,
39,18,19,0,6666,15000,19,0,
40,18,15,0,6666,15000,17,0,
41,18,25,0,6666,15000,11,0,
42,19,18,0,6666,15000,13,0,
43,19,13,0,6666,15000,15,0,
44,20,21,0,6666,15000,2,0,
45,20,1992,0,2500,40000,12,0,
46,21,20,0,6666,15000,15,0,
47,21,22,0,6666,15000,10,0,
48,22,21,0,6666,15000,11,0,
49,22,23,0,6666,15000,7,0,
50,23,22,0,6666,15000,2,0,
51,23,24,0,6666,15000,5,0,
52,24,23,0,6666,15000,11,0,
53,24,25,0,6666,15000,17,0,
54,25,24,0,6666,15000,16,0,
55,25,18,0,6666,15000,3,0,
56,26,35,0,6666,15000,9,0,
57,26,1989,0,2500,40000,10,0,
58,27,28,0,6666,15000,3,0,
59,27,1989,0,2500,40000,19,0,
60,28,27,0,6666,15000,16,0,
61,28,29,0,6666,15000,17,0,
62,29,28,0,6666,15000,15,0,
63,29,30,0,6666,15000,12,0,
64,30,29,0,6666,15000,3,0,
65,30,31,0,6666,15000,11,0,
66,31,30,0,6666,15000,7,0,
67,31,32,0,6666,15000,19,0,
68,32,31,0,6666,15000,9,0,
69,32,33,0,6666,15000,15,0,
70,33,32,0,6666,15000,6,0,
