hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
33,1153,2063,110.4,112.7,10,0,0,-1,31832,5,103,92
33001,1153,2063,94.75,100.25,10,0,0,-1,31832,3,103,92
33002,1153,2063,105.75,111.25,10,0,0,-1,31832,5,103,92
38,1428,2084,62,64,10,0,0,-1,13500,3,66,46
38001,1428,2084,51,61,10,0,0,-1,13500,3,66,46
38002,1428,2084,71,81,10,0,0,-1,13500,5,66,46
154,764,2072,111.6,117.2,10,0,0,-1,11500,5,36,28
154001,764,2072,30,34,10,0,0,-1,11500,3,36,28
154002,764,2072,38,42,10,0,0,-1,11500,5,36,28
36,886,2087,103.4,105.7,10,0,0,-1,32998,3,110,85
36001,886,2087,91.25,103.75,10,0,0,-1,32998,3,110,85
36002,886,2087,116.25,128.75,10,0,0,-1,32998,5,110,85
30,549,2057,126.8,130.4,10,0,0,-1,52830,3,134,98
30001,549,2057,107,125,10,0,0,-1,52830,3,134,98
30002,549,2057,143,161,10,0,0,-1,52830,5,134,98
19,925,2063,80.8,82.9,10,0,0,-1,25166,3,85,64
19001,925,2063,69.25,79.75,10,0,0,-1,25166,3,85,64
19002,925,2063,90.25,100.75,10,0,0,-1,25166,5,85,64
32,243,2058,164.8,168.4,10,0,0,-1,46664,3,172,136
32001,243,2058,145,163,10,0,0,-1,46664,3,172,136
32002,243,2058,181,199,10,0,0,-1,46664,5,172,136
23,1897,2001,124.6,125.8,10,0,0,-1,37498,3,127,115
23001,1897,2001,118,124,10,0,0,-1,37498,3,127,115
23002,1897,2001,130,136,10,0,0,-1,37498,5,127,115
17,479,2058,115.6,118.3,10,0,0,-1,44164,3,127,94
17001,479,2058,102.25,118.75,10,0,0,-1,44164,3,127,94
17002,479,2058,135.25,151.75,10,0,0,-1,44164,5,127,94
28,1815,2061,130.2,131.1,10,0,0,-1,50830,3,141,123
28001,1815,2061,127.5,136.5,10,0,0,-1,50830,3,141,123
28002,1815,2061,145.5,154.5,10,0,0,-1,50830,5,141,123
102,1727,2050,118,124,10,0,0,-1,16500,5,37,30
102001,1727,2050,31.75,35.25,10,0,0,-1,16500,3,37,30
102002,1727,2050,38.75,42.25,10,0,0,-1,16500,5,37,30
37,652,2077,117.6,121.3,10,0,0,-1,47496,3,125,88
37001,652,2077,97.25,115.75,10,0,0,-1,47496,3,125,88
37002,652,2077,134.25,152.75,10,0,0,-1,47496,5,125,88
1,1659,696,76.2,77.1,10,0,0,-1,24166,3,78,69
1001,1659,696,71.25,75.75,10,0,0,-1,24166,3,78,69
1002,1659,696,80.25,84.75,10,0,0,-1,24166,5,78,69
157,840,2072,127.6,133.2,10,0,0,-1,15000,5,28,28
