hello
demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
79,259,452,186.6,196.2,10,0,0,-1,22666,5,57,48
79001,259,452,50.25,54.75,10,0,0,-1,22666,3,57,48
79002,259,452,59.25,63.75,10,0,0,-1,22666,5,57,48
82,160,452,254.9,268.3,10,0,0,-1,34832,5,77,67
82001,160,452,69.5,74.5,10,0,0,-1,34832,3,77,67
82002,160,452,79.5,84.5,10,0,0,-1,34832,5,77,67
5,410,452,92.6,96.3,10,0,0,-1,48830,3,100,63
5001,410,452,72.25,90.75,10,0,0,-1,48830,3,100,63
5002,410,452,109.25,127.75,10,0,0,-1,48830,5,100,63
137,243,452,205.1,215.7,10,0,0,-1,45664,5,62,53
137001,243,452,55.25,59.75,10,0,0,-1,45664,3,62,53
137002,243,452,64.25,68.75,10,0,0,-1,45664,5,62,53
4,198,467,57.8,58.4,10,0,0,-1,15000,5,55,53
4001,198,467,53.5,54.5,10,0,0,-1,15000,3,55,53
4002,198,467,55.5,56.5,10,0,0,-1,15000,5,55,53
2,171,467,83.8,84.4,10,0,0,-1,21666,5,81,79
2001,171,467,79.5,80.5,10,0,0,-1,21666,3,81,79
2002,171,467,81.5,82.5,10,0,0,-1,21666,5,81,79
3,199,467,63.8,64.4,10,0,0,-1,21666,5,61,59
3001,199,467,59.5,60.5,10,0,0,-1,21666,3,61,59
3002,199,467,61.5,62.5,10,0,0,-1,21666,5,61,59
136,311,452,227.3,239.1,10,0,0,-1,44664,5,82,59
136001,311,452,64.75,76.25,10,0,0,-1,44664,3,82,59
136002,311,452,87.75,99.25,10,0,0,-1,44664,5,82,59
188,1,452,186.6,196.2,10,0,0,-1,18500,5,57,48
188001,1,452,50.25,54.75,10,0,0,-1,18500,3,57,48
188002,1,452,59.25,63.75,10,0,0,-1,18500,5,57,48
27,46,452,179.2,188.4,10,0,0,-1,18500,5,55,46
27001,46,452,48.25,52.75,10,0,0,-1,18500,3,55,46
27002,46,452,57.25,61.75,10,0,0,-1,18500,5,55,46
48,282,452,186.5,195.5,10,0,0,-1,18000,5,54,45
48001,282,452,47.25,51.75,10,0,0,-1,18000,3,54,45
48002,282,452,56.25,60.75,10,0,0,-1,18000,5,54,45
210,163,452,276.8,289.6,10,0,0,-1,53830,5,107,64
210001,163,452,74.75,96.25,10,0,0,-1,53830,3,107,64
210002,163,452,117.75,139.25,10,0,0,-1,53830,5,107,64
36,15,452,290.2,305.4,10,0,0,-1,46498,5,85,76
36001,15,452,78.25,82.75,10,0,0,-1,46498,3,85,76
36002,15,452,87.25,91.75,10,0,0,-1,46498,5,85,76
73,270,467,191,201,10,0,0,-1,17000,5,56,50
73001,270,467,51.5,54.5,10,0,0,-1,17000,3,56,50
73002,270,467,57.5,60.5,10,0,0,-1,17000,5,56,50
117,104,467,187.3,197.1,10,0,0,-1,23666,5,55,49
117001,104,467,50.5,53.5,10,0,0,-1,23666,3,55,49
