LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,10,0,6666,15000,9,0,
1,0,446,0,2500,40000,1,0,
2,1,2,0,6666,15000,5,0,
3,1,450,0,2500,40000,8,0,
4,2,1,0,6666,15000,1,0,
5,2,3,0,6666,15000,12,0,
6,3,2,0,6666,15000,9,0,
7,3,4,0,6666,15000,10,0,
8,4,3,0,6666,15000,7,0,
9,4,5,0,6666,15000,13,0,
10,5,4,0,6666,15000,13,0,
11,5,6,0,6666,15000,18,0,
12,6,5,0,6666,15000,6,0,
13,6,7,0,6666,15000,8,0,
14,7,6,0,6666,15000,5,0,
15,7,8,0,6666,15000,5,0,
16,8,7,0,6666,15000,3,0,
17,8,9,0,6666,15000,3,0,
18,9,8,0,6666,15000,6,0,
19,9,10,0,6666,15000,3,0,
20,10,9,0,6666,15000,15,0,
21,10,0,0,6666,15000,6,0,
22,11,12,0,6666,15000,3,0,
23,11,446,0,2500,40000,17,0,
24,12,11,0,6666,15000,8,0,
25,12,13,0,6666,15000,8,0,
26,13,12,0,6666,15000,19,0,
27,13,16,0,6666,15000,15,0,
28,14,15,0,6666,15000,6,0,
29,14,449,0,2500,40000,9,0,
30,15,14,0,6666,15000,11,0,
31,15,16,0,6666,15000,8,0,
32,16,15,0,6666,15000,12,0,
33,16,13,0,6666,15000,11,0,
34,16,20,0,6666,15000,19,0,
35,17,18,0,6666,15000,8,0,
36,17,450,0,2500,40000,14,0,
37,18,17,0,6666,15000,5,0,
38,18,19,0,6666,15000,12,0,
39,19,18,0,6666,15000,6,0,
40,19,20,0,6666,15000,17,0,
41,20,19,0,6666,15000,13,0,
42,20,16,0,6666,15000,2,0,
43,21,35,0,6666,15000,1,0,
44,21,446,0,2500,40000,10,0,
45,22,23,0,6666,15000,12,0,
46,22,451,0,2500,40000,3,0,
47,23,22,0,6666,15000,9,0,
48,23,24,0,6666,15000,8,0,
49,24,23,0,6666,15000,17,0,
50,24,25,0,6666,15000,19,0,
51,25,24,0,6666,15000,14,0,
52,25,26,0,6666,15000,9,0,
53,26,25,0,6666,15000,9,0,
54,26,27,0,6666,15000,16,0,
55,27,26,0,6666,15000,4,0,
56,27,28,0,6666,15000,14,0,
57,28,27,0,6666,15000,13,0,
58,28,29,0,6666,15000,8,0,
59,29,28,0,6666,15000,15,0,
60,29,30,0,6666,15000,1,0,
61,30,29,0,6666,15000,2,0,
62,30,31,0,6666,15000,19,0,
63,31,30,0,6666,15000,17,0,
64,31,32,0,6666,15000,12,0,
65,32,31,0,6666,15000,15,0,
66,32,33,0,6666,15000,8,0,
67,33,32,0,6666,15000,14,0,
68,33,34,0,6666,15000,2,0,
69,34,33,0,6666,15000,2,0,
70,34,35,0,6666,15000,10,0,
71,35,34,0,6666,15000,6,0,
72,35,21,0,6666,15000,14,0,
73,36,47,0,6666,15000,2,0,
74,36,448,0,2500,40000,12,0,
75,37,38,0,6666,15000,10,0,
76,37,450,0,2500,40000,15,0,
77,38,37,0,6666,15000,4,0,
78,38,39,0,6666,15000,16,0,
79,39,38,0,6666,15000,18,0,
80,39,40,0,6666,15000,12,0,
81,40,39,0,6666,15000,4,0,
82,40,41,0,6666,15000,9,0,
83,41,40,0,6666,15000,13,0,
84,41,42,0,6666,15000,4,0,
85,42,41,0,6666,15000,9,0,
86,42,43,0,6666,15000,9,0,
87,43,42,0,6666,15000,7,0,
88,43,44,0,6666,15000,3,0,
89,44,43,0,6666,15000,19,0,
90,44,45,0,6666,15000,14,0,
91,45,44,0,6666,15000,6,0,
92,45,46,0,6666,15000,15,0,
93,46,45,0,6666,15000,18,0,
94,46,47,0,6666,15000,17,0,
95,47,46,0,6666,15000,13,0,
96,47,36,0,6666,15000,12,0,
97,48,59,0,6666,15000,13,0,
98,48,447,0,2500,40000,1,0,
99,49,50,0,6666,15000,10,0,
100,49,447,0,2500,40000,11,0,
101,50,49,0,6666,15000,9,0,
102,50,51,0,6666,15000,9,0,
103,51,50,0,6666,15000,19,0,
104,51,52,0,6666,15000,19,0,
105,52,51,0,6666,15000,16,0,
106,52,53,0,6666,15000,1,0,
107,53,52,0,6666,15000,5,0,
108,53,54,0,6666,15000,15,0,
109,54,53,0,6666,15000,16,0,
110,54,55,0,6666,15000,12,0,
111,55,54,0,6666,15000,6,0,
112,55,56,0,6666,15000,3,0,
113,56,55,0,6666,15000,3,0,
114,56,57,0,6666,15000,7,0,
115,57,56,0,6666,15000,17,0,
116,57,58,0,6666,15000,2,0,
117,58,57,0,6666,15000,19,0,
118,58,59,0,6666,15000,13,0,
119,59,58,0,6666,15000,2,0,
120,59,48,0,6666,15000,5,0,
121,60,67,0,6666,15000,7,0,
122,60,73,0,6666,15000,3,0,
123,60,450,0,2500,40000,1,0,
124,61,62,0,6666,15000,2,0,
125,61,450,0,2500,40000,17,0,
126,62,61,0,6666,15000,16,0,
127,62,63,0,6666,15000,11,0,
128,63,62,0,6666,15000,10,0,
129,63,64,0,6666,15000,17,0,
130,64,63,0,6666,15000,19,0,
131,64,65,0,6666,15000,12,0,
132,65,64,0,6666,15000,14,0,
133,65,66,0,6666,15000,10,0,
134,66,65,0,6666,15000,11,0,
135,66,73,0,6666,15000,1,0,
136,67,68,0,6666,15000,18,0,
137,67,60,0,6666,15000,16,0,
138,68,67,0,6666,15000,18,0,
139,68,69,0,6666,15000,4,0,
140,69,68,0,6666,15000,18,0,
141,69,70,0,6666,15000,3,0,
142,70,69,0,6666,15000,8,0,
143,70,71,0,6666,15000,15,0,
144,71,70,0,6666,15000,15,0,
145,71,72,0,6666,15000,8,0,
146,72,71,0,6666,15000,4,0,
147,72,73,0,6666,15000,19,0,
148,73,72,0,6666,15000,1,0,
149,73,66,0,6666,15000,11,0,
150,73,60,0,6666,15000,9,0,
151,74,75,0,6666,15000,13,0,
152,74,85,0,6666,15000,13,0,
153,74,76,0,6666,15000,18,0,
154,74,78,0,6666,15000,8,0,
155,74,80,0,6666,15000,13,0,
156,74,82,0,6666,15000,13,0,
157,74,84,0,6666,15000,4,0,
158,74,446,0,2500,40000,4,0,
159,75,74,0,6666,15000,4,0,
160,75,76,0,6666,15000,13,0,
161,76,75,0,6666,15000,16,0,
162,76,77,0,6666,15000,7,0,
