demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
168,198,461,208.4,218.8,10,0,0,-1,28166
55,155,480,140.0,146.0,10,0,0,-1,15000
156,347,462,172.3,180.1,10,0,0,-1,15500
231,193,479,140.0,146.0,10,0,0,-1,16000
64,271,479,143.7,149.9,10,0,0,-1,21666
223,329,461,234.3,246.1,10,0,0,-1,37832
78,10,463,148.8,155.6,10,0,0,-1,23666
196,87,480,160.3,168.1,10,0,0,-1,17500
136,22,462,141.4,147.8,10,0,0,-1,17500
116,437,461,192.3,202.1,10,0,0,-1,38332
125,438,461,196.0,206.0,10,0,0,-1,44998
57,97,473,148.8,155.6,10,0,0,-1,16500
274,10,462,159.5,166.5,10,0,0,-1,24666
2,380,447,93.4,95.7,10,0,0,-1,43330
160,223,473,163.6,171.2,10,0,0,-1,20166
186,285,478,161.4,169.8,10,0,0,-1,22666
254,285,478,161.4,169.8,10,0,0,-1,22666
34,64,477,206.6,216.2,10,0,0,-1,37998
11,70,472,107.2,108.6,10,0,0,-1,40664
129,85,462,168.5,175.5,10,0,0,-1,24666
47,414,461,214.5,225.5,10,0,0,-1,45998
221,207,463,158.5,165.5,10,0,0,-1,18000
262,284,462,180.3,188.1,10,0,0,-1,18000
85,248,478,165.1,173.7,10,0,0,-1,23666
139,164,463,169.6,177.2,10,0,0,-1,24666
269,316,465,187.2,196.4,10,0,0,-1,33832
165,58,467,178.4,186.8,10,0,0,-1,28832
62,21,463,159.9,167.3,10,0,0,-1,18000
249,85,466,167.4,175.8,10,0,0,-1,23666
207,59,471,137.7,143.9,10,0,0,-1,21166
266,164,462,180.3,188.1,10,0,0,-1,24666
248,283,467,158.5,165.5,10,0,0,-1,16000
141,270,479,173.3,181.1,10,0,0,-1,31332
268,89,461,256.5,269.5,10,0,0,-1,42832
158,327,462,196.9,206.3,10,0,0,-1,20500
10,266,467,101.6,103.8,10,0,0,-1,49996
232,263,462,195.7,205.9,10,0,0,-1,33332
176,218,462,181.9,189.3,10,0,0,-1,28832
