LinkID,SourceID,DestinationID,Peer ID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,2658,0,59,10000,61,0,
1,2658,0,0,15,10000,51,0,
2,0,4509,0,81,10000,87,0,
3,4509,0,0,6,10000,5,0,
4,0,4592,0,2,10000,42,0,
5,4592,0,0,96,10000,18,0,
6,0,4715,0,12,10000,80,0,
7,4715,0,0,26,10000,45,0,
8,0,6194,0,3,10000,7,0,
9,6194,0,0,28,10000,19,0,
10,0,6700,0,15,10000,45,0,
11,6700,0,0,38,10000,20,0,
12,0,6949,0,35,10000,13,0,
13,6949,0,0,39,10000,47,0,
14,0,8096,0,6,10000,75,0,
15,8096,0,0,46,10000,53,0,
16,1,753,0,26,10000,53,0,
17,753,1,0,50,10000,31,0,
18,1,1294,0,3,10000,62,0,
19,1294,1,0,2,10000,55,0,
20,1,1712,0,72,10000,20,0,
21,1712,1,0,29,10000,29,0,
22,1,2277,0,93,10000,55,0,
23,2277,1,0,96,10000,58,0,
24,1,2673,0,58,10000,11,0,
25,2673,1,0,67,10000,22,0,
26,1,2894,0,90,10000,20,0,
27,2894,1,0,96,10000,9,0,
28,1,3310,0,36,10000,90,0,
29,3310,1,0,4,10000,48,0,
30,1,4066,0,41,10000,20,0,
31,4066,1,0,90,10000,27,0,
32,1,4329,0,36,10000,50,0,
33,4329,1,0,16,10000,2,0,
34,1,4771,0,29,10000,50,0,
35,4771,1,0,10,10000,70,0,
36,1,6110,0,65,10000,81,0,
37,6110,1,0,28,10000,53,0,
38,1,6436,0,15,10000,69,0,
39,6436,1,0,33,10000,85,0,
40,1,7594,0,69,10000,28,0,
41,7594,1,0,19,10000,66,0,
42,1,8706,0,2,10000,78,0,
43,8706,1,0,3,10000,72,0,
44,1,9328,0,11,10000,17,0,
45,9328,1,0,32,10000,23,0,
46,2,2031,0,37,10000,79,0,
47,2031,2,0,55,10000,61,0,
48,2,2918,0,10,10000,56,0,
49,2918,2,0,19,10000,69,0,
50,2,3377,0,38,10000,54,0,
51,3377,2,0,93,10000,82,0,
52,2,3476,0,2,10000,41,0,
53,3476,2,0,6,10000,24,0,
54,2,5927,0,24,10000,67,0,
55,5927,2,0,61,10000,48,0,
56,2,6018,0,65,10000,3,0,
57,6018,2,0,92,10000,91,0,
58,2,6936,0,96,10000,8,0,
59,6936,2,0,19,10000,81,0,
60,2,8936,0,4,10000,13,0,
61,8936,2,0,61,10000,87,0,
62,2,9389,0,18,10000,72,0,
63,9389,2,0,65,10000,77,0,
64,2,9945,0,92,10000,12,0,
65,9945,2,0,3,10000,99,0,
66,3,177,0,86,10000,40,0,
67,177,3,0,46,10000,42,0,
68,3,509,0,39,10000,39,0,
69,509,3,0,3,10000,28,0,
70,3,1612,0,42,10000,56,0,
71,1612,3,0,41,10000,43,0,
72,3,2063,0,77,10000,41,0,
73,2063,3,0,57,10000,72,0,
74,3,2191,0,35,10000,75,0,
75,2191,3,0,29,10000,13,0,
76,3,5599,0,11,10000,36,0,
77,5599,3,0,81,10000,31,0,
78,3,6763,0,52,10000,72,0,
79,6763,3,0,95,10000,59,0,
80,3,7106,0,72,10000,94,0,
81,7106,3,0,55,10000,9,0,
82,3,7337,0,18,10000,10,0,
83,7337,3,0,31,10000,16,0,
84,3,7672,0,4,10000,88,0,
85,7672,3,0,83,10000,11,0,
86,3,8261,0,58,10000,70,0,
87,8261,3,0,8,10000,41,0,
88,3,8710,0,73,10000,67,0,
89,8710,3,0,98,10000,18,0,
90,3,9534,0,51,10000,52,0,
91,9534,3,0,68,10000,85,0,
92,4,422,0,66,10000,20,0,
93,422,4,0,83,10000,86,0,
94,4,443,0,20,10000,21,0,
95,443,4,0,85,10000,79,0,
96,4,2054,0,8,10000,11,0,
97,2054,4,0,11,10000,98,0,
98,4,2822,0,76,10000,77,0,
99,2822,4,0,52,10000,79,0,
100,4,3749,0,40,10000,75,0,
101,3749,4,0,24,10000,60,0,
102,4,5351,0,14,10000,41,0,
103,5351,4,0,50,10000,83,0,
104,4,6654,0,41,10000,55,0,
105,6654,4,0,82,10000,39,0,
106,4,7421,0,75,10000,58,0,
107,7421,4,0,7,10000,87,0,
108,4,8121,0,63,10000,16,0,
109,8121,4,0,33,10000,89,0,
110,4,9234,0,29,10000,18,0,
111,9234,4,0,61,10000,90,0,
112,5,2639,0,59,10000,45,0,
113,2639,5,0,8,10000,61,0,
114,5,3071,0,71,10000,35,0,
115,3071,5,0,81,10000,84,0,
116,5,3219,0,85,10000,78,0,
117,3219,5,0,17,10000,71,0,
118,5,4287,0,71,10000,85,0,
