demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,3784,3361,329.933,343.067,10,0,0,-1,98.0
1,3852,301,405.0,421.0,10,0,0,-1,93.0
2,1146,2272,176.067,180.933,10,0,0,-1,147.0
3,2,2398,369.8,383.2,10,0,0,-1,98.0
4,1049,1828,314.867,327.133,10,0,0,-1,89.0
5,3541,3485,459.067,476.933,10,0,0,-1,67.0
6,1207,3554,387.067,401.933,10,0,0,-1,101.0
7,679,528,234.467,243.533,10,0,0,-1,121.0
8,2914,903,337.467,349.533,10,0,0,-1,81.0
9,3921,3511,391.333,406.667,10,0,0,-1,66.0
10,2367,1981,369.0,383.0,10,0,0,-1,75.0
11,2952,3438,301.467,312.533,10,0,0,-1,75.0
12,1322,887,446.533,463.467,10,0,0,-1,81.0
13,2077,149,388.8,403.2,10,0,0,-1,102.0
14,2319,1439,263.067,271.933,10,0,0,-1,88.0
15,2042,1418,349.667,362.333,10,0,0,-1,96.0
16,520,1305,274.333,284.667,10,0,0,-1,108.0
17,531,2903,447.333,463.667,10,0,0,-1,93.0
18,3212,3225,366.733,382.267,10,0,0,-1,48.0
19,3521,2634,444.267,461.733,10,0,0,-1,65.0
20,2873,2633,218.2,225.8,10,0,0,-1,105.0
21,477,2530,417.667,433.333,10,0,0,-1,81.0
22,664,2639,410.867,427.133,10,0,0,-1,104.0
23,1202,810,209.733,216.267,10,0,0,-1,95.0
24,1055,3649,273.133,282.867,10,0,0,-1,104.0
25,772,1032,291.0,302.0,10,0,0,-1,73.0
26,1928,2775,237.667,246.333,10,0,0,-1,99.0
27,3710,3699,453.6,471.4,10,0,0,-1,101.0
28,3133,2232,356.533,370.467,10,0,0,-1,80.0
29,603,89,291.067,300.933,10,0,0,-1,99.0
30,135,668,194.6,200.4,10,0,0,-1,136.0
31,3249,5,83.3333,84.6667,10,0,0,-1,218.0
32,1283,3978,419.667,436.333,10,0,0,-1,84.0
33,3554,210,136.867,140.133,10,0,0,-1,187.0
34,1915,113,305.8,317.2,10,0,0,-1,88.0
35,1913,120,227.333,235.667,10,0,0,-1,125.0
36,3797,1469,144.333,147.667,10,0,0,-1,125.0
37,2008,689,266.667,276.333,10,0,0,-1,74.0
38,485,1086,423.467,439.533,10,0,0,-1,86.0
39,188,2449,275.333,285.667,10,0,0,-1,85.0
40,1690,1862,280.133,290.867,10,0,0,-1,70.0
41,2505,2363,442.067,458.933,10,0,0,-1,81.0
42,1981,1685,363.533,376.467,10,0,0,-1,99.0
43,3792,3602,434.067,450.933,10,0,0,-1,91.0
44,385,3564,340.733,353.267,10,0,0,-1,71.0
45,1399,2707,138.667,142.333,10,0,0,-1,216.0
46,1332,2734,399.667,415.333,10,0,0,-1,80.0
47,2398,3395,452.733,470.267,10,0,0,-1,93.0
48,2055,1418,428.067,444.933,10,0,0,-1,111.0
