LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,14,0,6,10000,9,7,0|7|12|91|95|105|118
1,14,0,0,39,10000,72,9,1|8|13|26|30|43|65|101|106
2,1,17,0,4,10000,69,7,2|4|41|98|119|127|129
3,17,1,0,79,10000,38,8,3|9|12|13|36|81|93|124
4,2,128,0,10,10000,3,8,4|1|13|21|28|45|94|105
5,128,2,0,40,10000,31,8,5|4|7|8|13|22|34|73
6,2,3,0,90,10000,34,6,6|7|30|68|115|132
7,3,2,0,55,10000,98,8,7|13|22|59|69|74|97|136
8,3,125,0,7,10000,86,5,8|12|20|51|128
9,125,3,0,21,10000,95,11,9|3|7|8|13|14|29|47|65|73|73
10,4,16,0,72,10000,93,7,10|40|51|55|56|85|113
11,16,4,0,22,10000,26,5,11|30|36|52|59
12,4,5,0,38,10000,30,7,12|26|40|63|68|122|128
13,5,4,0,8,10000,7,4,13|4|6|50
14,5,6,0,14,10000,22,7,14|3|69|86|95|97|119
15,6,5,0,52,10000,46,12,15|5|30|31|34|38|41|55|90|97|109|119
16,6,7,0,16,10000,41,4,16|35|41|67
17,7,6,0,52,10000,95,10,17|7|20|50|55|77|83|91|109|113
18,7,8,0,49,10000,9,8,18|7|46|74|80|95|116|137
19,8,7,0,43,10000,54,10,19|21|31|36|50|81|83|95|100|112
20,8,9,0,82,10000,1,9,20|7|12|20|71|73|74|83|96
21,9,8,0,59,10000,77,5,21|16|30|83|85
22,9,14,0,85,10000,73,10,22|5|12|17|28|41|41|92|108|127
23,14,9,0,27,10000,12,13,23|16|25|26|27|61|63|68|72|74|95|109|115
24,10,16,0,89,10000,83,10,24|16|30|46|57|59|61|69|74|94
25,16,10,0,1,10000,47,10,25|22|65|77|81|96|96|99|106|113
26,10,46,0,80,10000,6,8,26|27|34|44|65|73|88|92
27,46,10,0,16,10000,30,7,27|38|40|82|87|96|105
28,11,98,0,66,10000,78,7,28|34|40|73|75|96|99
29,98,11,0,32,10000,58,5,29|34|68|79|94
30,11,100,0,2,10000,94,5,30|41|73|128|131
31,100,11,0,12,10000,84,11,31|7|27|31|33|40|60|69|80|104|105
32,11,95,0,38,10000,36,8,32|11|35|62|64|73|96|100
33,95,11,0,89,10000,70,5,33|27|53|63|120
34,12,117,0,64,10000,87,10,34|14|57|58|72|74|95|116|118|125
35,117,12,0,89,10000,59,7,35|55|75|93|96|97|111
36,13,147,0,20,10000,59,10,36|3|52|56|61|72|73|74|81|93
37,147,13,0,53,10000,40,15,37|11|13|17|31|40|50|56|84|85|100|103|122|125|135
38,14,94,0,75,10000,13,6,38|4|5|13|28|85
39,94,14,0,41,10000,50,8,39|2|4|13|18|65|75|122
40,15,131,0,86,10000,26,19,40|29|35|38|39|41|45|52|56|65|65|72|78|80|96|97|103|104|108
41,131,15,0,52,10000,45,14,41|4|5|11|20|26|30|46|62|63|80|111|113|115
42,15,125,0,20,10000,83,8,42|16|30|41|54|77|117|128
43,125,15,0,2,10000,45,7,43|9|36|60|77|80|120
44,16,95,0,40,10000,46,7,44|6|12|23|43|50|109
45,95,16,0,29,10000,58,11,45|29|41|45|50|59|61|77|96|100|100
46,17,132,0,87,10000,53,9,46|15|43|53|68|96|96|100|103
47,132,17,0,8,10000,56,6,47|16|33|83|96|105
48,17,94,0,54,10000,68,5,48|28|121|122|129
49,94,17,0,37,10000,63,8,49|4|7|13|61|69|106|113
50,18,41,0,5,10000,6,10,50|6|20|30|40|50|52|80|120|120
51,41,18,0,7,10000,53,10,51|14|67|68|74|81|86|100|109|122
52,18,103,0,88,10000,60,6,52|25|40|63|69|73
53,103,18,0,83,10000,33,7,53|29|29|30|60|71|81
54,19,59,0,24,10000,9,9,54|12|12|26|53|79|83|83|106
55,59,19,0,33,10000,10,6,55|55|69|70|80|83
56,19,142,0,23,10000,86,7,56|21|21|27|27|30|54
57,142,19,0,62,10000,95,11,57|3|27|37|41|55|74|81|84|84|112
58,20,144,0,24,10000,90,10,58|20|20|23|51|69|84|84|97|99
59,144,20,0,13,10000,19,9,59|22|25|26|36|43|53|65|98
60,20,133,0,66,10000,75,8,60|12|49|54|68|75|102|127
61,133,20,0,38,10000,71,10,61|23|27|45|60|81|87|92|121|122
62,20,134,0,87,10000,26,13,62|4|4|5|28|46|59|65|72|75|85|85|92
63,134,20,0,80,10000,69,7,63|4|40|72|85|121|128
64,20,141,0,56,10000,49,10,64|17|21|25|28|72|77|79|80|85
65,141,20,0,93,10000,64,13,65|8|24|41|46|47|55|62|96|96|96|130|132
66,20,80,0,51,10000,71,11,66|13|13|27|33|47|60|85|98|103|128
67,80,20,0,61,10000,32,8,67|3|27|37|39|45|72|74
68,20,81,0,25,10000,37,7,68|11|24|69|94|106|116
69,81,20,0,37,10000,59,4,69|59|97|98
70,21,26,0,74,10000,60,7,70|24|29|52|52|97|119
71,26,21,0,86,10000,93,8,71|13|16|17|96|100|124|129
72,21,23,0,42,10000,8,13,72|3|21|29|40|47|52|54|60|73|77|96|106
73,23,21,0,31,10000,27,7,73|25|27|46|51|63|74
74,22,142,0,78,10000,18,6,74|27|43|59|62|81
75,142,22,0,14,10000,57,8,75|7|26|35|65|97|112|128
76,22,23,0,83,10000,60,7,76|20|30|36|44|60|83
77,23,22,0,39,10000,79,7,77|13|18|40|46|53|70
78,24,81,0,8,10000,27,9,78|7|8|22|37|52|68|73|103
79,81,24,0,66,10000,60,5,79|15|31|61|80
80,24,27,0,9,10000,93,8,80|4|36|38|50|59|60|102
81,27,24,0,98,10000,75,5,81|35|42|43|83
82,24,25,0,53,10000,45,3,82|73|81
83,25,24,0,88,10000,84,5,83|1|18|41|72
84,25,89,0,16,10000,17,4,84|5|20|84
85,89,25,0,26,10000,19,4,85|22|30|111
86,25,50,0,67,10000,83,8,86|13|22|47|73|82|98|99
87,50,25,0,70,10000,82,6,87|3|29|46|62|105
88,26,27,0,22,10000,27,6,88|4|21|44|46|60
89,27,26,0,24,10000,16,8,89|21|40|65|116|121|122|137
90,27,144,0,63,10000,98,8,90|6|54|73|80|97|108|139
91,144,27,0,41,10000,75,8,91|4|25|34|64|99|107|123
92,28,54,0,42,10000,1,6,92|2|29|37|97|113
93,54,28,0,27,10000,81,7,93|5|26|39|47|52|55
94,28,142,0,1,10000,96,10,94|28|30|36|46|47|65|87|108|123
95,142,28,0,55,10000,5,5,95|27|63|66|73
96,29,51,0,83,10000,46,8,96|2|28|47|50|65|74|105
97,51,29,0,54,10000,30,9,97|12|38|55|62|93|103|118|118
98,29,139,0,84,10000,72,8,98|21|37|68|87|117|119|122
99,139,29,0,82,10000,3,3,99|23|46
100,29,142,0,17,10000,73,8,100|14|45|50|70|74|95|99
101,142,29,0,21,10000,47,2,101|95
102,30,126,0,21,10000,17,9,102|34|37|41|49|68|71|75|105
103,126,30,0,70,10000,46,9,103|27|28|39|43|44|82|97|130
104,31,72,0,18,10000,42,8,104|2|7|11|23|63|68|92
105,72,31,0,63,10000,96,5,105|1|28|48|116
106,31,62,0,42,10000,98,9,106|7|11|21|27|30|73|93|97
107,62,31,0,26,10000,49,4,107|50|59|80
108,32,129,0,17,10000,86,8,108|11|23|35|45|52|68|94
109,129,32,0,70,10000,18,8,109|20|52|55|60|98|129|130
110,32,35,0,83,10000,18,7,110|18|50|78|94|104|105
111,35,32,0,22,10000,75,12,111|45|51|61|68|69|76|81|81|83|97|107
112,33,129,0,94,10000,62,8,112|1|17|39|69|80|89|113
113,129,33,0,39,10000,8,12,113|5|12|13|13|16|18|25|68|96|120|122
114,33,61,0,33,10000,94,8,114|4|11|12|17|33|63|101
115,61,33,0,63,10000,99,5,115|1|8|59|74
116,34,72,0,29,10000,13,11,116|19|28|32|47|57|61|88|91|105|109
117,72,34,0,48,10000,94,14,117|11|20|38|43|53|73|80|91|97|105|106|109|112
118,34,73,0,82,10000,76,7,118|3|6|49|63|96|98
119,73,34,0,87,10000,27,5,119|8|50|74|82
120,35,73,0,58,10000,21,7,120|5|51|61|61|83|135
121,73,35,0,36,10000,74,8,121|3|26|40|58|81|84|99
122,36,75,0,2,10000,74,6,122|6|8|82|85|128
123,75,36,0,38,10000,81,7,123|2|5|48|62|73|82
124,36,39,0,61,10000,17,5,124|43|83|86|98
125,39,36,0,92,10000,76,6,125|4|5|48|51|53
126,37,122,0,43,10000,1,8,126|1|13|32|68|74|109|111
127,122,37,0,32,10000,60,5,127|12|45|54|115
128,37,75,0,4,10000,90,15,128|5|6|6|13|35|42|50|50|75|77|80|86|94|101
129,75,37,0,56,10000,24,4,129|85|99|127
130,38,76,0,35,10000,11,8,130|40|42|74|81|105|120|122
131,76,38,0,68,10000,44,10,131|2|41|54|64|73|91|105|115|115
132,38,77,0,58,10000,68,13,132|11|19|21|34|40|61|68|77|81|82|101|115
133,77,38,0,40,10000,10,5,133|17|37|54|114
134,39,70,0,96,10000,9,7,134|5|7|18|72|72|96
135,70,39,0,87,10000,36,7,135|36|50|69|87|92|118
136,40,64,0,69,10000,24,7,136|1|75|82|86|107|108
137,64,40,0,23,10000,69,3,137|26|79
138,40,65,0,55,10000,13,11,138|6|22|26|39|63|94|98|127|129|129
139,65,40,0,63,10000,96,6,139|8|11|16|62|83
140,40,66,0,55,10000,30,8,140|6|65|73|118|135|136|139
141,66,40,0,82,10000,28,8,141|22|30|35|72|73|85|92
142,40,63,0,45,10000,19,7,142|2|18|37|39|50|51
143,63,40,0,38,10000,77,5,143|6|26|27|83
144,41,98,0,73,10000,44,6,144|7|27|34|46|62
145,98,41,0,31,10000,96,9,145|22|26|45|63|86|93|97|115
146,41,101,0,72,10000,64,15,146|10|28|30|43|60|81|84|93|99|100|108|116|128|136
147,101,41,0,17,10000,92,11,147|37|41|65|80|93|98|105|106|106|111
148,41,104,0,18,10000,85,4,148|4|27|87
149,104,41,0,30,10000,22,11,149|17|18|36|38|40|75|99|118|120|122
150,41,105,0,13,10000,25,6,150|7|38|63|86|118
151,105,41,0,92,10000,25,7,151|4|38|45|54|87|98
152,41,106,0,18,10000,99,9,152|21|30|38|45|51|63|92|105
153,106,41,0,1,10000,78,4,153|13|51|82
154,41,44,0,81,10000,75,10,154|1|9|39|49|61|75|80|86|87
155,44,41,0,28,10000,13,11,155|14|17|35|37|46|61|64|69|83|100
156,41,47,0,20,10000,12,6,156|40|63|79|91|103
157,47,41,0,38,10000,19,9,157|7|13|38|44|49|51|73|73
158,42,43,0,44,10000,76,7,158|14|28|37|50|82|92
159,43,42,0,9,10000,57,9,159|4|20|33|41|52|69|73|106
160,42,148,0,5,10000,75,8,160|5|27|55|57|65|69|99
161,148,42,0,80,10000,88,10,161|2|16|20|50|55|77|103|111|121
162,43,137,0,22,10000,92,8,162|41|60|65|69|89|95|115
163,137,43,0,61,10000,41,12,163|21|22|27|36|60|71|79|92|118|121|135
164,44,48,0,64,10000,9,12,164|6|27|38|51|87|92|97|102|118|120|129
165,48,44,0,37,10000,16,7,165|16|62|70|89|98|101
166,44,45,0,50,10000,28,12,166|16|18|21|27|33|40|69|87|87|108|112
167,45,44,0,89,10000,70,4,167|28|40|46
168,45,48,0,88,10000,42,10,168|12|26|33|37|41|75|84|115|115
169,48,45,0,65,10000,23,9,169|13|13|19|29|33|37|43|46
170,45,128,0,41,10000,62,11,170|22|38|42|46|59|59|63|65|75|104
171,128,45,0,18,10000,54,7,171|33|50|74|74|123|127
172,49,128,0,96,10000,1,11,172|11|14|16|20|62|63|80|91|96|121
173,128,49,0,47,10000,83,5,173|4|5|23|93
174,49,127,0,37,10000,17,7,174|5|30|36|45|57|121
175,127,49,0,96,10000,60,8,175|21|22|22|29|43|58|99
176,50,57,0,48,10000,97,10,176|7|51|51|65|80|91|98|108|118
177,57,50,0,66,10000,84,15,177|26|27|29|30|46|51|68|80|91|95|95|119|119|137
178,51,87,0,91,10000,48,15,178|1|1|2|23|46|50|60|83|91|95|105|109|110|122
179,87,51,0,53,10000,26,6,179|18|61|62|76|89
180,51,140,0,55,10000,83,9,180|6|14|21|25|39|53|63|88
181,140,51,0,77,10000,36,10,181|5|38|39|43|47|74|97|116|118
182,51,117,0,69,10000,64,8,182|33|46|46|50|118|128|129
183,117,51,0,9,10000,45,11,183|8|12|49|69|72|85|91|100|104|113
184,52,55,0,69,10000,42,8,184|17|29|36|41|60|68|124
185,55,52,0,86,10000,55,3,185|36|82
186,52,53,0,67,10000,43,7,186|25|48|60|62|63|74
187,53,52,0,28,10000,12,5,187|20|46|89|124
188,52,143,0,49,10000,79,5,188|18|22|28|71
189,143,52,0,92,10000,13,6,189|29|31|40|63|81
190,53,58,0,18,10000,12,3,190|49|51
191,58,53,0,36,10000,92,7,191|18|29|35|41|73|93
192,54,55,0,88,10000,44,7,192|8|13|20|45|80|115
193,55,54,0,3,10000,79,10,193|6|33|35|60|72|73|81|86|118
194,56,57,0,21,10000,10,9,194|21|26|39|80|95|108|111|122
195,57,56,0,49,10000,7,10,195|6|9|60|62|63|100|100|103|109
196,56,59,0,91,10000,4,9,196|6|20|29|38|78|80|87|115
197,59,56,0,47,10000,39,6,197|41|46|52|87|115
198,58,142,0,9,10000,47,4,198|4|30|52
199,142,58,0,26,10000,36,9,199|7|43|50|87|98|121|122|128
200,58,117,0,79,10000,44,6,200|55|59|60|82|111
201,117,58,0,51,10000,45,11,201|3|27|33|40|60|65|81|105|109|112
202,60,130,0,57,10000,82,5,202|43|55|68|72
203,130,60,0,57,10000,91,5,203|6|50|51|96
204,61,130,0,66,10000,94,4,204|7|61|93
205,130,61,0,78,10000,96,8,205|4|11|30|88|105|121|130
206,61,62,0,37,10000,96,5,206|21|59|108|120
207,62,61,0,22,10000,19,10,207|18|23|40|41|51|56|62|74|83
208,62,131,0,27,10000,39,4,208|60|65|109
