demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,18,104,0,227.5,0,1,1,2,0,91,91
1,58,20,0,600.0,0,1,1,2,0,270,240
2,116,43,0,1170.0,0,1,1,2,0,485,468
3,13,11,0,2575.0,0,1,1,2,0,1224,1030
4,105,131,0,987.5,0,1,1,2,0,569,395
5,128,23,0,1465.0,0,1,1,2,0,645,586
6,74,17,0,1597.5,0,1,1,2,0,746,639
7,136,137,0,1037.5,0,1,1,2,0,459,415
8,97,57,0,2100.0,0,1,1,2,0,889,840
9,30,21,0,1710.0,0,1,1,2,0,743,684
10,93,75,0,1170.0,0,1,1,2,0,468,468
11,85,41,0,1192.5,0,1,1,2,0,740,477
12,46,81,0,1845.0,0,1,1,2,0,808,738
13,86,44,0,1367.5,0,1,1,2,0,723,547
14,48,68,0,1005.0,0,1,1,2,0,402,402
15,128,76,0,522.5,0,1,1,2,0,209,209
16,23,37,0,1472.5,0,1,1,2,0,612,589
17,96,0,0,752.5,0,1,1,2,0,301,301
18,81,119,0,877.5,0,1,1,2,0,351,351
19,11,47,0,465.0,0,1,1,2,0,339,186
20,101,139,0,1542.5,0,1,1,2,0,890,617
21,80,36,0,1017.5,0,1,1,2,0,430,407
22,17,67,0,920.0,0,1,1,2,0,467,368
23,25,115,0,860.0,0,1,1,2,0,562,344
24,134,55,0,745.0,0,1,1,2,0,430,298
25,146,89,0,1235.0,0,1,1,2,0,539,494
26,131,83,0,237.5,0,1,1,2,0,95,95
27,140,38,0,945.0,0,1,1,2,0,401,378
28,15,88,0,762.5,0,1,1,2,0,484,305
29,92,73,0,1222.5,0,1,1,2,0,489,489
