demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,0,108,0,1830.0,0,1,1,2,0,783,732
1,29,7,0,822.5,0,1,1,2,0,393,329
2,44,109,0,1587.5,0,1,1,2,0,722,635
3,39,93,0,1250.0,0,1,1,2,0,500,500
4,66,92,0,1010.0,0,1,1,2,0,578,404
5,63,86,0,1017.5,0,1,1,2,0,741,407
6,8,29,0,982.5,0,1,1,2,0,456,393
7,46,67,0,645.0,0,1,1,2,0,258,258
8,34,51,0,915.0,0,1,1,2,0,390,366
9,72,80,0,1165.0,0,1,1,2,0,668,466
10,47,19,0,375.0,0,1,1,2,0,161,150
11,66,22,0,1327.5,0,1,1,2,0,612,531
12,50,76,0,407.5,0,1,1,2,0,163,163
13,67,100,0,1027.5,0,1,1,2,0,865,411
14,39,62,0,1170.0,0,1,1,2,0,555,468
15,88,81,0,1210.0,0,1,1,2,0,551,484
16,60,7,0,1110.0,0,1,1,2,0,460,444
17,88,36,0,1382.5,0,1,1,2,0,634,553
18,7,59,0,715.0,0,1,1,2,0,313,286
19,19,5,0,400.0,0,1,1,2,0,160,160
20,41,82,0,1512.5,0,1,1,2,0,687,605
21,23,91,0,1095.0,0,1,1,2,0,535,438
22,43,69,0,25.0,0,1,1,2,0,10,10
23,49,78,0,515.0,0,1,1,2,0,391,206
24,52,11,0,562.5,0,1,1,2,0,268,225
25,90,32,0,867.5,0,1,1,2,0,549,347
26,31,47,0,372.5,0,1,1,2,0,160,149
27,96,13,0,972.5,0,1,1,2,0,415,389
28,13,96,0,725.0,0,1,1,2,0,527,290
29,45,94,0,1420.0,0,1,1,2,0,604,568
