demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,178,16,0,2192.5,0,1,1,2,0,877,877
0,121,189,0,3042.5,0,1,1,2,0,1526,1217
0,502,45,0,1410,0,1,1,2,0,564,564
0,311,735,0,3480,0,1,1,2,0,1591,1392
0,82,380,0,3755,0,1,1,2,0,1673,1502
0,589,64,0,2115,0,1,1,2,0,864,846
0,140,239,0,3700,0,1,1,2,0,2007,1480
0,670,367,0,3742.5,0,1,1,2,0,1585,1497
0,164,315,0,2487.5,0,1,1,2,0,1056,995
0,666,72,0,3515,0,1,1,2,0,2195,1406
0,357,271,0,1115,0,1,1,2,0,446,446
0,318,228,0,2342.5,0,1,1,2,0,1317,937
0,302,502,0,2072.5,0,1,1,2,0,829,829
0,247,104,0,2297.5,0,1,1,2,0,919,919
0,719,422,0,1110,0,1,1,2,0,444,444
0,46,483,0,1875,0,1,1,2,0,1018,750
0,438,167,0,2132.5,0,1,1,2,0,901,853
0,672,526,0,2302.5,0,1,1,2,0,1459,921
0,213,569,0,5100,0,1,1,2,0,2500,2040
0,507,635,0,3332.5,0,1,1,2,0,1500,1333
0,195,342,0,1547.5,0,1,1,2,0,619,619
0,285,675,0,2490,0,1,1,2,0,1186,996
0,167,201,0,705,0,1,1,2,0,301,282
0,289,332,0,3742.5,0,1,1,2,0,2149,1497
0,102,201,0,2875,0,1,1,2,0,1150,1150
0,744,46,0,2650,0,1,1,2,0,1105,1060
0,473,309,0,3892.5,0,1,1,2,0,1730,1557
0,614,361,0,1725,0,1,1,2,0,751,690
0,57,448,0,5215,0,1,1,2,0,2141,2086
0,51,362,0,2440,0,1,1,2,0,1037,976
