demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,111,28,0,125.0,0,1,1,2,0,50,50
1,100,46,0,247.5,0,1,1,2,0,99,99
2,58,80,0,122.5,0,1,1,2,0,49,49
3,11,8,0,477.5,0,1,1,2,0,191,191
4,84,50,0,142.5,0,1,1,2,0,57,57
5,103,90,0,587.5,0,1,1,2,0,277,235
6,102,125,0,242.5,0,1,1,2,0,97,97
7,6,89,0,360.0,0,1,1,2,0,186,144
8,114,19,0,387.5,0,1,1,2,0,155,155
9,65,116,0,327.5,0,1,1,2,0,131,131
10,6,16,0,357.5,0,1,1,2,0,143,143
11,62,102,0,450.0,0,1,1,2,0,252,180
12,118,69,0,842.5,0,1,1,2,0,406,337
13,120,94,0,565.0,0,1,1,2,0,268,226
14,29,75,0,275.0,0,1,1,2,0,110,110
15,103,105,0,207.5,0,1,1,2,0,83,83
16,51,26,0,880.0,0,1,1,2,0,448,352
17,59,54,0,375.0,0,1,1,2,0,150,150
18,34,8,0,245.0,0,1,1,2,0,98,98
19,104,10,0,440.0,0,1,1,2,0,176,176
20,90,71,0,827.5,0,1,1,2,0,400,331
21,0,96,0,702.5,0,1,1,2,0,323,281
22,34,115,0,737.5,0,1,1,2,0,337,295
23,107,99,0,417.5,0,1,1,2,0,209,167
24,96,106,0,810.0,0,1,1,2,0,324,324
25,116,32,0,902.5,0,1,1,2,0,361,361
26,73,99,0,695.0,0,1,1,2,0,374,278
27,101,59,0,197.5,0,1,1,2,0,79,79
28,58,122,0,510.0,0,1,1,2,0,204,204
29,7,63,0,665.0,0,1,1,2,0,296,266
