demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,120,103,0,717.5,0,1,1,2,0,353,287
0,34,102,0,820,0,1,1,2,0,503,328
0,9,74,0,1472.5,0,1,1,2,0,811,589
0,79,68,0,290,0,1,1,2,0,116,116
0,111,32,0,340,0,1,1,2,0,224,136
0,38,6,0,1797.5,0,1,1,2,0,1083,719
0,53,94,0,950,0,1,1,2,0,444,380
0,61,77,0,805,0,1,1,2,0,426,322
0,19,141,0,907.5,0,1,1,2,0,440,363
0,57,130,0,1080,0,1,1,2,0,595,432
0,67,39,0,912.5,0,1,1,2,0,443,365
0,86,112,0,2525,0,1,1,2,0,1419,1010
0,70,96,0,1000,0,1,1,2,0,617,400
0,102,75,0,520,0,1,1,2,0,208,208
0,139,132,0,2710,0,1,1,2,0,1346,1084
0,133,106,0,1085,0,1,1,2,0,736,434
0,90,22,0,1265,0,1,1,2,0,549,506
0,63,91,0,752.5,0,1,1,2,0,301,301
0,97,134,0,1280,0,1,1,2,0,624,512
0,14,55,0,1332.5,0,1,1,2,0,750,533
0,21,52,0,307.5,0,1,1,2,0,123,123
0,53,66,0,637.5,0,1,1,2,0,450,255
0,138,114,0,3087.5,0,1,1,2,0,1736,1235
0,144,13,0,1880,0,1,1,2,0,948,752
0,102,56,0,697.5,0,1,1,2,0,279,279
0,135,17,0,1440,0,1,1,2,0,835,576
0,96,77,0,720,0,1,1,2,0,369,288
0,121,13,0,1355,0,1,1,2,0,881,542
0,28,71,0,1120,0,1,1,2,0,646,448
0,80,14,0,1105,0,1,1,2,0,494,442
