LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,28,0,71,10000,35,9,0|2|6|7|17|19|28|29|33
1,28,0,0,92,10000,60,9,1|7|11|12|21|22|31|36|41
2,0,37,0,99,10000,34,8,2|2|7|12|21|22|27|28
3,37,0,0,4,10000,14,6,3|5|9|18|22|27
4,1,28,0,69,10000,67,7,4|8|12|14|28|34|37
5,28,1,0,82,10000,68,5,5|4|5|20|27
6,1,29,0,63,10000,25,4,6|14|28|30
7,29,1,0,32,10000,47,6,7|5|21|24|26|30
8,2,74,0,71,10000,57,4,8|7|12|33
9,74,2,0,20,10000,1,1,9
10,2,3,0,85,10000,40,7,10|3|13|18|23|25|36
11,3,2,0,66,10000,17,5,11|8|21|33|40
12,3,4,0,62,10000,33,3,12|7|21
13,4,3,0,48,10000,96,9,13|2|5|13|13|24|26|38|40
14,4,5,0,33,10000,68,5,14|1|20|34|45
15,5,4,0,87,10000,64,3,15|21|36
16,5,6,0,80,10000,14,6,16|4|11|22|23|33
17,6,5,0,49,10000,80,7,17|12|13|18|25|29|36
18,6,7,0,32,10000,78,5,18|5|11|20|30
19,7,6,0,77,10000,20,7,19|3|8|9|20|23|38
20,7,11,0,19,10000,42,5,20|1|12|26|26
21,11,7,0,47,10000,24,5,21|4|5|34|36
22,8,9,0,93,10000,41,4,22|6|16|16
23,9,8,0,49,10000,1,5,23|6|20|29|37
24,8,11,0,52,10000,78,6,24|8|12|27|30|33
25,11,8,0,24,10000,68,6,25|4|6|8|33|34
26,9,37,0,15,10000,64,6,26|6|25|28|30|30
27,37,9,0,62,10000,97,8,27|1|7|12|22|25|26|39
28,10,58,0,93,10000,93,7,28|2|20|24|26|33|36
29,58,10,0,42,10000,53,7,29|13|14|16|30|30|30
30,10,11,0,76,10000,53,7,30|4|5|27|38|40|43
31,11,10,0,56,10000,42,4,31|18|28|36
32,12,60,0,94,10000,78,3,32|12|33
33,60,12,0,84,10000,46,6,33|4|8|11|38|43
34,12,61,0,58,10000,98,5,34|6|20|29|33
35,61,12,0,81,10000,37,2,35|4
36,13,73,0,45,10000,9,4,36|3|8|40
37,73,13,0,25,10000,24,10,37|6|15|17|25|27|30|30|31|43
38,13,27,0,6,10000,13,5,38|1|10|14|22
39,27,13,0,57,10000,23,9,39|2|6|7|29|38|39|40|43
40,14,48,0,34,10000,32,7,40|2|6|7|12|26|39
41,48,14,0,27,10000,7,6,41|13|26|33|37|46
42,14,66,0,24,10000,39,4,42|20|28|37
43,66,14,0,29,10000,75,3,43|17|29
44,15,47,0,95,10000,43,7,44|4|12|18|21|38|39
45,47,15,0,75,10000,21,4,45|3|5|14
46,15,23,0,67,10000,43,4,46|2|29|29
47,23,15,0,77,10000,10,3,47|13|16
48,16,60,0,73,10000,86,5,48|5|7|20|25
49,60,16,0,17,10000,63,7,49|4|5|13|13|21|26
50,16,63,0,59,10000,80,7,50|11|12|21|22|26|27
51,63,16,0,12,10000,59,4,51|12|35|38
52,17,56,0,38,10000,64,8,52|4|5|14|16|26|26|30
53,56,17,0,82,10000,67,5,53|6|8|9|35
54,17,57,0,46,10000,28,9,54|1|1|7|9|15|33|39|40
