LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,228,0,13,10000,68,10,0|11|463|709|727|3039|3165|5618|7812|13634
1,228,0,0,68,10000,10,8,1|240|2815|5029|8802|8864|8935|9968
2,0,241,0,28,10000,60,7,2|5451|6044|6217|6653|8811|9699
3,241,0,0,61,10000,61,8,3|758|7940|9599|10012|10478|11422|13193
4,0,377,0,48,10000,16,5,4|736|7433|9182|9320
5,377,0,0,15,10000,72,16,5|1124|1509|2004|2980|5618|5799|6078|6402|8916|10354|10776|10965|11001|11645|13819
6,0,476,0,68,10000,7,9,6|1899|2911|3473|5565|5956|6735|7879|11790
7,476,0,0,65,10000,92,12,7|114|647|785|5460|5487|5936|6517|9472|9994|10652|12088
8,0,554,0,28,10000,3,8,8|544|1156|2874|3909|4393|5452|8653
9,554,0,0,25,10000,42,10,9|1183|1361|3008|3824|5485|5606|9976|12600|13266
10,0,585,0,30,10000,34,8,10|1629|1635|1959|5643|6918|10198|10993
11,585,0,0,84,10000,20,7,11|343|1764|2784|3600|7974|9498
12,0,793,0,64,10000,2,5,12|631|750|1223|2449
13,793,0,0,47,10000,74,6,13|380|973|2730|10409|12777
14,0,839,0,20,10000,65,15,14|422|1031|1263|1955|3292|3988|4839|8312|9235|9653|10926|11442|11895|12965
15,839,0,0,40,10000,79,13,15|123|682|1243|1723|1930|2051|3793|7079|8496|8794|11011|12164
16,0,1075,0,28,10000,4,12,16|958|1244|4948|6282|6431|7618|7762|10797|11249|13860|14135
17,1075,0,0,68,10000,21,8,17|147|2082|3026|3844|5341|7731|8735
18,0,1113,0,39,10000,92,8,18|853|1272|2626|3751|9294|10635|12930
19,1113,0,0,9,10000,51,11,19|2556|2842|3138|3552|3702|5289|6872|7469|13141|13769
20,0,1186,0,24,10000,71,9,20|219|1646|1683|3446|6854|7455|10657|12359
21,1186,0,0,80,10000,88,13,21|5110|5349|5621|6407|7616|7672|7992|9706|10486|10611|11490|11708
