demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,5559,3544,0,140.0,0,1,1,2,142,-1,548,56,1,30736,1,8028
1,4215,5266,0,145.0,0,1,1,2,172,-1,323,58,1,28891,1,7638
2,3125,5531,0,142.5,0,1,1,2,108,-1,272,57,1,28396,1,7967
3,3538,3074,0,145.0,0,1,1,2,152,-1,309,58,1,28307,1,7754
4,4008,1128,0,222.5,0,1,1,2,97,-1,496,89,1,28437,1,7697
5,1857,1065,0,150.0,0,1,1,2,62,-1,502,60,1,29147,1,7776
6,6624,7782,0,170.0,0,1,1,2,108,-1,497,68,1,28933,1,7693
7,2917,4454,0,130.0,0,1,1,2,62,-1,127,52,1,28491,1,8540
8,1028,5873,0,165.0,0,1,1,2,127,-1,354,66,1,29138,1,8064
9,52,5435,0,170.0,0,1,1,2,84,-1,224,68,1,28191,1,8031
10,7117,5163,0,135.0,0,1,1,2,104,-1,424,54,1,28548,1,8112
11,4078,3499,0,145.0,0,1,1,2,150,-1,460,58,1,28752,1,8013
12,69,437,0,155.0,0,1,1,2,97,-1,208,62,1,29087,1,7958
13,2034,5730,0,195.0,0,1,1,2,102,-1,220,78,1,28956,1,7576
14,3987,7593,0,102.5,0,1,1,2,191,-1,387,41,1,28592,1,7606
15,5626,4554,0,122.5,0,1,1,2,146,-1,159,49,1,28513,1,7518
16,1211,5103,0,160.0,0,1,1,2,118,-1,582,64,1,28331,1,7761
17,2085,4749,0,172.5,0,1,1,2,136,-1,399,69,1,29102,1,8213
18,4529,6093,0,127.5,0,1,1,2,196,-1,383,51,1,28721,1,8419
19,2230,6386,0,152.5,0,1,1,2,124,-1,314,61,1,28188,1,7398
20,7158,5206,0,125.0,0,1,1,2,178,-1,198,50,1,28347,1,7699
21,2520,6428,0,127.5,0,1,1,2,184,-1,223,51,1,28403,1,7478
22,6012,3548,0,115.0,0,1,1,2,105,-1,188,46,1,28698,1,8665
23,4301,4562,0,117.5,0,1,1,2,145,-1,343,47,1,28626,1,8683
24,5973,706,0,130.0,0,1,1,2,112,-1,134,52,1,28193,1,7537
25,6349,1442,0,172.5,0,1,1,2,55,-1,557,69,1,28300,1,7670
26,2221,2427,0,147.5,0,1,1,2,127,-1,394,59,1,28067,1,8412
27,4941,2290,0,127.5,0,1,1,2,97,-1,631,51,1,28842,1,7701
28,2864,3328,0,177.5,0,1,1,2,73,-1,520,71,1,28179,1,7639
