demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,5,165,0,645.0,0,1,1,2,0,637,258
1,146,48,0,435.0,0,1,1,2,0,279,174
2,83,192,0,1647.5,0,1,1,2,0,770,659
3,90,196,0,970.0,0,1,1,2,0,388,388
4,139,61,0,2122.5,0,1,1,2,0,1162,849
5,109,77,0,1442.5,0,1,1,2,0,965,577
6,150,81,0,500.0,0,1,1,2,0,242,200
7,76,155,0,640.0,0,1,1,2,0,406,256
8,147,94,0,880.0,0,1,1,2,0,352,352
9,192,135,0,827.5,0,1,1,2,0,363,331
10,144,167,0,1270.0,0,1,1,2,0,626,508
11,25,91,0,722.5,0,1,1,2,0,289,289
12,178,13,0,1035.0,0,1,1,2,0,414,414
13,107,82,0,462.5,0,1,1,2,0,185,185
14,86,12,0,577.5,0,1,1,2,0,231,231
15,26,47,0,870.0,0,1,1,2,0,437,348
16,133,172,0,705.0,0,1,1,2,0,282,282
17,95,19,0,1300.0,0,1,1,2,0,520,520
18,123,141,0,2237.5,0,1,1,2,0,995,895
19,171,21,0,445.0,0,1,1,2,0,178,178
20,158,84,0,542.5,0,1,1,2,0,217,217
21,99,111,0,797.5,0,1,1,2,0,336,319
22,121,175,0,2677.5,0,1,1,2,0,1186,1071
23,25,27,0,540.0,0,1,1,2,0,236,216
24,28,173,0,660.0,0,1,1,2,0,440,264
25,163,172,0,965.0,0,1,1,2,0,386,386
26,144,188,0,1817.5,0,1,1,2,0,749,727
27,67,81,0,525.0,0,1,1,2,0,248,210
28,5,130,0,1752.5,0,1,1,2,0,701,701
29,164,47,0,310.0,0,1,1,2,0,124,124
