LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,35,0,58,10000,33,1,0
1,35,0,0,27,10000,98,1,1
2,0,103,0,39,10000,37,1,2
3,103,0,0,82,10000,64,1,3
4,1,65,0,70,10000,90,1,4
5,65,1,0,40,10000,24,1,5
6,1,39,0,17,10000,8,1,6
7,39,1,0,19,10000,77,1,7
8,2,3,0,70,10000,44,1,8
9,3,2,0,38,10000,16,1,9
10,2,101,0,58,10000,92,3,10|4|6
11,101,2,0,93,10000,54,1,11
12,2,55,0,95,10000,28,3,12|5|6
13,55,2,0,1,10000,17,1,13
14,3,49,0,81,10000,59,2,14|9
15,49,3,0,77,10000,83,1,15
16,3,101,0,19,10000,62,1,16
17,101,3,0,8,10000,82,1,17
18,4,48,0,55,10000,58,1,18
19,48,4,0,44,10000,18,4,19|193|194|195
20,4,5,0,34,10000,88,1,20
21,5,4,0,21,10000,73,1,21
22,5,33,0,24,10000,94,1,22
23,33,5,0,51,10000,28,1,23
24,6,33,0,59,10000,49,1,24
25,33,6,0,40,10000,21,2,25|122
26,6,19,0,62,10000,83,1,26
27,19,6,0,68,10000,83,1,27
28,7,64,0,35,10000,22,1,28
29,64,7,0,27,10000,58,1,29
30,7,8,0,64,10000,95,1,30
31,8,7,0,93,10000,86,1,31
32,7,18,0,37,10000,5,1,32
33,18,7,0,48,10000,86,1,33
34,7,19,0,97,10000,49,1,34
35,19,7,0,8,10000,65,2,35|77
36,8,64,0,86,10000,85,2,36|17
37,64,8,0,86,10000,46,4,37|268|270|271
38,8,9,0,37,10000,42,2,38|17
39,9,8,0,66,10000,58,1,39
40,9,39,0,20,10000,8,2,40|20
41,39,9,0,73,10000,75,1,41
42,10,37,0,99,10000,85,3,42|27|29
43,37,10,0,62,10000,10,3,43|138|139
44,10,17,0,46,10000,62,2,44|25
45,17,10,0,83,10000,68,1,45
46,10,82,0,15,10000,23,2,46|26
47,82,10,0,72,10000,11,1,47
48,10,83,0,7,10000,30,2,48|24
49,83,10,0,92,10000,18,1,49
50,10,22,0,56,10000,41,2,50|23
51,22,10,0,18,10000,5,1,51
52,10,22,0,76,10000,99,1,52
53,22,10,0,20,10000,57,1,53
54,10,31,0,24,10000,13,1,54
55,31,10,0,99,10000,44,6,55|107|108|110|112|113
56,11,72,0,60,10000,58,2,56|34
57,72,11,0,42,10000,29,1,57
58,11,72,0,65,10000,87,2,58|33
59,72,11,0,76,10000,18,1,59
60,11,73,0,41,10000,28,1,60
61,73,11,0,35,10000,14,3,61|294|295
62,11,106,0,62,10000,9,3,62|36|37
63,106,11,0,8,10000,70,1,63
64,11,21,0,23,10000,24,3,64|33|34
65,21,11,0,63,10000,71,1,65
66,12,19,0,23,10000,91,5,66|39|42|43|48
67,19,12,0,13,10000,82,1,67
68,12,19,0,22,10000,13,4,68|40|44|46
69,19,12,0,23,10000,21,1,69
70,12,26,0,85,10000,27,1,70
71,26,12,0,57,10000,43,2,71|89
72,12,27,0,3,10000,17,5,72|40|41|45|49
73,27,12,0,32,10000,53,3,73|92|94
74,12,52,0,89,10000,96,6,74|39|43|45|47|48
75,52,12,0,12,10000,60,5,75|212|213|214|215
76,13,104,0,11,10000,4,6,76|54|55|56|57|58
77,104,13,0,70,10000,9,1,77
78,13,105,0,16,10000,87,1,78
79,105,13,0,91,10000,71,1,79
80,13,61,0,28,10000,2,1,80
81,61,13,0,46,10000,98,1,81
82,14,44,0,32,10000,72,1,82
83,44,14,0,55,10000,8,2,83|170
84,14,15,0,27,10000,83,1,84
85,15,14,0,52,10000,57,2,85|61
86,15,44,0,87,10000,36,1,86
87,44,15,0,22,10000,71,1,87
88,16,24,0,27,10000,75,2,88|66
89,24,16,0,45,10000,76,1,89
90,16,89,0,22,10000,66,1,90
91,89,16,0,30,10000,45,1,91
92,16,27,0,92,10000,87,2,92|63
93,27,16,0,51,10000,69,1,93
94,16,72,0,29,10000,93,1,94
95,72,16,0,83,10000,73,2,95|289
96,16,56,0,94,10000,95,3,96|64|65
97,56,16,0,44,10000,34,1,97
98,17,17,0,27,10000,14,1,98
99,17,17,0,47,10000,86,1,99
100,17,23,0,7,10000,53,3,100|69|70
101,23,17,0,35,10000,35,2,101|83
102,18,27,0,34,10000,75,1,102
103,27,18,0,41,10000,34,4,103|91|95|96
104,18,26,0,46,10000,74,1,104
105,26,18,0,15,10000,48,1,105
106,18,47,0,83,10000,68,2,106|74
107,47,18,0,72,10000,39,1,107
108,18,47,0,37,10000,45,1,108
109,47,18,0,59,10000,20,4,109|182|185|189
110,20,72,0,41,10000,2,1,110
111,72,20,0,37,10000,21,3,111|289|290
112,20,31,0,6,10000,6,1,112
113,31,20,0,9,10000,27,5,113|109|110|111|112
114,21,46,0,12,10000,15,1,114
115,46,21,0,83,10000,43,4,115|177|178|179
116,23,31,0,37,10000,28,1,116
117,31,23,0,96,10000,75,1,117
118,24,27,0,22,10000,47,1,118
119,27,24,0,26,10000,86,5,119|91|93|96|97
120,25,28,0,55,10000,55,1,120
121,28,25,0,87,10000,82,1,121
122,25,52,0,50,10000,77,1,122
123,52,25,0,3,10000,53,2,123|211
124,28,29,0,8,10000,33,1,124
125,29,28,0,71,10000,96,1,125
126,29,77,0,38,10000,25,1,126
127,77,29,0,63,10000,27,2,127|304
128,30,84,0,79,10000,48,1,128
129,84,30,0,64,10000,41,1,129
130,30,99,0,43,10000,54,2,130|103
131,99,30,0,98,10000,97,1,131
132,30,100,0,72,10000,63,2,132|104
133,100,30,0,76,10000,23,1,133
