demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,31,54,0,755.0,0,1,1,2,0,539,302
1,39,7,0,547.5,0,1,1,2,0,219,219
2,106,74,0,1055.0,0,1,1,2,0,422,422
3,109,13,0,1110.0,0,1,1,2,0,664,444
4,95,103,0,1165.0,0,1,1,2,0,492,466
5,33,108,0,1372.5,0,1,1,2,0,637,549
6,103,14,0,705.0,0,1,1,2,0,282,282
7,2,62,0,435.0,0,1,1,2,0,215,174
8,70,72,0,965.0,0,1,1,2,0,485,386
9,30,94,0,1330.0,0,1,1,2,0,576,532
10,43,70,0,522.5,0,1,1,2,0,209,209
11,33,3,0,740.0,0,1,1,2,0,562,296
12,78,101,0,520.0,0,1,1,2,0,222,208
13,80,26,0,855.0,0,1,1,2,0,439,342
14,19,30,0,730.0,0,1,1,2,0,632,292
15,9,92,0,1090.0,0,1,1,2,0,533,436
16,16,48,0,677.5,0,1,1,2,0,404,271
17,99,12,0,1120.0,0,1,1,2,0,548,448
18,54,30,0,307.5,0,1,1,2,0,288,123
19,67,81,0,442.5,0,1,1,2,0,246,177
20,65,101,0,907.5,0,1,1,2,0,768,363
21,80,58,0,1437.5,0,1,1,2,0,729,575
22,47,82,0,487.5,0,1,1,2,0,351,195
23,52,49,0,290.0,0,1,1,2,0,116,116
24,86,14,0,1980.0,0,1,1,2,0,919,792
25,34,19,0,602.5,0,1,1,2,0,262,241
26,85,67,0,1075.0,0,1,1,2,0,469,430
27,23,95,0,902.5,0,1,1,2,0,378,361
28,59,35,0,277.5,0,1,1,2,0,111,111
29,12,10,0,625.0,0,1,1,2,0,250,250
