LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,237,0,68,10000,8,1,0
1,237,0,0,72,10000,53,5,1|559|560|561|563
2,0,751,0,89,10000,97,1,2
3,751,0,0,41,10000,41,1,3
4,1,3,0,9,10000,83,1,4
5,3,1,0,72,10000,58,1,5
6,1,117,0,58,10000,48,1,6
7,117,1,0,13,10000,9,1,7
8,2,441,0,77,10000,8,3,8|4|5
9,441,2,0,43,10000,45,1,9
10,2,4,0,34,10000,21,1,10
11,4,2,0,7,10000,70,1,11
12,3,120,0,26,10000,22,2,12|7
13,120,3,0,80,10000,13,1,13
14,4,649,0,13,10000,18,3,14|9|10
15,649,4,0,32,10000,72,2,15|1520
16,5,317,0,23,10000,9,1,16
17,317,5,0,77,10000,51,1,17
18,5,719,0,11,10000,53,1,18
19,719,5,0,47,10000,94,1,19
20,6,308,0,47,10000,54,1,20
21,308,6,0,47,10000,58,1,21
22,6,719,0,87,10000,67,4,22|13|14|15
23,719,6,0,30,10000,77,1,23
24,7,512,0,40,10000,18,1,24
25,512,7,0,53,10000,41,1,25
26,7,244,0,19,10000,69,1,26
27,244,7,0,25,10000,54,1,27
28,8,9,0,58,10000,11,1,28
29,9,8,0,30,10000,8,1,29
30,8,449,0,51,10000,97,1,30
31,449,8,0,70,10000,88,1,31
32,9,220,0,38,10000,84,1,32
33,220,9,0,13,10000,17,1,33
34,10,272,0,24,10000,74,1,34
35,272,10,0,75,10000,19,2,35|640
36,10,11,0,43,10000,4,1,36
37,11,10,0,10,10000,3,1,37
38,11,57,0,73,10000,72,3,38|22|23
39,57,11,0,22,10000,2,1,39
40,12,562,0,7,10000,14,1,40
41,562,12,0,67,10000,14,2,41|1303
42,12,70,0,74,10000,80,2,42|25
43,70,12,0,49,10000,30,1,43
44,13,57,0,23,10000,72,1,44
45,57,13,0,38,10000,51,1,45
46,13,14,0,33,10000,5,4,46|27|28|29
47,14,13,0,82,10000,25,2,47|32
48,14,15,0,14,10000,66,1,48
49,15,14,0,64,10000,22,4,49|35|36|37
50,15,16,0,69,10000,72,1,50
51,16,15,0,38,10000,23,1,51
52,15,16,0,98,10000,46,1,52
53,16,15,0,31,10000,60,1,53
54,16,17,0,43,10000,88,1,54
55,17,16,0,8,10000,10,1,55
56,16,311,0,46,10000,12,1,56
57,311,16,0,22,10000,29,1,57
58,16,718,0,5,10000,35,3,58|39|41
59,718,16,0,36,10000,24,1,59
60,17,348,0,77,10000,30,2,60|43
61,348,17,0,73,10000,68,1,61
62,18,339,0,85,10000,16,1,62
63,339,18,0,92,10000,44,2,63|802
64,18,42,0,30,10000,72,2,64|46
65,42,18,0,78,10000,11,1,65
66,18,43,0,44,10000,48,1,66
