LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,102,0,50,10000,75,1,0
1,102,0,0,40,10000,67,6,1|308|341|345|347|351
2,1,102,0,78,10000,87,1,2
3,102,1,0,61,10000,47,2,3|310
4,2,102,0,82,10000,42,1,4
5,102,2,0,65,10000,40,4,5|318|324|325
6,3,102,0,45,10000,88,1,6
7,102,3,0,82,10000,9,3,7|315|323
8,4,102,0,58,10000,8,1,8
9,102,4,0,60,10000,92,6,9|311|315|316|321|345
10,5,102,0,79,10000,28,1,10
11,102,5,0,12,10000,32,9,11|312|317|330|332|340|341|343|346
12,6,102,0,42,10000,2,1,12
13,102,6,0,7,10000,99,6,13|311|320|326|336|342
14,7,102,0,23,10000,67,1,14
15,102,7,0,64,10000,93,5,15|309|314|321|329
16,8,102,0,51,10000,14,1,16
17,102,8,0,51,10000,10,5,17|319|322|327|336
18,9,102,0,53,10000,46,1,18
19,102,9,0,22,10000,68,7,19|328|331|337|339|342|349
20,10,59,0,85,10000,99,1,20
21,59,10,0,53,10000,96,2,21|183
22,10,13,0,56,10000,81,1,22
23,13,10,0,24,10000,83,3,23|24|33
24,10,46,0,88,10000,19,2,24|11
25,46,10,0,30,10000,15,1,25
26,11,66,0,51,10000,30,1,26
27,66,11,0,90,10000,80,1,27
28,12,13,0,30,10000,66,1,28
29,13,12,0,18,10000,51,7,29|17|22|36|37|38|44
30,13,39,0,23,10000,48,4,30|24|37|41
31,39,13,0,6,10000,17,1,31
32,13,40,0,38,10000,94,8,32|19|21|23|26|32|34|39
33,40,13,0,44,10000,67,1,33
34,13,41,0,12,10000,26,5,34|18|22|32|39
35,41,13,0,42,10000,64,1,35
36,13,43,0,40,10000,5,6,36|19|20|21|30|36
37,43,13,0,3,10000,67,5,37|83|88|97|100
38,13,45,0,79,10000,40,1,38
39,45,13,0,30,10000,20,1,39
40,13,46,0,65,10000,21,5,40|16|20|23|35
41,46,13,0,91,10000,54,2,41|145
42,13,18,0,56,10000,53,2,42|27
43,18,13,0,84,10000,42,1,43
44,13,19,0,89,10000,4,3,44|25|29
45,19,13,0,85,10000,19,1,45
46,13,42,0,80,10000,19,3,46|28|40
47,42,13,0,92,10000,30,1,47
48,14,66,0,4,10000,50,1,48
49,66,14,0,97,10000,50,1,49
50,15,66,0,34,10000,6,1,50
51,66,15,0,34,10000,87,1,51
52,16,66,0,76,10000,3,1,52
53,66,16,0,20,10000,12,2,53|198
54,17,66,0,22,10000,77,1,54
55,66,17,0,84,10000,78,3,55|195|199
56,20,43,0,99,10000,59,1,56
57,43,20,0,95,10000,40,7,57|82|88|91|97|100|125
58,21,43,0,32,10000,35,1,58
59,43,21,0,50,10000,5,2,59|82
60,22,43,0,78,10000,95,1,60
61,43,22,0,33,10000,85,4,61|76|81|92
62,23,43,0,95,10000,2,1,62
63,43,23,0,98,10000,49,1,63
64,24,43,0,65,10000,79,1,64
65,43,24,0,16,10000,73,5,65|84|113|118|131
66,25,43,0,48,10000,63,1,66
67,43,25,0,58,10000,19,3,67|122|124
68,26,43,0,79,10000,60,1,68
69,43,26,0,53,10000,46,3,69|95|131
70,27,126,0,4,10000,38,1,70
71,126,27,0,57,10000,28,0,0
72,28,126,0,32,10000,77,1,72
73,126,28,0,10,10000,32,0,0
74,29,126,0,6,10000,17,1,74
75,126,29,0,52,10000,26,0,0
76,30,126,0,82,10000,68,1,76
77,126,30,0,48,10000,6,0,0
78,31,126,0,81,10000,46,1,78
79,126,31,0,87,10000,67,0,0
80,32,126,0,17,10000,58,1,80
81,126,32,0,36,10000,67,0,0
82,33,126,0,5,10000,84,1,82
83,126,33,0,86,10000,37,0,0
84,34,126,0,21,10000,76,1,84
85,126,34,0,30,10000,87,0,0
86,35,126,0,64,10000,31,1,86
87,126,35,0,49,10000,90,0,0
88,36,126,0,24,10000,60,1,88
89,126,36,0,85,10000,88,0,0
90,37,43,0,6,10000,66,1,90
91,43,37,0,96,10000,16,7,91|84|102|115|127|133|139
92,38,43,0,2,10000,47,1,92
93,43,38,0,5,10000,6,8,93|80|102|110|111|112|128|129
94,43,44,0,76,10000,64,2,94|103
95,44,43,0,7,10000,28,1,95
96,43,65,0,67,10000,56,3,96|81|111
97,65,43,0,59,10000,46,1,97
98,43,68,0,55,10000,31,2,98|78
99,68,43,0,57,10000,46,1,99
100,43,89,0,99,10000,31,1,100
101,89,43,0,50,10000,22,1,101
102,43,90,0,80,10000,41,4,102|85|94|117
103,90,43,0,54,10000,16,1,103
104,43,91,0,93,10000,94,3,104|105|106
105,91,43,0,91,10000,74,1,105
106,43,92,0,98,10000,92,2,106|118
107,92,43,0,13,10000,57,1,107
108,43,93,0,30,10000,4,2,108|110
109,93,43,0,26,10000,22,1,109
110,43,94,0,10,10000,30,4,110|86|90|116
111,94,43,0,36,10000,4,1,111
112,43,95,0,13,10000,83,3,112|101|115
113,95,43,0,53,10000,79,1,113
114,43,96,0,56,10000,95,1,114
115,96,43,0,58,10000,41,1,115
116,43,97,0,48,10000,69,4,116|79|107|109
117,97,43,0,75,10000,14,1,117
118,43,98,0,8,10000,30,3,118|91|95
119,98,43,0,12,10000,61,1,119
120,43,99,0,4,10000,9,5,120|90|98|119|126
121,99,43,0,95,10000,29,1,121
122,43,100,0,61,10000,96,3,122|85|87
123,100,43,0,96,10000,11,1,123
124,43,113,0,41,10000,91,3,124|93|101
125,113,43,0,13,10000,70,1,125
126,43,114,0,3,10000,10,2,126|120
127,114,43,0,60,10000,84,1,127
128,43,115,0,25,10000,96,6,128|87|89|98|99|104
129,115,43,0,58,10000,32,1,129
130,43,116,0,10,10000,85,4,130|77|107|121
131,116,43,0,13,10000,45,1,131
132,43,117,0,27,10000,36,1,132
133,117,43,0,58,10000,19,1,133
134,43,118,0,70,10000,24,4,134|96|114|116
135,118,43,0,83,10000,52,1,135
136,46,66,0,27,10000,77,1,136
137,66,46,0,56,10000,38,1,137
138,46,60,0,6,10000,50,1,138
139,60,46,0,28,10000,26,1,139
140,47,50,0,12,10000,55,1,140
141,50,47,0,91,10000,6,4,141|155|156|164
142,48,50,0,21,10000,58,1,142
143,50,48,0,92,10000,65,4,143|153|154|159
144,49,50,0,69,10000,95,1,144
145,50,49,0,17,10000,98,5,145|152|159|160|165
146,50,64,0,97,10000,98,4,146|151|166|169
147,64,50,0,8,10000,7,1,147
148,50,72,0,57,10000,17,3,148|151|158
149,72,50,0,33,10000,33,1,149
150,50,55,0,87,10000,60,1,150
151,55,50,0,4,10000,62,1,151
152,50,56,0,79,10000,42,2,152|166
153,56,50,0,50,10000,77,1,153
154,50,57,0,70,10000,61,2,154|163
155,57,50,0,91,10000,27,1,155
156,50,58,0,70,10000,68,2,156|156
157,58,50,0,98,10000,28,1,157
158,50,59,0,69,10000,95,2,158|170
159,59,50,0,80,10000,78,1,159
160,50,61,0,84,10000,55,1,160
161,61,50,0,95,10000,36,1,161
162,50,62,0,42,10000,79,4,162|157|162|171
163,62,50,0,77,10000,60,1,163
164,50,63,0,82,10000,65,2,164|161
165,63,50,0,16,10000,41,1,165
166,51,72,0,38,10000,92,1,166
167,72,51,0,16,10000,82,3,167|253|256
168,52,72,0,74,10000,85,1,168
169,72,52,0,16,10000,98,4,169|244|252|269
170,53,72,0,79,10000,1,1,170
171,72,53,0,68,10000,51,6,171|213|238|241|251|257
172,54,72,0,76,10000,74,1,172
173,72,54,0,26,10000,55,4,173|220|234|248
174,59,60,0,86,10000,34,1,174
175,60,59,0,53,10000,30,3,175|187|188
176,60,102,0,21,10000,63,2,176|187
177,102,60,0,5,10000,26,7,177|310|313|322|323|334|338
178,66,67,0,92,10000,24,3,178|196|198
179,67,66,0,8,10000,40,1,179
180,69,72,0,8,10000,45,1,180
181,72,69,0,31,10000,22,2,181|208
182,70,72,0,34,10000,97,1,182
183,72,70,0,98,10000,51,4,183|219|230|254
184,71,72,0,5,10000,31,1,184
185,72,71,0,89,10000,52,5,185|215|245|263|270
186,72,73,0,21,10000,73,2,186|213
187,73,72,0,48,10000,55,1,187
188,72,74,0,7,10000,4,5,188|221|227|230|250
189,74,72,0,20,10000,96,1,189
190,72,75,0,53,10000,10,3,190|211|226
191,75,72,0,1,10000,61,1,191
192,72,76,0,85,10000,76,4,192|217|224|236
193,76,72,0,50,10000,71,1,193
194,72,77,0,93,10000,15,5,194|219|237|244|247
195,77,72,0,14,10000,41,1,195
196,72,78,0,82,10000,95,7,196|236|246|251|261|270|274
197,78,72,0,60,10000,13,1,197
198,72,79,0,88,10000,94,5,198|231|233|242|265
199,79,72,0,77,10000,28,1,199
200,72,80,0,35,10000,4,6,200|210|215|235|243|267
201,80,72,0,24,10000,52,1,201
202,72,81,0,51,10000,60,7,202|217|223|228|235|237|245
203,81,72,0,31,10000,75,1,203
204,72,82,0,11,10000,29,7,204|214|229|250|253|254|260
205,82,72,0,88,10000,77,1,205
206,72,83,0,90,10000,36,1,206
207,83,72,0,92,10000,15,1,207
208,72,84,0,7,10000,76,7,208|216|218|232|258|262|264
209,84,72,0,7,10000,24,1,209
210,72,85,0,12,10000,79,5,210|209|212|224|234
211,85,72,0,26,10000,90,1,211
212,72,86,0,79,10000,19,2,212|223
213,86,72,0,55,10000,88,1,213
214,72,87,0,79,10000,56,2,214|239
215,87,72,0,8,10000,34,1,215
216,72,88,0,33,10000,15,5,216|225|228|252|259
217,88,72,0,11,10000,37,1,217
218,72,126,0,69,10000,91,1,218
219,126,72,0,39,10000,83,0,0
220,101,102,0,14,10000,23,1,220
221,102,101,0,69,10000,47,9,221|308|309|316|320|327|329|333|338
222,102,126,0,57,10000,48,1,222
223,126,102,0,59,10000,12,0,0
224,103,126,0,14,10000,71,1,224
225,126,103,0,86,10000,53,0,0
226,104,126,0,14,10000,97,1,226
227,126,104,0,77,10000,52,0,0
228,105,126,0,10,10000,31,1,228
229,126,105,0,55,10000,12,0,0
230,106,126,0,49,10000,36,1,230
231,126,106,0,47,10000,34,0,0
232,107,126,0,79,10000,35,1,232
233,126,107,0,30,10000,79,0,0
234,108,126,0,87,10000,39,1,234
235,126,108,0,34,10000,42,0,0
236,109,126,0,13,10000,77,1,236
237,126,109,0,18,10000,54,0,0
238,110,126,0,67,10000,22,1,238
239,126,110,0,57,10000,57,0,0
240,111,126,0,15,10000,18,1,240
241,126,111,0,71,10000,87,0,0
242,112,126,0,89,10000,18,1,242
243,126,112,0,54,10000,20,0,0
244,119,120,0,5,10000,38,1,244
245,120,119,0,36,10000,14,1,245
246,119,121,0,48,10000,71,4,246|371|374|378
247,121,119,0,83,10000,3,1,247
248,119,122,0,19,10000,25,1,248
249,122,119,0,80,10000,69,1,249
250,119,123,0,25,10000,62,1,250
251,123,119,0,54,10000,13,1,251
252,119,124,0,71,10000,13,1,252
253,124,119,0,99,10000,86,1,253
254,119,125,0,41,10000,6,5,254|372|376|377|378
255,125,119,0,24,10000,70,1,255
256,119,126,0,31,10000,59,2,256|373
257,126,119,0,92,10000,43,0,0
