demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,104,78,0,687.5,0,1,1,2,0,275,275
1,12,119,0,727.5,0,1,1,2,0,291,291
2,118,35,0,977.5,0,1,1,2,0,391,391
3,96,105,0,755.0,0,1,1,2,0,302,302
4,47,94,0,747.5,0,1,1,2,0,362,299
5,30,76,0,567.5,0,1,1,2,0,227,227
6,94,11,0,622.5,0,1,1,2,0,249,249
7,3,75,0,572.5,0,1,1,2,0,229,229
8,67,122,0,767.5,0,1,1,2,0,307,307
9,22,91,0,472.5,0,1,1,2,0,189,189
10,94,123,0,895.0,0,1,1,2,0,358,358
11,102,53,0,455.0,0,1,1,2,0,182,182
12,121,100,0,702.5,0,1,1,2,0,323,281
13,53,110,0,372.5,0,1,1,2,0,149,149
14,73,22,0,885.0,0,1,1,2,0,450,354
15,53,85,0,200.0,0,1,1,2,0,80,80
16,14,44,0,527.5,0,1,1,2,0,253,211
17,112,102,0,75.0,0,1,1,2,0,30,30
18,14,24,0,550.0,0,1,1,2,0,262,220
19,61,45,0,712.5,0,1,1,2,0,348,285
20,101,90,0,437.5,0,1,1,2,0,217,175
21,66,68,0,320.0,0,1,1,2,0,170,128
22,93,61,0,807.5,0,1,1,2,0,404,323
23,8,25,0,360.0,0,1,1,2,0,186,144
24,57,30,0,352.5,0,1,1,2,0,141,141
25,117,24,0,230.0,0,1,1,2,0,92,92
26,27,84,0,492.5,0,1,1,2,0,197,197
27,78,13,0,555.0,0,1,1,2,0,318,222
28,58,123,0,602.5,0,1,1,2,0,241,241
29,124,123,0,370.0,0,1,1,2,0,148,148
