LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,8,0,52,10000,86,1,0
1,8,0,0,69,10000,50,1,1
2,0,10,0,19,10000,48,1,2
3,10,0,0,96,10000,95,1,3
4,1,91,0,27,10000,37,1,4
5,91,1,0,60,10000,55,1,5
6,1,126,0,30,10000,98,1,6
7,126,1,0,57,10000,2,3,7|370|372
8,1,126,0,43,10000,28,1,8
9,126,1,0,25,10000,28,3,9|369|371
10,2,3,0,55,10000,51,1,10
11,3,2,0,60,10000,9,1,11
12,2,5,0,65,10000,9,1,12
13,5,2,0,24,10000,35,2,13|9
14,3,49,0,8,10000,99,2,14|6
15,49,3,0,87,10000,96,1,15
16,4,5,0,22,10000,41,1,16
17,5,4,0,78,10000,49,3,17|9|10
18,5,8,0,8,10000,70,1,18
19,8,5,0,47,10000,99,1,19
20,5,6,0,15,10000,82,1,20
21,6,5,0,92,10000,68,1,21
22,6,7,0,28,10000,85,1,22
23,7,6,0,89,10000,81,1,23
24,7,9,0,26,10000,32,1,24
25,9,7,0,41,10000,2,1,25
26,9,18,0,65,10000,73,1,26
27,18,9,0,8,10000,70,1,27
28,9,19,0,52,10000,19,2,28|17
29,19,9,0,6,10000,83,4,29|43|44|45
30,10,13,0,72,10000,75,1,30
31,13,10,0,83,10000,30,1,31
32,11,16,0,38,10000,16,1,32
33,16,11,0,29,10000,71,1,33
34,11,17,0,60,10000,95,2,34|20
35,17,11,0,73,10000,39,1,35
36,11,12,0,78,10000,86,2,36|24
37,12,11,0,70,10000,24,5,37|27|28|29|30
38,11,31,0,97,10000,51,2,38|22
39,31,11,0,93,10000,6,2,39|78
40,12,13,0,54,10000,7,1,40
41,13,12,0,80,10000,70,1,41
42,12,30,0,9,10000,59,1,42
43,30,12,0,54,10000,25,1,43
44,14,35,0,80,10000,78,1,44
45,35,14,0,38,10000,96,1,45
46,14,30,0,61,10000,95,1,46
47,30,14,0,85,10000,48,1,47
48,15,18,0,29,10000,24,2,48|35
49,18,15,0,28,10000,27,1,49
50,15,19,0,7,10000,32,3,50|34|35
51,19,15,0,9,10000,48,1,51
52,15,71,0,2,10000,31,1,52
53,71,15,0,98,10000,8,4,53|202|203|204
54,16,17,0,74,10000,70,1,54
55,17,16,0,55,10000,71,2,55|39
56,19,119,0,94,10000,39,2,56|42
57,119,19,0,28,10000,92,2,57|353
58,20,26,0,88,10000,17,1,58
59,26,20,0,19,10000,88,1,59
60,20,52,0,8,10000,65,3,60|47|48
61,52,20,0,91,10000,32,3,61|126|132
62,20,21,0,50,10000,58,2,62|48
63,21,20,0,47,10000,58,1,63
64,21,25,0,31,10000,42,3,64|51|52
65,25,21,0,74,10000,76,3,65|67|69
66,22,23,0,17,10000,73,2,66|54
67,23,22,0,34,10000,51,8,67|56|58|59|60|61|62|63
68,22,37,0,71,10000,41,1,68
69,37,22,0,95,10000,17,1,69
70,22,29,0,10,10000,81,1,70
71,29,22,0,87,10000,33,1,71
72,23,25,0,45,10000,55,1,72
73,25,23,0,59,10000,47,1,73
74,23,54,0,88,10000,90,3,74|56|57
75,54,23,0,98,10000,70,3,75|137|138
76,24,25,0,31,10000,41,2,76|65
77,25,24,0,80,10000,41,1,77
78,24,27,0,48,10000,18,1,78
79,27,24,0,61,10000,88,1,79
80,24,76,0,43,10000,65,1,80
81,76,24,0,29,10000,16,1,81
82,25,29,0,52,10000,99,1,82
83,29,25,0,46,10000,26,2,83|75
84,25,84,0,52,10000,46,2,84|69
85,84,25,0,85,10000,19,1,85
86,26,81,0,48,10000,2,1,86
87,81,26,0,71,10000,95,2,87|235
88,27,81,0,46,10000,49,1,88
89,81,27,0,42,10000,42,2,89|235
90,28,37,0,58,10000,17,1,90
91,37,28,0,20,10000,21,4,91|91|92|93
92,31,34,0,73,10000,12,1,92
93,34,31,0,96,10000,42,1,93
94,32,129,0,57,10000,85,3,94|80|82
95,129,32,0,78,10000,51,5,95|386|388|389|391
96,32,130,0,21,10000,51,1,96
97,130,32,0,4,10000,29,1,97
98,32,131,0,51,10000,75,3,98|81|83
99,131,32,0,23,10000,93,1,99
100,32,117,0,49,10000,71,3,100|80|81
101,117,32,0,93,10000,5,2,101|343
102,33,117,0,38,10000,91,1,102
103,117,33,0,45,10000,85,3,103|343|344
104,33,38,0,47,10000,64,1,104
105,38,33,0,83,10000,23,2,105|97
106,34,60,0,44,10000,47,1,106
107,60,34,0,77,10000,92,3,107|173|174
108,35,68,0,21,10000,99,1,108
109,68,35,0,95,10000,26,1,109
110,36,37,0,18,10000,62,1,110
111,37,36,0,77,10000,10,2,111|90
112,36,39,0,39,10000,25,1,112
113,39,36,0,81,10000,90,1,113
114,37,74,0,87,10000,56,1,114
115,74,37,0,12,10000,9,1,115
116,37,118,0,74,10000,58,1,116
117,118,37,0,76,10000,36,1,117
118,38,39,0,97,10000,96,1,118
119,39,38,0,42,10000,44,1,119
120,40,41,0,43,10000,44,2,120|100
121,41,40,0,27,10000,45,1,121
122,40,142,0,69,10000,16,1,122
123,142,40,0,39,10000,32,1,123
124,40,47,0,26,10000,73,2,124|101
125,47,40,0,77,10000,75,3,125|117|118
126,41,46,0,84,10000,93,1,126
127,46,41,0,62,10000,84,1,127
128,42,108,0,16,10000,50,1,128
129,108,42,0,11,10000,55,1,129
130,43,139,0,77,10000,39,1,130
131,139,43,0,80,10000,73,1,131
132,43,108,0,82,10000,78,1,132
133,108,43,0,67,10000,37,1,133
134,44,46,0,70,10000,82,1,134
135,46,44,0,91,10000,23,1,135
