demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,26,89,0,1165.0,0,1,1,2,0,594,466
1,144,72,0,1607.5,0,1,1,2,0,763,643
2,126,104,0,620.0,0,1,1,2,0,250,248
3,94,58,0,1265.0,0,1,1,2,0,814,506
4,75,123,0,1157.5,0,1,1,2,0,463,463
5,58,98,0,687.5,0,1,1,2,0,344,275
6,48,49,0,200.0,0,1,1,2,0,80,80
7,77,117,0,1010.0,0,1,1,2,0,628,404
8,10,42,0,1800.0,0,1,1,2,0,999,720
9,80,69,0,615.0,0,1,1,2,0,298,246
10,103,105,0,442.5,0,1,1,2,0,177,177
11,33,113,0,532.5,0,1,1,2,0,346,213
12,58,31,0,677.5,0,1,1,2,0,335,271
13,115,46,0,1820.0,0,1,1,2,0,850,728
14,59,15,0,392.5,0,1,1,2,0,157,157
15,109,77,0,1425.0,0,1,1,2,0,692,570
16,96,108,0,905.0,0,1,1,2,0,387,362
17,4,77,0,1527.5,0,1,1,2,0,692,611
18,59,90,0,840.0,0,1,1,2,0,336,336
19,127,126,0,210.0,0,1,1,2,0,99,84
20,60,41,0,742.5,0,1,1,2,0,297,297
21,80,108,0,1365.0,0,1,1,2,0,571,546
22,82,12,0,1127.5,0,1,1,2,0,538,451
23,72,84,0,960.0,0,1,1,2,0,465,384
24,46,144,0,2362.5,0,1,1,2,0,1339,945
25,9,4,0,500.0,0,1,1,2,0,200,200
26,105,42,0,1135.0,0,1,1,2,0,666,454
27,118,10,0,1685.0,0,1,1,2,0,871,674
28,74,80,0,440.0,0,1,1,2,0,285,176
29,57,125,0,687.5,0,1,1,2,0,275,275
