LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,28,0,71,10000,35,1,0
1,28,0,0,92,10000,60,1,1
2,0,37,0,99,10000,34,1,2
3,37,0,0,4,10000,14,2,3|79
4,1,28,0,69,10000,67,1,4
5,28,1,0,82,10000,68,1,5
6,1,29,0,63,10000,25,1,6
7,29,1,0,32,10000,47,1,7
8,2,74,0,71,10000,57,3,8|4|5
9,74,2,0,20,10000,1,1,9
10,2,3,0,85,10000,40,1,10
11,3,2,0,66,10000,17,1,11
12,3,4,0,62,10000,33,2,12|7
13,4,3,0,48,10000,96,1,13
14,4,5,0,33,10000,68,3,14|9|10
15,5,4,0,87,10000,64,1,15
16,5,6,0,80,10000,14,1,16
17,6,5,0,49,10000,80,1,17
18,6,7,0,32,10000,78,4,18|13|14|15
19,7,6,0,77,10000,20,1,19
20,7,11,0,19,10000,42,1,20
21,11,7,0,47,10000,24,1,21
22,8,9,0,93,10000,41,1,22
23,9,8,0,49,10000,1,1,23
24,8,11,0,52,10000,78,1,24
25,11,8,0,24,10000,68,3,25|22|24
26,9,37,0,15,10000,64,1,26
27,37,9,0,62,10000,97,1,27
28,10,58,0,93,10000,93,1,28
29,58,10,0,42,10000,53,1,29
30,10,11,0,76,10000,53,1,30
31,11,10,0,56,10000,42,3,31|23|24
32,12,60,0,94,10000,78,1,32
33,60,12,0,84,10000,46,2,33|119
34,12,61,0,58,10000,98,2,34|27
35,61,12,0,81,10000,37,1,35
36,13,73,0,45,10000,9,2,36|30
37,73,13,0,25,10000,24,2,37|143
38,13,27,0,6,10000,13,1,38
39,27,13,0,57,10000,23,1,39
40,14,48,0,34,10000,32,1,40
41,48,14,0,27,10000,7,1,41
42,14,66,0,24,10000,39,1,42
43,66,14,0,29,10000,75,1,43
44,15,47,0,95,10000,43,2,44|34
45,47,15,0,75,10000,21,1,45
46,15,23,0,67,10000,43,1,46
47,23,15,0,77,10000,10,1,47
48,16,60,0,73,10000,86,1,48
49,60,16,0,17,10000,63,1,49
50,16,63,0,59,10000,80,1,50
51,63,16,0,12,10000,59,1,51
52,17,56,0,38,10000,64,1,52
53,56,17,0,82,10000,67,1,53
54,17,57,0,46,10000,28,2,54|38
55,57,17,0,74,10000,82,2,55|113
56,18,19,0,95,10000,87,1,56
57,19,18,0,31,10000,81,1,57
58,18,21,0,49,10000,73,2,58|40
59,21,18,0,80,10000,2,1,59
60,19,42,0,31,10000,76,1,60
61,42,19,0,24,10000,75,1,61
62,20,21,0,64,10000,37,2,62|43
63,21,20,0,87,10000,61,1,63
64,20,79,0,33,10000,20,1,64
65,79,20,0,62,10000,78,1,65
66,22,25,0,78,10000,19,1,66
67,25,22,0,72,10000,87,1,67
68,22,26,0,85,10000,80,2,68|46
69,26,22,0,41,10000,58,1,69
70,22,23,0,53,10000,11,1,70
71,23,22,0,5,10000,50,1,71
72,24,43,0,88,10000,70,1,72
73,43,24,0,25,10000,90,1,73
74,24,75,0,52,10000,15,2,74|50
75,75,24,0,9,10000,17,1,75
76,25,43,0,55,10000,58,1,76
77,43,25,0,36,10000,1,1,77
78,26,47,0,98,10000,69,2,78|53
79,47,26,0,53,10000,27,2,79|98
80,27,47,0,74,10000,49,1,80
81,47,27,0,81,10000,85,1,81
82,29,30,0,75,10000,67,2,82|58
83,30,29,0,90,10000,50,1,83
84,30,51,0,70,10000,63,3,84|60|61
85,51,30,0,26,10000,18,1,85
86,31,78,0,82,10000,99,1,86
87,78,31,0,18,10000,63,1,87
88,31,79,0,41,10000,71,1,88
89,79,31,0,89,10000,86,1,89
90,32,51,0,97,10000,52,4,90|65|66|68
91,51,32,0,7,10000,98,1,91
92,32,78,0,56,10000,41,3,92|65|67
93,78,32,0,38,10000,76,1,93
94,32,87,0,1,10000,96,1,94
95,87,32,0,92,10000,90,0,0
96,33,35,0,9,10000,84,1,96
97,35,33,0,46,10000,73,1,97
98,33,87,0,14,10000,59,1,98
99,87,33,0,99,10000,70,0,0
100,34,35,0,71,10000,86,1,100
101,35,34,0,75,10000,90,1,101
102,34,86,0,70,10000,42,3,102|71|72
103,86,34,0,86,10000,34,1,103
104,36,42,0,83,10000,96,1,104
105,42,36,0,95,10000,85,1,105
106,36,75,0,2,10000,54,2,106|77
107,75,36,0,42,10000,98,1,107
108,38,45,0,47,10000,21,1,108
109,45,38,0,32,10000,16,1,109
110,38,39,0,17,10000,77,1,110
111,39,38,0,75,10000,15,2,111|82
112,39,70,0,81,10000,63,1,112
113,70,39,0,63,10000,47,1,113
114,40,72,0,93,10000,18,1,114
115,72,40,0,16,10000,88,1,115
116,40,71,0,25,10000,53,1,116
117,71,40,0,63,10000,99,2,117|139
118,41,72,0,97,10000,69,2,118|85
119,72,41,0,97,10000,56,2,119|141
120,41,81,0,34,10000,20,1,120
121,81,41,0,80,10000,33,1,121
122,41,46,0,91,10000,66,2,122|86
123,46,41,0,65,10000,53,2,123|96
