demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,31,32,0,437.5,0,1,1,2,0,175,175
1,39,7,0,2012.5,0,1,1,2,0,805,805
2,40,74,0,1765.0,0,1,1,2,0,706,706
3,21,57,0,1780.0,0,1,1,2,0,712,712
4,51,81,0,1735.0,0,1,1,2,0,694,694
5,11,64,0,1572.5,0,1,1,2,0,629,629
6,37,14,0,2515.0,0,1,1,2,0,1006,1006
7,24,84,0,1527.5,0,1,1,2,0,696,611
8,26,50,0,1515.0,0,1,1,2,0,606,606
9,30,28,0,410.0,0,1,1,2,0,164,164
10,43,70,0,742.5,0,1,1,2,0,297,297
11,55,25,0,1445.0,0,1,1,2,0,578,578
12,34,13,0,1060.0,0,1,1,2,0,424,424
13,36,48,0,2032.5,0,1,1,2,0,813,813
14,19,8,0,1145.0,0,1,1,2,0,458,458
15,75,26,0,637.5,0,1,1,2,0,255,255
16,16,26,0,3055.0,0,1,1,2,0,1222,1222
17,33,56,0,3242.5,0,1,1,2,0,1297,1297
18,76,30,0,2455.0,0,1,1,2,0,982,982
19,1,15,0,2607.5,0,1,1,2,0,1043,1043
20,87,13,0,1670.0,0,1,1,2,0,668,668
21,80,36,0,1495.0,0,1,1,2,0,598,598
22,3,16,0,1490.0,0,1,1,2,0,596,596
23,8,5,0,505.0,0,1,1,2,0,202,202
24,42,14,0,1810.0,0,1,1,2,0,724,724
25,34,85,0,177.5,0,1,1,2,0,71,71
26,85,1,0,1310.0,0,1,1,2,0,524,524
27,23,7,0,1745.0,0,1,1,2,0,698,698
28,15,35,0,1565.0,0,1,1,2,0,1290,626
29,56,10,0,1765.0,0,1,1,2,0,706,706
